# Source: Todd Bot | Synced: 2026-02-08 | Companies: 127
name,website,industry,segment,hq_city,hq_state,employee_count,composite_score,signals,messaging_hook,source_url,signal_type,signal_date,ownership,ticker,notes
York Space Systems,yorkspacesystems.com,Space & Aerospace,Spacecraft & Satellite Systems,Denver,CO,,7,"4th production facility (Potomac) adding 60,000 sq ft; 1,000+ spacecraft/year capacity",Denver satellite manufacturing; high-rate production,https://www.prnewswire.com/news-releases/construction-of-york-space-systems-fourth-production-facility-is-complete-doubling-production-capacity-to-meet-growing-commercial-and-government-demand-301895989.html,Event,2023-08,Private,,Denver Tech Center expansion; Space Force contracts
Terran Orbital,terranorbital.com,Space & Aerospace,Spacecraft & Satellite Systems,Irvine,CA,,7,"Acquired by Lockheed Martin (Aug 2024); 98,000 sq ft manufacturing facility",Lockheed integration support; advanced satellite manufacturing,https://news.lockheedmartin.com/2024-08-15-Lockheed-Martin-to-Acquire-Terran-Orbital,Event,2024-08,Public,LLAP,Major acquisition provides capital and scale
Astranis,astranis.com,Space & Aerospace,Spacecraft Components & Subsystems,San Francisco,CA,,7,4 MicroGEO satellites launched (Dec 2024); $8M USSF contract; scaling manufacturing capacity,GEO satellite manufacturing scale-up; 400+ employees,https://spacenews.com/four-satellite-astranis-launch-signals-shift-toward-scaled-geo-deployments/,Event,2024-12,Private,,Multiple satellites on-orbit; in-house manufacturing upgrades
Turion Space,turionspace.com,Space & Aerospace,In-Space Services Logistics & Safety,Irvine,CA,,7,$20M Series A oversubscribed (Dec 2024); plans for 45 satellites annually by 2027,Satellite manufacturing scale-up; Irvine expansion,https://www.veteranventures.us/news1/announcing-a-strategic-investment-in-turion-space-expanding-new-space-tech-portfolio,Event,2024-12,Private,,DROID.002 launch 2025; debris capture by 2026
Pixxel,pixxel.space,Space & Aerospace,Earth Observation Sensing & Geospatial Intelligence,"Bangalore, India",,,7,$24M Series B extension (Dec 2024); Fireflies 6-satellite launch early 2025,Hyperspectral satellite manufacturing; US expansion potential,https://spaceinsider.tech/2024/12/09/pixxel-secures-24m-in-series-b-extension-to-advance-hyperspectral-satellite-constellation/,Event,2024-12,Private,,24-satellite constellation planned
D-Orbit,dorbit.space,Space & Aerospace,In-Space Services Logistics & Safety,"Como, Italy",,,7,D-Orbit USA joint venture formed (July 2024); $170M total funding; $107M Series C,US market entry support; satellite bus manufacturing,https://spacenews.com/d-orbit-forms-u-s-venture-to-pursue-satellite-manufacturing/,Event,2024-07,Private,,First US satellite launch target 2025
Orbex,orbex.space,Space & Aerospace,Launch & Space Access,"Forres, Scotland",,,7,£20M UK government investment (Jan 2025); London base + Scotland HQ expansion,UK launch manufacturing; Scottish aerospace growth,https://www.scotsman.com/business/all-systems-go-for-ground-breaking-rocket-launch-after-scotlands-orbex-secures-ps20m-boost-4964379,Event,2025-01,Private,,First Prime launch late 2025 from SaxaVord
Benchmark Space Systems,benchmarkspacesystems.com,Space & Aerospace,Spacecraft Components & Subsystems,Burlington,VT,,7,"40,000 sq ft facility in Burlington VT; tripled production capacity; UK expansion",Vermont propulsion manufacturing; UK Westcott expansion,https://www.benchmarkspacesystems.com/news/post/press-release-benchmark-space-systems-triples-propulsion-system-production-capacity-doubles-personnel-to-meet-thruster-and-in-space-mobility-demand,Event,2024,Private,,Halcyon HTP propulsion systems; doubled personnel
Orbit Fab,orbitfab.com,Space & Aerospace,In-Space Services Logistics & Safety,Lafayette,CO,,7,$28.5M Series A; expanding manufacturing; 3 launches for US government 2025; UK £2M investment,Space refueling infrastructure; Colorado manufacturing,https://www.orbitfab.com/news/uk-refueling-innovation/,Event,2024-07,Private,,Gas Stations in Space; RAFTI interface adoption
Sierra Space,sierraspace.com,Space & Aerospace,Spacecraft & Satellite Systems,Louisville,CO,,6,Dream Chaser production in Louisville factory; 2nd spaceplane Reverence in production,Dream Chaser production support; Colorado aerospace,https://www.sierraspace.com/press-releases/sierra-space-reinvents-space-transportation-with-dream-chaser/,Tailwind,2024,Private,,First Tenacity launch delayed; strong commercial station pipeline
Axiom Space,axiomspace.com,Space & Aerospace,Space Stations Habitats & Orbital Platforms,Houston,TX,,6,Station modules being built by Thales Alenia Space; Houston integration facility for 2025,Commercial space station support; Houston operations,https://www.axiomspace.com/release/axiom-space-accelerates-axiom-station-assembly,Tailwind,2024,Private,,5 modules manifested; AxPPTM structure to Houston 2025
Vast,vastspace.com,Space & Aerospace,Space Stations Habitats & Orbital Platforms,Long Beach,CA,,6,Haven-1 module construction in Long Beach; Haven Demo launched 2025,Commercial space station manufacturing; Long Beach expansion,https://www.vastspace.com/,Tailwind,2024,Private,,First commercial space station company to fly own spacecraft
Voyager Space,voyagerspace.com,Space & Aerospace,Space Stations Habitats & Orbital Platforms,Denver,CO,,6,Starlab commercial space station partnership with Airbus/Mitsubishi/MDA,Commercial station development; Starlab joint venture,https://www.airbus.com/en/products-services/space/space-exploration/starlab,Tailwind,2024,Private,,US-led international space station collaboration
Astroscale,astroscale.com,Space & Aerospace,In-Space Services Logistics & Safety,"Tokyo, Japan",,,6,ADRAS-J mission approached debris at 15m (Nov 2024); JAXA Phase II contract (Aug 2024),Debris removal services; Japan partnership,https://en.wikipedia.org/wiki/Astroscale,Tailwind,2024-11,Private,,World's first debris approach demonstration
Capella Space,capellaspace.com,Space & Aerospace,Earth Observation Sensing & Geospatial Intelligence,San Francisco,CA,,6,Moved to larger facilities; $15M USAF contract for next-gen SAR (2024); 36-satellite constellation,SAR satellite manufacturing; defense contracts,https://en.wikipedia.org/wiki/Capella_Space,Tailwind,2024,Private,,15 satellites on-orbit; Acadia next-gen satellites
Slingshot Aerospace,slingshotaerospace.com,Space & Aerospace,Data Software & Space Intelligence,El Segundo,CA,,6,UK expansion (London/Cornwall); Ottawa Canada office (May 2025); 200+ sensors planned,International sensor network expansion; space domain awareness,https://www.satellitetoday.com/people/2025/05/01/slingshot-aerospace-continues-international-expansion-with-canadian-office/,Tailwind,2025-05,Private,,Global Sensor Network growth; UK/Canada presence
HawkEye 360,he360.com,Space & Aerospace,Earth Observation Sensing & Geospatial Intelligence,Herndon,VA,,6,30 satellites deployed (Aug 2024); 3 new clusters (9 spacecraft) ordered Sept 2025,RF geolocation satellite manufacturing; Virginia expansion,https://www.satellitetoday.com/manufacturing/2025/09/10/hawkeye-360-orders-three-new-satellite-clusters-from-sfl-missions/,Tailwind,2025-09,Private,,In-house manufacturing at Herndon facility
ThinkOrbital,thinkorbital.com,Space & Aerospace,Space Stations Habitats & Orbital Platforms,Boulder,CO,,6,World's first autonomous in-space welding (May 2024); NASA/ESA collaboration,In-space construction technology; Boulder aerospace,https://thinkorbital.com/news/launch-of-first-welding-system/,Event,2024-05,Private,,CONTESA system for in-space fabrication; $9.6M seed
SpinLaunch,spinlaunch.com,Space & Aerospace,Launch & Space Access,Long Beach,CA,,5,Spaceport America facility in New Mexico; kinetic launch testing ongoing,Novel launch technology; test facility operations,https://en.wikipedia.org/wiki/SpinLaunch,Tailwind,2024,Private,,10+ flight tests completed; satellite qualification services
ABL Space Systems,ablspacesystems.com,Space & Aerospace,Launch & Space Access,El Segundo,CA,,5,"30,000 sq ft R&D/production facilities; Port of Long Beach spacecraft processing",Launch vehicle manufacturing; Southern California aerospace,https://labusinessjournal.com/manufacturing/aerospace/abl-space-systems-leases-facility-port-long-beach/,Tailwind,2022,Private,,Rebranded as Long Wall; mobile launch capability
SpaceX,spacex.com,Space & Aerospace,Launch & Space Access,Hawthorne,CA,,4,Dominant launch provider; Starship development; Starlink manufacturing at scale,Generally not seeking EDO assistance,https://en.wikipedia.org/wiki/SpaceX,Tailwind,2024,Private,,Market leader; not typical EDO target
Northrop Grumman,northropgrumman.com,Space & Aerospace,Spacecraft & Satellite Systems,Falls Church,VA,,4,Major defense prime; space systems division; Cygnus resupply,Generally not seeking EDO assistance,https://en.wikipedia.org/wiki/Northrop_Grumman,Tailwind,2024,Public,NOC,Large prime contractor; established facilities
Collins Aerospace,collinsaerospace.com,Space & Aerospace,Spacecraft Components & Subsystems,Charlotte,NC,,4,Major aerospace supplier; space components,Generally not seeking EDO assistance,https://en.wikipedia.org/wiki/Collins_Aerospace,Tailwind,2024,Public,RTX,Part of RTX; established operations
United Launch Alliance,ulalaunch.com,Space & Aerospace,Launch & Space Access,Centennial,CO,,4,Vulcan launch vehicle; established launch services,Generally not seeking EDO assistance,https://en.wikipedia.org/wiki/United_Launch_Alliance,Tailwind,2024,Private,,Joint venture of major primes
Viasat,viasat.com,Space & Aerospace,Communications PNT & Connectivity,Carlsbad,CA,,4,Large satellite communications provider,Generally not seeking EDO assistance,https://en.wikipedia.org/wiki/Viasat,Tailwind,2024,Public,VSAT,Established operations; public company
Virgin Galactic,virgingalactic.com,Space & Aerospace,Human Spaceflight Exploration & Commercial Space,Tustin,CA,,4,Space tourism; New Mexico operations,Generally not seeking EDO assistance,https://en.wikipedia.org/wiki/Virgin_Galactic,Tailwind,2024,Public,SPCE,Established facilities; paused commercial flights
Ball Aerospace,ballaerospace.com,Space & Aerospace,Spacecraft & Satellite Systems,Broomfield,CO,,4,Major satellite manufacturer; defense and civil,Generally not seeking EDO assistance,https://en.wikipedia.org/wiki/Ball_Aerospace,Tailwind,2024,Public,BALL,Large established prime
Moog Inc,moog.com,Space & Aerospace,Spacecraft Components & Subsystems,East Aurora,NY,,4,Space components supplier,Generally not seeking EDO assistance,https://en.wikipedia.org/wiki/Moog_Inc.,Tailwind,2024,Public,MOG.A,Established supplier
The Aerospace Corporation,aerospace.org,Space & Aerospace,Research Workforce & Ecosystem Enablement,El Segundo,CA,,3,FFRDC supporting national security space,Research partnership opportunities,https://en.wikipedia.org/wiki/The_Aerospace_Corporation,Tailwind,2024,Non-Profit,,Non-profit research organization
Spectrolab,spectrolab.com,Space & Aerospace,Spacecraft Components & Subsystems,Sylmar,CA,,3,World's leading solar cell supplier for space,Boeing subsidiary; established operations,https://www.linkedin.com/company/spectrolab,Tailwind,2024,Public,,60 years space heritage
EchoStar,echostar.com,Space & Aerospace,Communications PNT & Connectivity,Englewood,CO,,5,Satellite communications; Hughes Network acquisition,Potential manufacturing partnerships,https://en.wikipedia.org/wiki/EchoStar,Tailwind,2024,Public,SATS,Large GEO satellite operator
Spire Global,spire.com,Space & Aerospace,Earth Observation Sensing & Geospatial Intelligence,Vienna,VA,,5,Weather intelligence constellation; Space as a Service,Space-as-a-Service manufacturing partnerships,https://en.wikipedia.org/wiki/Spire_Global,Tailwind,2025,Public,SPIR,Multiple global office locations
Satellogic,satellogic.com,Space & Aerospace,Earth Observation Sensing & Geospatial Intelligence,"Buenos Aires, Argentina",,,5,Sub-meter resolution Earth observation constellation,US expansion opportunities,https://en.wikipedia.org/wiki/Satellogic,Tailwind,2024,Public,SATL,Charlotte NC presence for US operations
Kepler Communications,keplercommunications.com,Space & Aerospace,Communications PNT & Connectivity,"Toronto, Canada",,,5,LEO data relay constellation; 25+ satellites on-orbit,US expansion opportunities,https://en.wikipedia.org/wiki/Kepler_Communications,Tailwind,2024,Private,,Canadian company with global operations
Fleet Space Technologies,fleetspace.com,Space & Aerospace,Communications PNT & Connectivity,"Adelaide, Australia",,,5,Satellite-enabled mineral exploration; ExoSphere constellation,US expansion opportunities,https://en.wikipedia.org/wiki/Fleet_Space_Technologies,Tailwind,2024,Private,,Australian space company; rapid growth
Xona Space Systems,xonaspace.com,Space & Aerospace,Communications PNT & Connectivity,Burlingame,CA,,7,$92M Series B (June 2025); next-era navigational intelligence,PNT constellation expansion; California growth,https://www.xonaspace.com/,Event,2025-06,Private,,Centimeter-level navigation accuracy
Aerojet Rocketdyne,aerojetrocketdyne.com,Space & Aerospace,Launch & Space Access,El Segundo,CA,,4,Major rocket propulsion supplier; acquired by L3Harris,Major prime; established operations,https://en.wikipedia.org/wiki/Aerojet_Rocketdyne,Tailwind,2024,Public,AJRD,RS-25 engines for SLS
Beyond Gravity,beyondgravity.com,Space & Aerospace,Spacecraft Components & Subsystems,"Zurich, Switzerland",,,5,Space structures and mechanisms; formerly RUAG Space,European space supplier; potential US expansion,https://en.wikipedia.org/wiki/Beyond_Gravity,Tailwind,2024,Private,,Major European space components supplier
Blue Canyon Technologies,bluecanyontech.com,Space & Aerospace,Spacecraft & Satellite Systems,Lafayette,CO,,5,Small satellite bus manufacturer; RTX subsidiary,Colorado satellite manufacturing,https://en.wikipedia.org/wiki/Blue_Canyon_Technologies,Tailwind,2024,Private,,Part of Raytheon; high-rate smallsat production
GomSpace,gomspace.com,Space & Aerospace,Spacecraft Components & Subsystems,"Aalborg, Denmark",,,5,Nanosatellite solutions; European manufacturer,US expansion opportunities,https://en.wikipedia.org/wiki/GomSpace,Tailwind,2024,Public,,Danish public company
Accion Systems,accion-systems.com,Space & Aerospace,Spacecraft Components & Subsystems,Boston,MA,,5,Electric propulsion for small satellites; TILE technology,Massachusetts propulsion manufacturing,https://en.wikipedia.org/wiki/Accion_Systems,Tailwind,2024,Private,,Ion electrospray propulsion technology
Enpulsion,enpulsion.com,Space & Aerospace,Spacecraft Components & Subsystems,"Wiener Neustadt, Austria",,,5,FEEP electric propulsion systems; European leader,US expansion opportunities,https://en.wikipedia.org/wiki/Enpulsion,Tailwind,2024,Private,,Austrian propulsion manufacturer
NanoAvionics,nanoavionics.com,Space & Aerospace,Spacecraft & Satellite Systems,"Vilnius, Lithuania",,,5,Small satellite missions and components; M6P bus,US expansion opportunities; satellite manufacturing,https://en.wikipedia.org/wiki/NanoAvionics,Tailwind,2024,Private,,Lithuanian company with global operations
Endurosat,endurosat.com,Space & Aerospace,Spacecraft & Satellite Systems,"Sofia, Bulgaria",,,5,Small satellite manufacturer; shared satellite service,US expansion opportunities,https://en.wikipedia.org/wiki/EnduroSat,Tailwind,2024,Private,,Bulgarian space company
LeoLabs,leolabs.space,Space & Aerospace,In-Space Services Logistics & Safety,Menlo Park,CA,,5,Space domain awareness; global radar network,Space surveillance infrastructure,https://en.wikipedia.org/wiki/LeoLabs,Tailwind,2024,Private,,Radar sites globally; California HQ
COMSPOC,comspoc.com,Space & Aerospace,In-Space Services Logistics & Safety,Chantilly,VA,,5,Space domain awareness and safety services,Virginia space services,https://en.wikipedia.org/wiki/COMSPOC,Tailwind,2024,Private,,Space situational awareness
ExoAnalytic Solutions,exoanalytic.com,Space & Aerospace,In-Space Services Logistics & Safety,Foothill Ranch,CA,,5,Global optical telescope network for space surveillance,Space domain awareness growth,https://en.wikipedia.org/wiki/ExoAnalytic_Solutions,Tailwind,2024,Private,,Largest commercial optical tracking network
Momentus,momentus.space,Space & Aerospace,In-Space Services Logistics & Safety,San Jose,CA,,5,In-space transportation services; Vigoride vehicles,In-space transportation manufacturing,https://en.wikipedia.org/wiki/Momentus_(space_company),Tailwind,2024,Public,MNTS,Public company; water plasma propulsion
Rogue Space Systems,rogue.space,Space & Aerospace,In-Space Services Logistics & Safety,Laconia,NH,,5,Orbital robot servicers; Fred and Orbots,New Hampshire space manufacturing,https://en.wikipedia.org/wiki/Rogue_Space_Systems,Tailwind,2024,Private,,In-orbit servicing technology
ClearSpace,clearspace.today,Space & Aerospace,In-Space Services Logistics & Safety,"Renens, Switzerland",,,5,Active debris removal; ESA ClearSpace-1 mission 2026,Debris removal technology; potential US operations,https://en.wikipedia.org/wiki/ClearSpace,Tailwind,2024,Private,,Swiss company; ESA partnership
Space Forge,spaceforge.com,Space & Aerospace,In-Space Manufacturing Materials & Zero-Gravity R&D,"Cardiff, Wales",,,5,In-space manufacturing; returnable ForgeStar satellites,In-space manufacturing technology,https://en.wikipedia.org/wiki/Space_Forge,Tailwind,2024,Private,,UK company; returnable satellites for manufacturing
OroraTech,ororatech.com,Space & Aerospace,Earth Observation Sensing & Geospatial Intelligence,"Munich, Germany",,,5,Wildfire detection satellites; thermal imaging,US expansion opportunities,https://en.wikipedia.org/wiki/OroraTech,Tailwind,2024,Private,,German thermal imaging satellites
GHGSat,ghgsat.com,Space & Aerospace,Earth Observation Sensing & Geospatial Intelligence,"Montreal, Canada",,,5,Greenhouse gas monitoring satellites,Emissions monitoring; US expansion,https://en.wikipedia.org/wiki/GHGSat,Tailwind,2024,Private,,Canadian company; environmental monitoring
Orbital Sidekick,orbitalsidekick.com,Space & Aerospace,Earth Observation Sensing & Geospatial Intelligence,San Francisco,CA,,5,Hyperspectral monitoring for oil/gas and infrastructure,Hyperspectral satellite manufacturing,https://en.wikipedia.org/wiki/Orbital_Sidekick,Tailwind,2024,Private,,SF-based; industrial monitoring focus
ispace,ispace-inc.com,Space & Aerospace,Space Resources ISRU & Off-World Infrastructure,"Tokyo, Japan",,,5,Lunar exploration and resource utilization,Lunar technology; US expansion,https://en.wikipedia.org/wiki/Ispace_(Japanese_company),Tailwind,2024,Public,ISPCE,Japanese lunar company; US subsidiary
Lunar Outpost,lunaroutpost.com,Space & Aerospace,Space Resources ISRU & Off-World Infrastructure,Golden,CO,,5,Lunar rovers and ISRU technology; NASA contracts,Colorado space manufacturing; lunar tech,https://en.wikipedia.org/wiki/Lunar_Outpost_(company),Tailwind,2024,Private,,MOXIE/MAPP technology; Golden CO operations
TransAstra,transastra.com,Space & Aerospace,Space Resources ISRU & Off-World Infrastructure,Los Angeles,CA,,5,Orbital logistics and space resources; cislunar supply chain,Space resources technology,https://en.wikipedia.org/wiki/TransAstra,Tailwind,2024,Private,,Asteroid mining technology development
Advanced Space,advancedspace.com,Space & Aerospace,Data Software & Space Intelligence,Westminster,CO,,5,Cislunar navigation; CAPSTONE mission success,Colorado space software,https://en.wikipedia.org/wiki/Advanced_Space,Tailwind,2024,Private,,CAPSTONE mission provider
Cognitive Space,cognitivespace.com,Space & Aerospace,Data Software & Space Intelligence,Houston,TX,,5,AI-powered satellite operations automation,Houston space AI,https://www.cognitivespace.com/,Tailwind,2024,Private,,Satellite fleet management AI
Epsilon3,epsilon3.io,Space & Aerospace,Data Software & Space Intelligence,Los Angeles,CA,,5,Spacecraft operations software platform,LA space software,https://www.epsilon3.io/,Tailwind,2024,Private,,Test and operations management
Kayhan Space,kayhan.space,Space & Aerospace,Data Software & Space Intelligence,Boulder,CO,,5,Space traffic management and collision avoidance,Colorado space safety software,https://www.kayhan.space/,Tailwind,2024,Private,,Pathfinder software for conjunction assessment
Privateer,privateer.com,Space & Aerospace,Data Software & Space Intelligence,Maui,HI,,5,Space sustainability and debris tracking,Space sustainability platform,https://www.privateer.com/,Tailwind,2024,Private,,Founded by Steve Wozniak
GMV,gmv.com,Space & Aerospace,Data Software & Space Intelligence,"Madrid, Spain",,,5,Space systems engineering and software,European space software; US operations,https://en.wikipedia.org/wiki/GMV_(company),Tailwind,2024,Private,,Spanish multinational; US presence
All.Space,all.space,Space & Aerospace,Ground Infrastructure & Mission Operations,Reading,UK,,5,Multi-beam smart antenna technology,Antenna technology; US expansion,https://www.all.space/,Tailwind,2024,Private,,UK company; innovative antenna systems
Atlas Space Operations,atlasspace.com,Space & Aerospace,Ground Infrastructure & Mission Operations,Traverse City,MI,,5,Ground station network as a service,Michigan space operations,https://www.atlasspace.com/,Tailwind,2024,Private,,Ground station services
KSAT,ksat.no,Space & Aerospace,Ground Infrastructure & Mission Operations,"Tromsø, Norway",,,5,Kongsberg satellite services; global ground network,Norwegian space services,https://en.wikipedia.org/wiki/KSAT,Tailwind,2024,Private,,World's largest commercial ground station network
RBC Signals,rbcsignals.com,Space & Aerospace,Ground Infrastructure & Mission Operations,Seattle,WA,,5,Global ground station network,Washington state space operations,https://www.rbcsignals.com/,Tailwind,2024,Private,,Seattle-based ground services
Dawn Aerospace,dawnaerospace.com,Space & Aerospace,Launch & Space Access,"Delft, Netherlands",,,5,Reusable rocket planes and green propulsion,Green propulsion technology,https://en.wikipedia.org/wiki/Dawn_Aerospace,Tailwind,2024,Private,,Netherlands and New Zealand operations
