Company,Industry,HQ Location,Country,Ownership,Ticker,Segment,Tier,Signal,Signal Date,Score,Source URL,Messaging Hook
Hanwha Qcells,solar-manufacturing,"Seoul, Korea / Dalton GA",Korea,Public,009830.KS,Integrated,A,$2.5B Cartersville GA fully integrated (3.3 GW); 8.4 GW total GA capacity; only NA company with full supply chain 2025,2025,10,https://us.qcells.com/blog/qcells-invests-2-5-billion-in-building-complete-solar-supply-chain-in-u-s/,$2.5B GA investment; only full US supply chain
Vulcan Elements,rare-earth-processing,Durham NC,,Private,,Magnet Manufacturing,A,"$918M investment + $620M DoD loan + 1,000 jobs in Benson NC — largest magnet factory outside China",Nov 2025,10,https://governor.nc.gov/news/press-releases/2025/11/18/governor-stein-announces-vulcan-elements-selects-johnston-county-1000-job-magnet-factory-investing-0,Your Benson facility will be world's largest non-China magnet factory — as you scale are additional facilities planned?
Intel,semiconductor,"Santa Clara, CA",USA,Public,INTC,Fabs,A,$8.5B CHIPS Act award; Fab 52 Chandler opened Oct 2025; $100B Ohio megafab (2 fabs); 18A process; Intel Foundry Services,2025,9,https://www.nist.gov/chips/intel-corporation-arizona-chandler,Ohio + Arizona expansion; IDM 2.0
GlobalFoundries,semiconductor,"Malta, NY",USA,Public,GFS,Fabs,A,$16B US investment Jun 2025; $1.5B CHIPS award; Malta NY 358K sqft new fab; Vermont modernization; advanced packaging center,2025-06,9,https://gf.com/gf-press-release/globalfoundries-announces-16b-u-s-investment-to-reshore-essential-chip-manufacturing-and-accelerate-ai-growth/,NY + Vermont expansion; mature node leader
Micron,semiconductor,"Boise, ID",USA,Public,MU,Fabs,A,$6.4B CHIPS funding; 2nd Boise fab announced Jun 2025; NY Clay megafab ($100B); Virginia expansion; HBM manufacturing in US,2025-06,9,https://investors.micron.com/news-releases/news-release-details/micron-and-trump-administration-announce-expanded-us-investments,Idaho + NY + VA expansion; HBM for AI
Texas Instruments,semiconductor,"Dallas, TX",USA,Public,TXN,Fabs,A,$60B+ across 7 fabs in Texas and Utah; Sherman TX fab opened Dec 2025; 300mm analog leader; largest foundational chip investment in US history,2025-12,9,https://www.ti.com/about-ti/newsroom/news-releases/2025/texas-instruments-begins-production-at-its-newest-300mm-semiconductor-manufacturing-facility-in-sherman-texas.html,Sherman producing; $60B commitment
Wolfspeed,semiconductor,"Durham, NC",USA,Public,WOLF,Fabs,A,World's largest SiC fab in Siler City NC (topped out Mar 2024); Marcy NY expansion; CHIPS preliminary terms Oct 2024; 59 SEC filings mentioning expansion/capacity,2024-2025,9,https://www.nist.gov/news-events/news/2024/10/biden-harris-administration-announces-preliminary-terms-wolfspeed-solidify,SiC leader; NC + NY expansion; HIGH SEC SIGNAL ACTIVITY
ASML,semiconductor,"Veldhoven, Netherlands / Wilton, CT",Netherlands,Public,ASML,Equipment (Front-End),A,$200M Connecticut expansion; 1000 new jobs; EUV monopoly; critical to all leading-edge fabs,2025,9,https://www.advancect.org/news-and-media/p/item/43734/asml-investing-200-million-in-connecticut-facility-adding-1000-jobs,Connecticut expansion; EUV monopoly
Ibiden,semiconductor,"Ogaki, Japan",Japan,Public,4062.T,Substrates,A,$3.3B investment over 3 years from FY2026; new Gifu factory late 2025; 40% AI server output boost,2025,9,https://www.digitimes.com/news/a20260204PD227/ibiden-expansion-capacity-production-plant.html,Gifu factory; $3.3B expansion
Rapidus,semiconductor,"Tokyo, Japan",Japan,Private,JV,Fabs,A,$5.4B subsidies FY2025; first 2nm GAA transistors Jul 2025; mass production 2027 target,2025,9,https://en.wikipedia.org/wiki/Rapidus,Japan 2nm fab; first chips 2025
Archer Aviation,aerospace,"San Jose, CA",USA,Public,ACHR,eVTOL,A,43 SEC filings re: expansion/manufacturing; FAA certification progress; Georgia manufacturing facility,2025-2026,9,https://www.sec.gov/cgi-bin/browse-edgar?CIK=1824502,Manufacturing scale-up underway; HIGH SEC SIGNAL ACTIVITY
Joby Aviation,aerospace,"Santa Cruz, CA",USA,Public,JOBY,eVTOL,A,36 SEC filings re: expansion; Toyota alliance; FAA certification on track; Marina CA manufacturing,2025-2026,9,https://www.sec.gov/cgi-bin/browse-edgar?CIK=1819848,Toyota-backed manufacturing; certification leader
Park Aerospace,aerospace,"Newton, KS",USA,Public,PKE,Hypersonics,A,$50M Midwest plant expansion to double capacity - LOCATION TBD,Jan 2026,9,https://seekingalpha.com/news/4538969-park-aerospace-plans-50m-manufacturing-expansion-to-double-capacity-as-demand-surges,Your $50M Midwest expansion - have you selected a site?
Stoke Space,space-industry,"Kent, WA",,Private,,Launch & Space Access,A,$510M Series D + $260M funding; scaling manufacturing for Nova reusable launch vehicle,2025-01,9,https://www.stokespace.com/stoke-space-technologies-raises-510-million-to-scale-manufacturing-of-fully-reusable-nova-launch-vehicle/,Manufacturing scale-up support; Kent facility expansion
Blue Origin,space-industry,"Kent, WA",,Private,,Launch & Space Access,A,New Titusville FL manufacturing facility (100 jobs); Central Texas ~$1B expansion planned,2025-09,9,https://www.floridatoday.com/story/tech/science/space/2025/09/26/blue-origin-future-titusville-manufacturing-facility-to-employ-100-workers-in-brevard-county-florida/86350571007/,Florida facility expansion; advanced manufacturing
Apex Space,space-industry,"Los Angeles, CA",,Private,,Spacecraft & Satellite Systems,A,"$200M Series C (April 2025); Factory One scaling to 100,000 sq ft; 200+ buses/year capacity",2025-04,9,https://www.prnewswire.com/news-releases/apex-raises-200-million-in-series-c-funding-to-increase-productized-satellite-bus-manufacturing-302440649.html,High-rate satellite manufacturing support; LA expansion
Muon Space,space-industry,"San Jose, CA",,Private,,Spacecraft & Satellite Systems,A,"$146M Series B (June 2025); new 70,000 sq ft facility (10x expansion); acquired Starlight propulsion",2025-06,9,https://www.prnewswire.com/news-releases/muon-space-completes-146-million-series-b-to-scale-satellite-constellations-for-defense-and-commercial-missions-302479524.html,San Jose manufacturing expansion; cleanroom capacity
Impulse Space,space-industry,"Redondo Beach, CA",,Private,,In-Space Services Logistics & Safety,A,$300M Series C (June 2025); NASA orbital transfer contract; scaling manufacturing,2025-06,9,https://www.impulsespace.com/updates/impulse-space-secures-300-million-dollar-series-c-to-accelerate-the-future-of-in-space-mobility,Manufacturing scale-up; Mojave test facility
Ursa Major,space-industry,"Berthoud, CO",,Private,,Launch & Space Access,A,$14.5M R&D center in Youngstown OH (July 2024); $138M Series D; $25M DoD joint investment,2024-07,9,https://executivebiz.com/2024/07/ursa-major-to-build-new-rocket-propulsion-tech-randd-center-in-ohio/,Ohio expansion opportunity; DoD propulsion growth
Eaton,grid-transmission,"Dublin, Ireland",Ireland,Public,ETN,Transformers + Switchgear,A,$340M Jonesville SC 3rd transformer facility Feb 2025; $1B+ NA investment since 2023; production 2027,2025,9,https://www.eaton.com/us/en-us/company/news-insights/news-releases/2025/eaton-invests-in-new-south-carolina-transformer-manufacturing.html,$340M SC transformer plant; $1B+ since 2023
Prolec GE,grid-transmission,"Monterrey, Mexico",Mexico,JV,Xignux + GE,Transformers,A,$140M North Carolina facility 2025 doubling capacity; acquired SPX Waukesha; 144K sqft NC plant,2025,9,https://finance.yahoo.com/news/u-transformers-industry-research-report-080100983.html,$140M NC + Waukesha facilities
Virginia Transformer Corp,grid-transmission,"Roanoke, VA",USA,Private,,Transformers,A,Largest US-owned transformer maker; 6 facilities (Roanoke + Troutville VA + Rincon GA + Pocatello ID); IPM production,2025,9,https://en.wikipedia.org/wiki/Virginia_Transformer_Corporation,Largest US-owned; 6 facilities
Hyosung Heavy Industries,grid-transmission,"Seoul, Korea",Korea,Public,298040.KS,Transformers,A,Hyosung HICO Memphis TN expanding Nov 2025 (2nd time in 6 months); doubling US output to 150 units/year; $720B won investment,2025,9,https://www.kedglobal.com/energy/newsView/ked202503030002,Memphis TN doubling capacity
TMEIC,grid-transmission,"Houston, TX",USA,JV,Toshiba + Mitsubishi,Inverters,A,9 GW Texas solar inverter factory opened Nov 2024; 144K sqft Westport facility; 300+ inverters by Feb 2025; HQ moving to Houston,2025,9,https://pv-magazine-usa.com/2024/08/23/tmeic-announces-9-gw-utility-scale-solar-inverter-factory-in-texas/,Texas 9 GW solar inverter factory
Generac Power Systems,grid-transmission,"Waukesha, WI",USA,Public,GNRC,Generator Sets,A,345K sqft Beaver Dam facility Jul 2025; Sussex WI C&I expansion Jan 2026; megawatt-scale data center gensets,2025,9,https://investors.generac.com/news-releases/news-release-details/generac-expands-its-commercial-industrial-manufacturing,Wisconsin expansion; data center gensets
Siemens Energy Gas,grid-transmission,"Houston, TX",USA,Public,ENR.DE,Gas Turbines,A,$1B US investment; NC transformer + FL/AL/NY/TX gas turbine expansion; SGT6-9000HL for Texas data centers,2025,9,https://www.power-eng.com/gas/turbines/siemens-energy-to-invest-1b-in-u-s-manufacturing-as-grid-gas-turbine-demand-rises/,$1B US investment; multi-state expansion
Figure AI,robotics-oem,San Jose CA,,Private,,Humanoid Robots,A,$1B+ Series C at $39B valuation + BotQ manufacturing facility buildout,Sep 2025,9,https://www.figure.ai/news/series-c,Your $1B raise and BotQ manufacturing buildout position you as humanoid leader — considering production expansion beyond California?
RobCo,robotics-oem,Munich Germany,,Private,,Industrial Automation (RaaS),A,$100M Series C + US expansion (SF HQ + Austin manufacturing),Jan 2026,9,https://theaiinsider.tech/2026/01/30/robco-raises-100m-in-series-c-funding-to-scale-its-autonomous-industrial-robotics-platform/,Your $100M raise and US expansion signal rapid growth — as you scale beyond Austin have you considered Midwest manufacturing regions?
ABB Robotics,robotics-international-v3,"Zurich, Switzerland / Västerås, Sweden",Switzerland,Public,ABBN.SW,Industrial Robotics,A,$280M Sweden robotics hub investment; 50% capacity expansion; potential 2025 spinoff,2024-2025,9,https://new.abb.com/news/detail/107115/abb-to-invest-280-million-in-its-european-robotics-hub-in-sweden,Swedish hub expansion; potential spinoff
Panasonic Energy,battery-expanded,"Osaka, Japan / De Soto KS",Japan,Public,6752.T,EV Battery,A,Kansas De Soto factory opened Jul 2025; Nevada 38 GWh; 19B+ cells to Tesla; 2170 format leader,2025-07,9,https://energy.na.panasonic.com/news/powering-progress-panasonics-new-ev-battery-facility,Kansas factory opens; Tesla primary supplier
Form Energy,battery-expanded,"Somerville, MA / Weirton WV",USA,Private,,Grid Storage,A,$900M+ Series E 2025; West Virginia gigafactory construction; 100+ hour storage; multi-day grid storage pioneer,2025,9,https://storm4.com/resources/industry-insights/energy-storage-startups-us/,Your West Virginia gigafactory and iron-air breakthrough redefine grid storage economics
Mitra Chem,battery-expanded,"Mountain View, CA",USA,Private,,Materials,A,$14.5B Series B (largest battery startup round); LFP cathode manufacturing; US cathode capacity,Mar 2025,9,https://fundraiseinsider.com/blog/series-b-startups/,Your record $14.5B raise signals domestic cathode material manufacturing at scale
Thyssenkrupp Nucera,hydrogen-energy,"Dortmund, Germany",Germany,Public,NCH2.DE,Electrolyzers,A,3+ GW electrolyzer capacity supplying; 110 NEOM modules completed; 2 GW Air Products Saudi order,2025,9,https://za.investing.com/news/company-news/thyssenkrupp-nucera-q4-2025-slides-delivers-on-targets-amid-green-hydrogen-headwinds-93CH-4032579,NEOM 110 modules completed; 3+ GW delivered
Kairos Power,smr-nuclear,"Alameda, CA",USA,Private,,SMR Developer,A,Hermes reactor nuclear construction started May 2025 in Oak Ridge TN; first commercial reactor next decade,2025,9,https://kairospower.com/external_updates/kairos-power-begins-nuclear-construction-of-hermes-demonstration-reactor/,Hermes TN reactor under construction
Holtec International,smr-nuclear,"Camden, NJ",USA,Private,,SMR Developer,A,$400M DOE funding Dec 2025; SMR-300 multi-site deployment; Palisades plant restart,2025,9,https://world-nuclear-news.org/articles/two-smr-projects-selected-for-us-federal-funding,$400M DOE; fleet-scale model
Enphase Energy,solar-manufacturing,"Fremont, CA",USA,Public,ENPH,Inverters,A,US microinverter manufacturing; IQ9 with GaN launching 2025; batteries + EV chargers; domestic content,2025,9,https://www.solarpowerworldonline.com/2024/09/inverter-manufacturers-highlight-higher-domestic-content-at-re-2024/,US microinverter leader; IQ9 GaN launch 2025
Nextracker,solar-manufacturing,"Fremont, CA",USA,Public,NXT,Trackers,A,28.5 GW shipped 2024; 100 GW cumulative milestone; US manufacturing; 35 GW annual capacity across 6 plants,2024,9,https://www.globenewswire.com/news-release/2025/11/04/3180573/0/en/Solar-Tracker-Market-to-Reach-US-32-43-Billion-by-2033-Astute-Analytica.html,#1 tracker globally; 100 GW shipped
Noveon Magnetics,rare-earth-processing,San Marcos TX,,Private,,Magnet Manufacturing + Recycling,A,$215M Series C led by OneIM ($200M) to expand US rare earth magnet manufacturing capacity,Jan 2026,9,https://www.prnewswire.com/news-releases/noveon-magnetics-completes-215-million-series-c-to-expand-us-rare-earth-magnet-manufacturing-capacity-302664196.html,Your $215M raise to expand magnet capacity signals rapid growth — are you evaluating additional production sites?
Applied Materials,semiconductor,"Santa Clara, CA",USA,Public,AMAT,Equipment (Front-End),A,$200M Arizona investment; $400M+ US expansion; Apple partnership; 6th consecutive growth year FY2025,2025,8,https://www.trendforce.com/news/2025/09/02/news-applied-materials-reportedly-sees-limited-u-s-incentive-effect-offers-nuanced-view-on-china/,Arizona expansion; Apple partnership
Lam Research,semiconductor,"Fremont, CA",USA,Public,LRCX,Equipment (Front-End),A,$65M Oregon Tualatin facility opened Nov 2025; 700 workers; R&D expansion for AI chips,2025-11,8,https://www.oregonlive.com/silicon-forest/2025/11/lam-research-opens-65-million-tualatin-office-with-room-for-700-workers.html,Oregon R&D expansion
Tokyo Electron,semiconductor,"Tokyo, Japan / Austin, TX",Japan,Public,8035.T,Equipment (Front-End),A,$170M US chip equipment facility 2025; aiming for US production parity with Japan,2025,8,https://asia.nikkei.com/business/tech/semiconductors/tokyo-electron-aims-to-boost-us-manufacturing-to-same-level-as-japan,US manufacturing ramp; Austin HQ
Entegris,semiconductor,"Billerica, MA",USA,Public,ENTG,Materials,A,$1.4B total US investment; $700M R&D; $600M Colorado Springs manufacturing; Aurora IL tech center,2025,8,https://evertiq.com/news/2025-08-22-entegris-announces-700-million-investment-in-us,Colorado + Illinois expansion; $1.4B US commitment
SkyWater Technology,semiconductor,"Bloomington, MN",USA,Public,SKYT,Fabs,A,$16M CHIPS funding Dec 2024; acquiring Infineon Austin fab Feb 2025 for 65-130nm capacity; US-only trusted foundry for defense/aerospace,2025-02,8,https://www.skywatertechnology.com/skywater-to-acquire-infineons-austin-fab-and-establish-strategic-partnership-to-expand-u-s-foundry-capacity-for-foundational-chips/,Austin acquisition; defense foundry
Coherent (II-VI),semiconductor,"Saxonburg, PA",USA,Public,COHR,Substrates,A,$1B investment from Denso/Mitsubishi; PA factory to 1M 150mm SiC equivalents by 2027; $33M CHIPS funding Dec 2024,2024,8,https://www.coherent.com/news/press-releases/ii-vi-incorporated-accelerates-investment-in-silicon-carbide-substrate-and-epitaxial-wafer-manufacturing-with-large-scale-factory-expansions-in-pennsylvania-and-sweden,PA SiC expansion; $1B strategic investment
Powertech Technology (PTI),semiconductor,"Taoyuan, Taiwan",Taiwan,Public,6239.TW,OSAT,A,$1B FOPLP expansion by 2026; 6000-7000 WPM capacity; panel-level packaging leader; full bookings,2025-10,8,https://www.digitimes.com/news/a20251029PD215/pti-foplp-packaging-expansion-testing.html,$1B panel-level packaging expansion
King Yuan Electronics (KYEC),semiconductor,"Hsinchu, Taiwan",Taiwan,Public,2449.TW,Testing,A,Singapore expansion accelerating; triple AI chip testing contracts; capex increased to NT$12.3B,2025,8,https://www.digitimes.com/news/a20251222PD210/expansion-king-yuan-testing-kyec-ai-chip.html,Singapore expansion; AI chip testing surge
UMC,semiconductor,"Hsinchu, Taiwan",Taiwan,Public,2303.TW,Fabs,A,New Singapore fab Phase 3 opening Apr 2025; 22nm production 2026; 700 new jobs; Intel 12nm collaboration,2025-04,8,https://www.umc.com/en/News/press_release/Content/corporate/20250401,Singapore fab expansion; Intel partnership
AGC Inc,semiconductor,"Tokyo, Japan",Japan,Public,5201.T,Materials,A,59% EUV mask blank market share; 30% capacity expansion by 2025; ¥40B sales target,2025,8,https://www.agc.com/en/news/detail/1203819_2814.html,EUV mask blanks leader
Substrate,semiconductor,"San Francisco, CA",USA,Private,,Equipment (Front-End),A,$100M seed from Founders Fund + In-Q-Tel; building X-ray lithography equipment; US manufacturing,2025,8,https://www.wsj.com/tech/peter-thiel-backed-startup-secures-100-million-to-make-chips-in-u-s-baff93ac,Thiel-backed; US lithography alternative
Beta Technologies,aerospace,"Burlington, VT",USA,Private,,eVTOL,A,Charging network buildout; UPS partnership; Vermont manufacturing facility expansion,2025,8,https://beta.team/news/,Cargo-first approach; charging infrastructure
Eve Air Mobility,aerospace,"Melbourne, FL",USA/Brazil,Public,EVEX,eVTOL,A,17 SEC filings; Embraer backing; $5B+ order backlog; US manufacturing planned,2025-2026,8,https://www.sec.gov/cgi-bin/browse-edgar?CIK=1823652,Embraer aerospace expertise; strong backlog
X-Bow Systems,aerospace,"Albuquerque, NM",USA,Private,,Hypersonics,A,DoD contract expansion + Texas campus expansion,Dec 2024,8,https://www.prnewswire.com/news-releases/x-bow-to-receive-additional-funding-for-expansion-of-dod-contract-for-hypersonic-solid-rocket-motor-development-302337560.html,DoD expanding your SRM contract - scaling fast on Texas campus
True Anomaly,space-industry,"Colorado Springs, CO",,Private,,Data Software & Space Intelligence,A,"90,000 sq ft Long Beach factory expansion; rapid growth in space defense",2025-02,8,https://www.trueanomaly.space/newsroom/true-anomaly-announces-significant-expansion-into-california-with-long-beach-campus,California manufacturing expansion; defense tech growth
Umbra,space-industry,"Santa Barbara, CA",,Private,,Earth Observation Sensing & Geospatial Intelligence,A,"New 50,000 sq ft Southern California manufacturing facility (June 2025); new Space Systems business",2025-06,8,https://umbra.space/blog/umbra-expands-u-s-production-capacity-with-move-to-new-50000-sq-ft-manufacturing-facility/,SAR manufacturing expansion; satellite components sales
Planet Labs,space-industry,"San Francisco, CA",,Public,PL,Earth Observation Sensing & Geospatial Intelligence,A,New Berlin satellite manufacturing facility (Sept 2025); doubling Pelican production capacity,2025-09,8,https://www.businesswire.com/news/home/20250925738688/en/Planet-to-Open-New-Satellite-Manufacturing-Facility-in-Berlin,European manufacturing expansion; German government partnership
ICEYE,space-industry,"Espoo, Finland",,Private,,Earth Observation Sensing & Geospatial Intelligence,A,JV with Rheinmetall for SAR manufacturing at Neuss Germany (Q2 2026); Spain manufacturing center; UAE JV,2025-05,8,https://www.janes.com/osint-insights/defence-news/air/rheinmetall-and-iceye-to-establish-joint-sar-satellite-production,European defense manufacturing; multi-country expansion
Isar Aerospace,space-industry,"Munich, Germany",,Private,,Launch & Space Access,A,€150M convertible bond (June 2025); Munich production expansion; €220M+ Series C with NATO,2025-06,8,https://europeanspaceflight.com/isar-aerospace-raises-e150m-through-convertible-bond-agreement/,European launch manufacturing; Munich facility growth
Firefly Aerospace,space-industry,"Cedar Park, TX",,Private,,Launch & Space Access,A,"Doubled Briggs TX facility to 207,000 sq ft (Feb 2024); Rocket Ranch expansion",2024-02,8,https://fireflyspace.com/news/firefly-aerospace-doubles-facilities-in-briggs-texas-to-support-medium-launch-vehicle/,Texas manufacturing expansion; central Texas aerospace
Rocket Lab,space-industry,"Long Beach, CA",,Public,RKLB,Launch & Space Access,A,New Space Structures Complex in Baltimore County MD; expanded semiconductor manufacturing (Aug 2025),2025-08,8,https://www.businesswire.com/news/home/20250822243590/en/Rocket-Lab-Announces-Expanded-U.S.-Investments-for-National-Security-Programs-and-Semiconductor-Manufacturing,Maryland facility expansion; national security space programs
Relativity Space,space-industry,"Long Beach, CA",,Private,,Launch & Space Access,A,Flight production started; new horizontal integration facility at launch site; SES contract expansion,2025-03,8,https://www.relativityspace.com/press-release/2025/3/7/rycbar123,Launch infrastructure expansion; 3D printed rockets
Morpheus Space,space-industry,"Dresden, Germany",,Private,,Spacecraft Components & Subsystems,A,$15M strategic investment (Feb 2026); Reloaded Facility expansion in Dresden; targeting 100 units,2026-02,8,https://www.prnewswire.com/news-releases/morpheus-space-secures-a-15-million-strategic-investment-to-accelerate-mass-production-expansion-302678253.html,European propulsion manufacturing; Dresden expansion
Siemens Energy,grid-transmission,"Munich, Germany",Germany,Public,ENR.DE,Transformers + Grid,A,US transformer factory expansion; dry-transformer facilities; grid solutions growth,2025,8,https://www.npcelectric.com/news/transformer-market-2025-performance-and-2026-outlook.html,US manufacturing expansion
GE Vernova,grid-transmission,"Cambridge, MA",USA,Public,GEV,Grid Solutions,A,$20M Charleroi PA switchgear + Clearwater FL expansion; HVDC expertise; utility-scale grid solutions,2025,8,https://www.reuters.com/business/energy/grid-equipment-makers-invest-us-ease-supply-shortage--reeii-2025-12-02/,PA + FL grid expansion
ABB,grid-transmission,"Zurich, Switzerland",Switzerland,Public,ABBN.SW,Switchgear + Transformers,A,US low-voltage switchgear capacity expansion; SEAM acquisition 2024; domestic production ramp,2025,8,https://switchgear-magazine.com/tm-news/business/data-centers-surge-but-u-s-grid-faces-hardware-bottlenecks/,US switchgear manufacturing expansion
SPX Transformer Solutions,grid-transmission,"Waukesha, WI",USA,Private,,Transformers,A,$70M Waukesha expansion; Goldsboro NC 50th anniversary; 1200+ US employees; 5-1200 MVA up to 345kV,2025,8,https://www.spx.com/spx-transformer-solutions-goldsboro-north-carolina-facility-celebrates-50th-anniversary/,Waukesha + Goldsboro manufacturing
WEG Transformers USA,grid-transmission,"Washington, MO",Brazil,Public,WEGE3.SA,Transformers,A,$77M 5th NA factory expansion Sept 2025; 3 Missouri facilities; acquired CG Power USA; wind/solar focus,2025,8,https://www.missourinet.com/2025/09/23/washington-missouri-lands-major-expansion-from-weg-transformers/,$77M Missouri expansion; 5th NA factory
Enel North America,grid-transmission,"Andover, MA",USA,Public,ENEL.MI,Grid-Scale Storage,A,10+ GW US capacity; 1.3 GW Texas BESS; 520 MW/780 MWh operational storage; tripled TX capacity 2023,2025,8,https://www.enelnorthamerica.com/about-us/newsroom/search-press/press/2024/03/enel-10gw,10+ GW US; 1.3 GW Texas storage
Rehlko (Kohler Energy),grid-transmission,"Kohler, WI",USA,Private,Platinum Equity,Generator Sets,A,Rebranded from Kohler Energy Sep 2024; Mosel WI site redesigned; expanding industrial generators; Milwaukee area HQ,2025,8,https://www.rehlko.com/kohler-energy-is-now-rehlko,Rebranded; WI industrial expansion
Mitsubishi Power,grid-transmission,"Savannah, GA",USA,Public,7011.T,Gas Turbines,A,Savannah GA manufacturing; JAC turbine most efficient; Takasago Hydrogen Park verification; 4M+ operating hours,2025,8,https://power.mhi.com/regions/amer/products/gas-turbines,Savannah GA manufacturing; JAC turbine
HD Hyundai Robotics,robotics-international-v3,"Seongnam, South Korea",Korea,Private,,Industrial Robotics,A,$144M raise for AI-powered robots; part of Hyundai $26B US investment,2025-08,8,https://www.kedglobal.com/robotics/newsView/ked202508250006,Hyundai US investment; AI robotics expansion
Fluence Energy,battery-expanded,"Arlington, VA",USA,Public,FLNC,Grid Storage,A,Arizona manufacturing open; Houston thermal; $700M US investment; 1200+ jobs; 2.2 GWh Excelsior deal,2025,8,https://ir.fluenceenergy.com/news-releases/news-release-details/fluence-expands-us-manufacturing-footprint-enclosure-and-battery,Multi-site US manufacturing; Siemens/AES heritage
Ford Energy,battery-expanded,"Dearborn, MI / Marshall MI",USA,Public,F,Grid Storage + Data Center,A,$2B BlueOval Battery Park Marshall; pivoting to grid/data center; 20 GWh capacity; CATL LFP tech,2025-2026,8,https://finance.yahoo.com/news/ford-starting-battery-storage-business-211745514.html,Data center + grid storage pivot with CATL tech
Verkor,battery-expanded,"Grenoble, France / Dunkirk FR",France,Private,,EV Battery,A,€2.1B debt + equity inc $900M Series C; Dunkirk 16 GWh gigafactory inaugurated; Renault 20% stake,2025,8,https://verkor.com/en/,Your Dunkirk gigafactory and Renault partnership anchor European EV battery production
