Company,Industry,HQ Location,Country,Ownership,Ticker,Segment,Tier,Signal,Signal Date,Score,Source URL,Messaging Hook
GlobalFoundries,semiconductor,"Malta, NY",USA,Public,GFS,Fabs,A,$16B US investment Jun 2025; $1.5B CHIPS award; Malta NY 358K sqft new fab; Vermont modernization; advanced packaging center,2025-06,9,https://gf.com/gf-press-release/globalfoundries-announces-16b-u-s-investment-to-reshore-essential-chip-manufacturing-and-accelerate-ai-growth/,NY + Vermont expansion; mature node leader
Micron,semiconductor,"Boise, ID",USA,Public,MU,Fabs,A,$6.4B CHIPS funding; 2nd Boise fab announced Jun 2025; NY Clay megafab ($100B); Virginia expansion; HBM manufacturing in US,2025-06,9,https://investors.micron.com/news-releases/news-release-details/micron-and-trump-administration-announce-expanded-us-investments,Idaho + NY + VA expansion; HBM for AI
Texas Instruments,semiconductor,"Dallas, TX",USA,Public,TXN,Fabs,A,$60B+ across 7 fabs in Texas and Utah; Sherman TX fab opened Dec 2025; 300mm analog leader; largest foundational chip investment in US history,2025-12,9,https://www.ti.com/about-ti/newsroom/news-releases/2025/texas-instruments-begins-production-at-its-newest-300mm-semiconductor-manufacturing-facility-in-sherman-texas.html,Sherman producing; $60B commitment
Wolfspeed,semiconductor,"Durham, NC",USA,Public,WOLF,Fabs,A,World's largest SiC fab in Siler City NC (topped out Mar 2024); Marcy NY expansion; CHIPS preliminary terms Oct 2024; 59 SEC filings mentioning expansion/capacity,2024-2025,9,https://www.nist.gov/news-events/news/2024/10/biden-harris-administration-announces-preliminary-terms-wolfspeed-solidify,SiC leader; NC + NY expansion; HIGH SEC SIGNAL ACTIVITY
ASML,semiconductor,"Veldhoven, Netherlands / Wilton, CT",Netherlands,Public,ASML,Equipment (Front-End),A,$200M Connecticut expansion; 1000 new jobs; EUV monopoly; critical to all leading-edge fabs,2025,9,https://www.advancect.org/news-and-media/p/item/43734/asml-investing-200-million-in-connecticut-facility-adding-1000-jobs,Connecticut expansion; EUV monopoly
Archer Aviation,aerospace,"San Jose, CA",USA,Public,ACHR,eVTOL,A,43 SEC filings re: expansion/manufacturing; FAA certification progress; Georgia manufacturing facility,2025-2026,9,https://www.sec.gov/cgi-bin/browse-edgar?CIK=1824502,Manufacturing scale-up underway; HIGH SEC SIGNAL ACTIVITY
Joby Aviation,aerospace,"Santa Cruz, CA",USA,Public,JOBY,eVTOL,A,36 SEC filings re: expansion; Toyota alliance; FAA certification on track; Marina CA manufacturing,2025-2026,9,https://www.sec.gov/cgi-bin/browse-edgar?CIK=1819848,Toyota-backed manufacturing; certification leader
Blue Origin,space-industry,"Kent, WA",,Private,,Launch & Space Access,A,New Titusville FL manufacturing facility (100 jobs); Central Texas ~$1B expansion planned,2025-09,9,https://www.floridatoday.com/story/tech/science/space/2025/09/26/blue-origin-future-titusville-manufacturing-facility-to-employ-100-workers-in-brevard-county-florida/86350571007/,Florida facility expansion; advanced manufacturing
Ursa Major,space-industry,"Berthoud, CO",,Private,,Launch & Space Access,A,$14.5M R&D center in Youngstown OH (July 2024); $138M Series D; $25M DoD joint investment,2024-07,9,https://executivebiz.com/2024/07/ursa-major-to-build-new-rocket-propulsion-tech-randd-center-in-ohio/,Ohio expansion opportunity; DoD propulsion growth
Eaton,grid-transmission,"Dublin, Ireland",Ireland,Public,ETN,Transformers + Switchgear,A,$340M Jonesville SC 3rd transformer facility Feb 2025; $1B+ NA investment since 2023; production 2027,2025,9,https://www.eaton.com/us/en-us/company/news-insights/news-releases/2025/eaton-invests-in-new-south-carolina-transformer-manufacturing.html,$340M SC transformer plant; $1B+ since 2023
Prolec GE,grid-transmission,"Monterrey, Mexico",Mexico,JV,Xignux + GE,Transformers,A,$140M North Carolina facility 2025 doubling capacity; acquired SPX Waukesha; 144K sqft NC plant,2025,9,https://finance.yahoo.com/news/u-transformers-industry-research-report-080100983.html,$140M NC + Waukesha facilities
Virginia Transformer Corp,grid-transmission,"Roanoke, VA",USA,Private,,Transformers,A,Largest US-owned transformer maker; 6 facilities (Roanoke + Troutville VA + Rincon GA + Pocatello ID); IPM production,2025,9,https://en.wikipedia.org/wiki/Virginia_Transformer_Corporation,Largest US-owned; 6 facilities
Hyosung Heavy Industries,grid-transmission,"Seoul, Korea",Korea,Public,298040.KS,Transformers,A,Hyosung HICO Memphis TN expanding Nov 2025 (2nd time in 6 months); doubling US output to 150 units/year; $720B won investment,2025,9,https://www.kedglobal.com/energy/newsView/ked202503030002,Memphis TN doubling capacity
TMEIC,grid-transmission,"Houston, TX",USA,JV,Toshiba + Mitsubishi,Inverters,A,9 GW Texas solar inverter factory opened Nov 2024; 144K sqft Westport facility; 300+ inverters by Feb 2025; HQ moving to Houston,2025,9,https://pv-magazine-usa.com/2024/08/23/tmeic-announces-9-gw-utility-scale-solar-inverter-factory-in-texas/,Texas 9 GW solar inverter factory
Generac Power Systems,grid-transmission,"Waukesha, WI",USA,Public,GNRC,Generator Sets,A,345K sqft Beaver Dam facility Jul 2025; Sussex WI C&I expansion Jan 2026; megawatt-scale data center gensets,2025,9,https://investors.generac.com/news-releases/news-release-details/generac-expands-its-commercial-industrial-manufacturing,Wisconsin expansion; data center gensets
Siemens Energy Gas,grid-transmission,"Houston, TX",USA,Public,ENR.DE,Gas Turbines,A,$1B US investment; NC transformer + FL/AL/NY/TX gas turbine expansion; SGT6-9000HL for Texas data centers,2025,9,https://www.power-eng.com/gas/turbines/siemens-energy-to-invest-1b-in-u-s-manufacturing-as-grid-gas-turbine-demand-rises/,$1B US investment; multi-state expansion
Panasonic Energy,battery-expanded,"Osaka, Japan / De Soto KS",Japan,Public,6752.T,EV Battery,A,Kansas De Soto factory opened Jul 2025; Nevada 38 GWh; 19B+ cells to Tesla; 2170 format leader,2025-07,9,https://energy.na.panasonic.com/news/powering-progress-panasonics-new-ev-battery-facility,Kansas factory opens; Tesla primary supplier
Form Energy,battery-expanded,"Somerville, MA / Weirton WV",USA,Private,,Grid Storage,A,$900M+ Series E 2025; West Virginia gigafactory construction; 100+ hour storage; multi-day grid storage pioneer,2025,9,https://storm4.com/resources/industry-insights/energy-storage-startups-us/,Your West Virginia gigafactory and iron-air breakthrough redefine grid storage economics
Thyssenkrupp Nucera,hydrogen-energy,"Dortmund, Germany",Germany,Public,NCH2.DE,Electrolyzers,A,3+ GW electrolyzer capacity supplying; 110 NEOM modules completed; 2 GW Air Products Saudi order,2025,9,https://za.investing.com/news/company-news/thyssenkrupp-nucera-q4-2025-slides-delivers-on-targets-amid-green-hydrogen-headwinds-93CH-4032579,NEOM 110 modules completed; 3+ GW delivered
Kairos Power,smr-nuclear,"Alameda, CA",USA,Private,,SMR Developer,A,Hermes reactor nuclear construction started May 2025 in Oak Ridge TN; first commercial reactor next decade,2025,9,https://kairospower.com/external_updates/kairos-power-begins-nuclear-construction-of-hermes-demonstration-reactor/,Hermes TN reactor under construction
Applied Materials,semiconductor,"Santa Clara, CA",USA,Public,AMAT,Equipment (Front-End),A,$200M Arizona investment; $400M+ US expansion; Apple partnership; 6th consecutive growth year FY2025,2025,8,https://www.trendforce.com/news/2025/09/02/news-applied-materials-reportedly-sees-limited-u-s-incentive-effect-offers-nuanced-view-on-china/,Arizona expansion; Apple partnership
Lam Research,semiconductor,"Fremont, CA",USA,Public,LRCX,Equipment (Front-End),A,$65M Oregon Tualatin facility opened Nov 2025; 700 workers; R&D expansion for AI chips,2025-11,8,https://www.oregonlive.com/silicon-forest/2025/11/lam-research-opens-65-million-tualatin-office-with-room-for-700-workers.html,Oregon R&D expansion
Entegris,semiconductor,"Billerica, MA",USA,Public,ENTG,Materials,A,$1.4B total US investment; $700M R&D; $600M Colorado Springs manufacturing; Aurora IL tech center,2025,8,https://evertiq.com/news/2025-08-22-entegris-announces-700-million-investment-in-us,Colorado + Illinois expansion; $1.4B US commitment
Coherent (II-VI),semiconductor,"Saxonburg, PA",USA,Public,COHR,Substrates,A,$1B investment from Denso/Mitsubishi; PA factory to 1M 150mm SiC equivalents by 2027; $33M CHIPS funding Dec 2024,2024,8,https://www.coherent.com/news/press-releases/ii-vi-incorporated-accelerates-investment-in-silicon-carbide-substrate-and-epitaxial-wafer-manufacturing-with-large-scale-factory-expansions-in-pennsylvania-and-sweden,PA SiC expansion; $1B strategic investment
UMC,semiconductor,"Hsinchu, Taiwan",Taiwan,Public,2303.TW,Fabs,A,New Singapore fab Phase 3 opening Apr 2025; 22nm production 2026; 700 new jobs; Intel 12nm collaboration,2025-04,8,https://www.umc.com/en/News/press_release/Content/corporate/20250401,Singapore fab expansion; Intel partnership
Beta Technologies,aerospace,"Burlington, VT",USA,Private,,eVTOL,A,Charging network buildout; UPS partnership; Vermont manufacturing facility expansion,2025,8,https://beta.team/news/,Cargo-first approach; charging infrastructure
X-Bow Systems,aerospace,"Albuquerque, NM",USA,Private,,Hypersonics,A,DoD contract expansion + Texas campus expansion,Dec 2024,8,https://www.prnewswire.com/news-releases/x-bow-to-receive-additional-funding-for-expansion-of-dod-contract-for-hypersonic-solid-rocket-motor-development-302337560.html,DoD expanding your SRM contract - scaling fast on Texas campus
Umbra,space-industry,"Santa Barbara, CA",,Private,,Earth Observation Sensing & Geospatial Intelligence,A,"New 50,000 sq ft Southern California manufacturing facility (June 2025); new Space Systems business",2025-06,8,https://umbra.space/blog/umbra-expands-u-s-production-capacity-with-move-to-new-50000-sq-ft-manufacturing-facility/,SAR manufacturing expansion; satellite components sales
Firefly Aerospace,space-industry,"Cedar Park, TX",,Private,,Launch & Space Access,A,"Doubled Briggs TX facility to 207,000 sq ft (Feb 2024); Rocket Ranch expansion",2024-02,8,https://fireflyspace.com/news/firefly-aerospace-doubles-facilities-in-briggs-texas-to-support-medium-launch-vehicle/,Texas manufacturing expansion; central Texas aerospace
Rocket Lab,space-industry,"Long Beach, CA",,Public,RKLB,Launch & Space Access,A,New Space Structures Complex in Baltimore County MD; expanded semiconductor manufacturing (Aug 2025),2025-08,8,https://www.businesswire.com/news/home/20250822243590/en/Rocket-Lab-Announces-Expanded-U.S.-Investments-for-National-Security-Programs-and-Semiconductor-Manufacturing,Maryland facility expansion; national security space programs
GE Vernova,grid-transmission,"Cambridge, MA",USA,Public,GEV,Grid Solutions,A,$20M Charleroi PA switchgear + Clearwater FL expansion; HVDC expertise; utility-scale grid solutions,2025,8,https://www.reuters.com/business/energy/grid-equipment-makers-invest-us-ease-supply-shortage--reeii-2025-12-02/,PA + FL grid expansion
SPX Transformer Solutions,grid-transmission,"Waukesha, WI",USA,Private,,Transformers,A,$70M Waukesha expansion; Goldsboro NC 50th anniversary; 1200+ US employees; 5-1200 MVA up to 345kV,2025,8,https://www.spx.com/spx-transformer-solutions-goldsboro-north-carolina-facility-celebrates-50th-anniversary/,Waukesha + Goldsboro manufacturing
WEG Transformers USA,grid-transmission,"Washington, MO",Brazil,Public,WEGE3.SA,Transformers,A,$77M 5th NA factory expansion Sept 2025; 3 Missouri facilities; acquired CG Power USA; wind/solar focus,2025,8,https://www.missourinet.com/2025/09/23/washington-missouri-lands-major-expansion-from-weg-transformers/,$77M Missouri expansion; 5th NA factory
Enel North America,grid-transmission,"Andover, MA",USA,Public,ENEL.MI,Grid-Scale Storage,A,10+ GW US capacity; 1.3 GW Texas BESS; 520 MW/780 MWh operational storage; tripled TX capacity 2023,2025,8,https://www.enelnorthamerica.com/about-us/newsroom/search-press/press/2024/03/enel-10gw,10+ GW US; 1.3 GW Texas storage
Rehlko (Kohler Energy),grid-transmission,"Kohler, WI",USA,Private,Platinum Equity,Generator Sets,A,Rebranded from Kohler Energy Sep 2024; Mosel WI site redesigned; expanding industrial generators; Milwaukee area HQ,2025,8,https://www.rehlko.com/kohler-energy-is-now-rehlko,Rebranded; WI industrial expansion
Mitsubishi Power,grid-transmission,"Savannah, GA",USA,Public,7011.T,Gas Turbines,A,Savannah GA manufacturing; JAC turbine most efficient; Takasago Hydrogen Park verification; 4M+ operating hours,2025,8,https://power.mhi.com/regions/amer/products/gas-turbines,Savannah GA manufacturing; JAC turbine
Fluence Energy,battery-expanded,"Arlington, VA",USA,Public,FLNC,Grid Storage,A,Arizona manufacturing open; Houston thermal; $700M US investment; 1200+ jobs; 2.2 GWh Excelsior deal,2025,8,https://ir.fluenceenergy.com/news-releases/news-release-details/fluence-expands-us-manufacturing-footprint-enclosure-and-battery,Multi-site US manufacturing; Siemens/AES heritage
Plug Power,hydrogen-energy,"Latham, NY",USA,Public,PLUG,Electrolyzers + Fuel Cells,A,95+ MW electrolyzer capacity delivered; 100MW Galp Portugal project; Georgia + Tennessee production facilities,2025,8,https://www.plugpower.com/plug-power-2025-a-year-of-momentum-milestones-and-meaningful-progress/,US electrolyzer leader; GA + TN manufacturing
Electric Hydrogen,hydrogen-energy,"Natick, MA",USA,Private,,Electrolyzers,A,$220M+ raised; 1 GW/year stack production target; HIF Texas e-Fuels project supplier,2025,8,https://eh2.com/,HIF Texas contract; GW-scale production
Canadian Solar,solar-manufacturing,"Guelph, ON Canada / Mesquite TX",Canada,Public,CSIQ,Integrated,A,3 US facilities: modules + cells + e-STORAGE; $3.2B backlog; 81 GWh storage pipeline; Texas expansion,2025,8,https://investors.canadiansolar.com/news-releases/news-release-details/canadian-solar-reports-fourth-quarter-and-full-year-2024-results,$3.2B backlog; modules + cells + storage US manufacturing
Illuminate USA (LONGi),solar-manufacturing,"Pataskala, OH",USA,Private,LONGi JV,Modules,A,"$600M investment; 5 GW Ohio factory; 1,000 workers; full capacity end 2024",2024,8,https://finance.yahoo.com/news/factbox-chinese-owned-solar-factories-100904217.html,$600M Ohio factory; LONGi JV
Suniva,solar-manufacturing,"Norcross, GA",USA,Private,,Cells,A,Georgia cell factory restarted Nov 2024 (1 GW); scaling to 2.5 GW; first US cell production restart,2024,8,https://www.reuters.com/business/energy/solar-manufacturer-suniva-resumes-production-american-made-cells-2024-11-08/,US cell manufacturing restarted
Boviet Solar,solar-manufacturing,"Ho Chi Minh City, Vietnam / Greenville NC",Vietnam,Private,,Cells + Modules,A,3 GW North Carolina module + cell facility expansion Sept 2025; fully integrated US manufacturing,2025,8,https://www.solarpowerworldonline.com/2025/09/boviet-solar-adds-another-gigawatt-of-capacity-at-nc-solar-panel-manufacturing-facility/,3 GW NC integrated cell + module facility
ES Foundry,solar-manufacturing,"Columbia, SC",USA,Private,,Cells,A,1 GW South Carolina cell factory opened Jan 2025; second US cell manufacturer; domestic content,2025,8,https://solartechonline.com/blog/us-solar-manufacturing-guide/,Second US cell manufacturer; SC factory
SolarEdge Technologies,solar-manufacturing,"Herzliya, Israel / Texas + Florida",Israel,Public,SEDG,Inverters,A,Texas inverters + Florida optimizers + Utah batteries; 8M optimizers/quarter capacity; domestic content,2025,8,https://investors.solaredge.com/news-releases/news-release-details/solaredge-marks-milestones-us-manufacturing-strategy-achieving,TX + FL + UT US manufacturing; 45X credits
Array Technologies,solar-manufacturing,"Albuquerque, NM",USA,Public,ARRY,Trackers,A,100% domestic content trackers H1 2025; Albuquerque NM factory construction; #3 global tracker,2025,8,https://www.pv-tech.org/array-on-course-to-deliver-100-domestic-content-pv-tracker-in-h1-2025/,100% US domestic content 2025; NM factory
ON Semiconductor,semiconductor,"Scottsdale, AZ",USA,Public,ON,Fabs,A,SiC fab expansion South Korea completed; US CHIPS funding for SiC epitaxial expansion,2024-2025,7,https://www.semiconductors.org/chip-supply-chain-investments/,SiC power semiconductor expansion
Amkor Technology,semiconductor,"Tempe, AZ",USA,Public,AMKR,OSAT,A,Arizona facility expansion; advanced packaging for AI/HPC,2024-2025,7,https://www.amkor.com/,US advanced packaging leader
X-FAB,semiconductor,"Lubbock, TX / Erfurt, Germany",Germany,Public,XFAB,Fabs,A,$50M CHIPS funding Dec 2024; only high-volume SiC foundry in USA; Lubbock TX expansion,2024-12,7,https://www.nist.gov/chips/x-fab-texas-lubbock,Only US SiC foundry; Lubbock expansion
Renesas Electronics,semiconductor,"Tokyo, Japan",Japan,Public,6723.T,Fabs,A,Kofu fab reopened for power semis 2024; SiC production end 2024; acquired Transphorm GaN,2024-2025,7,https://www.datacenterdynamics.com/en/news/renesas-reopens-previously-shuttered-japanese-chip-fab/,Kofu fab reopened; SiC + GaN expansion
Tower Semiconductor,semiconductor,"Migdal HaEmek, Israel",Israel,Public,TSEM,Fabs,A,Intel New Mexico partnership; ST Italy joint facility qualified Q4 2024; $300M investment in Intel fab tools,2024,7,https://newsroom.intel.com/intel-foundry/sept-2023-manufacturing-news,Intel partnership; specialty foundry expansion
Hitachi High-Tech,semiconductor,"Tokyo, Japan",Japan,Public,Hitachi,Equipment (Front-End),A,New Kasado production facility completed 2025; etching systems expansion,2025,7,https://www.hitachi.com/New/cnews/month/2023/04/230418a.html,New Japan production facility
Soulbrain,semiconductor,"Seongnam, South Korea",Korea,Public,357780.KQ,Materials,A,$175M Taylor Texas plant for Samsung; high-purity phosphoric acid; construction Jan 2025,2025,7,https://www.statesman.com/story/news/local/2024/07/29/samsung-semiconductors-plant-taylor-texas-south-korean-company-soulbrain-tx-llc-invest/74562610007/,Taylor TX plant for Samsung
Benchmark Space Systems,space-industry,"Burlington, VT",,Private,,Spacecraft Components & Subsystems,A,"40,000 sq ft facility in Burlington VT; tripled production capacity; UK expansion",2024,7,https://www.benchmarkspacesystems.com/news/post/press-release-benchmark-space-systems-triples-propulsion-system-production-capacity-doubles-personnel-to-meet-thruster-and-in-space-mobility-demand,Vermont propulsion manufacturing; UK Westcott expansion
Resilient Structures,grid-transmission,"Houston, TX",USA,Private,,Utility Structures,B,Houston factory opened Jul 2024; composite utility poles; CenterPoint largest customer; 30 countries,2024,7,https://www.houstonchronicle.com/business/energy/article/electric-transmission-pole-resilient-19507283.php,Houston composite pole factory
Agility Robotics,robotics-oem,Corvallis OR,,Private,,Humanoid Robots (Logistics),A,RoboFab facility in Salem OR producing Digit; capacity for 10K units/year,2023-2025,7,https://spectrum.ieee.org/agility-humanoid-robotics-factory,Your RoboFab facility and Amazon/GXO partnerships show strong demand — planning additional production capacity?
Trina Solar (T1 Energy),solar-manufacturing,"Changzhou, China / Wilmer TX",China,Public,688599.SS,Modules,A,$200M 5 GW Texas module plant opened; expansion in 2025; rebranded T1 Energy for US ops,2024-2025,7,https://www.sunhub.com/blog/top-5-american-solar-panel-manufacturers-in-2025/,5 GW Texas module factory
JinkoSolar,solar-manufacturing,"Shanghai, China / Jacksonville FL",China,Public,JKS,Modules,A,Jacksonville FL 2 GW module factory; $67M investment; 600 jobs; operational 2024,2024,7,https://finance.yahoo.com/news/factbox-chinese-owned-solar-factories-100904217.html,2 GW Florida factory operational
Cyclic Materials,rare-earth-processing,Toronto ON,,Private,,REE Recycling,A,$82M investment in new rare earth recycling campus in McBee SC + existing US commercial facility,Jan 2026,7,https://www.businesswire.com/news/home/20260129743973/en/Cyclic-Materials-to-Expand-U.S.-Rare-Earth-Recycling-Footprint-with-New-South-Carolina-Campus,Your $82M South Carolina campus accelerates US recycling capacity — as magnet scrap volumes grow are more sites planned?
Microchip Technology,semiconductor,"Chandler, AZ",USA,Public,MCHP,Fabs,B,$162M CHIPS for Oregon + Colorado expansion; closing Tempe AZ Sept 2025; consolidating,2024-2025,6,https://www.oregonlive.com/silicon-forest/2024/12/microchip-will-close-arizona-factory-while-it-pursues-federal-subsidies-to-expand-in-oregon-colorado.html,Oregon + Colorado CHIPS expansion
Chang Robotics,robotics-oem,Multiple US,,Private,,Healthcare/Industrial Robotics,A,$50M Chang Robotics Fund + expansion to fourth US operational site,Apr 2025,6,https://www.roboticstomorrow.com/news/2025/04/28/chang-robotics-announces-major-us-manufacturing-push-50m-fund-launch-and-breakthrough-innovations-for-2025/24650/,Your $50M fund and fourth US site show commitment to domestic manufacturing — where is the next expansion?
LONGi Green Energy,solar-manufacturing,"Xi'an, China / Ohio",China,Public,601012.SS,Modules,B,Ohio module factory partnership announced Mar 2024; operations Q1 2025,2025,6,https://unicorn-sd.com/jinkosolar-trina-solar-ja-solar-longi-and-csi-solar-considered-the-worlds-top-five-module-manufacturers-have-established-or-plan-to-construct-manufacturing-facilities-in-the-us/,Ohio factory partnership
Silfab Solar,solar-manufacturing,"Mississauga, ON Canada / Burlington WA",Canada,Private,,Modules,B,Burlington WA + Fort Mill SC facilities; 1.3 GW combined capacity; North American focused,2024,6,https://silfabsolar.com/our-story/,WA + SC manufacturing; North American made
Heliene,solar-manufacturing,"Sault Ste. Marie, ON Canada / Mountain Iron MN",Canada,Private,,Modules,B,Minnesota facility operational; Canadian + US manufacturing; Iron Range expansion,2024,6,https://www.solarpowerworldonline.com/2023/10/3sun-expects-its-american-made-solar-cells-to-enter-market-in-2025/,Minnesota + Ontario manufacturing
Meyer Burger,solar-manufacturing,"Thun, Switzerland / Goodyear AZ",Switzerland,Public,MBTN.SW,Cells + Modules,B,Arizona module plant operational; Colorado cell plant announced Q4 2024 start; 2 GW HJT cell capacity,2024,6,https://www.meyerburger.com/en/newsroom/artikel/meyer-burger-announces-solar-cell-production-facility-in-colorado-usa,Arizona + Colorado US manufacturing
OMCO Solar,solar-manufacturing,"Phoenix, AZ",USA,Private,,Trackers + Racking,B,Arizona manufacturing; Origin tracker system; utility-scale focus,2024,6,https://solarbuildermag.com/news/tracking-trackers-product-upgrades-and-strategic-moves-from-top-u-s-solar-manufacturers/,Arizona US manufacturing; utility focus
JA Solar,solar-manufacturing,"Beijing, China / Phoenix AZ",China,Public,002459.SZ,Modules,B,Phoenix AZ 2 GW module factory announced; targeting US domestic content,2024,5,https://unicorn-sd.com/jinkosolar-trina-solar-ja-solar-longi-and-csi-solar-considered-the-worlds-top-five-module-manufacturers-have-established-or-plan-to-construct-manufacturing-facilities-in-the-us/,Phoenix AZ factory planned
Enphase Energy,battery-expanded,"Fremont, CA",USA,Public,ENPH,Residential Storage,B,SC + WI + third US site; IQ Battery 5P,2023-2025,4,https://enphase.com/,US manufacturing expansion
