Company,Website,HQ Location,Country,Employee Count,Ownership,Ticker,Founded,Segment,Sub-Segment,Tier,Signal Type,Signal,Signal Date,Score,Source URL,Messaging Hook,Notes
Anduril Industries,anduril.com,"Costa Mesa, CA",USA,,Private,,2017,Hypersonics,Weapons/Propulsion,A,Event,"$19M Navy SM-6 contract + Denali booster successful tests",2024-2025,8,https://www.designdevelopmenttoday.com/industries/military/news/22927560/andurils-denali-takes-on-affordable-hypersonic-propulsion,Denali progress and Navy contract point to SRM scale-up,Palmer Luckey; bladeless speed mixing
X-Bow Systems,xbowsystems.com,"Albuquerque, NM",USA,,Private,,2016,Hypersonics,Solid Rocket Motors,A,Event,"DoD contract expansion + Texas campus expansion",Dec 2024,8,https://www.prnewswire.com/news-releases/x-bow-to-receive-additional-funding-for-expansion-of-dod-contract-for-hypersonic-solid-rocket-motor-development-302337560.html,DoD expanding your SRM contract - scaling fast on Texas campus,Additive manufacturing for rocket motors
Ursa Major,ursamajor.com,"Berthoud, CO",USA,,Private,,2015,Hypersonics,Propulsion,A,Event,"$28.6M AFRL contract + Teledyne D3I partnership for hypersonic targets",May 2025,8,https://ursamajor.com/media/press-release/afrl-awards-ursa-major-usd28-6m-contract/,AFRL contract and Teledyne partnership position you as propulsion leader,Draper engine; ex-SpaceX/Blue Origin founder
Stratolaunch,stratolaunch.com,"Mojave, CA",USA,,Private,,2011,Hypersonics,Test Platform,A,Event,"Reusable Talon-A2 hypersonic flight + MDA MACH-TB contract (5 flights)",Mar 2025,8,https://www.stratolaunch.com/news/stratolaunch-successfully-completes-reusable-hypersonic-flight-and-recovery-with-talon-a2-vehicle/,Reusable hypersonic testbed success - full flight manifest,Paul Allen founded; Roc carrier aircraft
Northrop Grumman,northropgrumman.com,"Elkton, MD",USA,,Public,NOC,1939,Hypersonics,Solid Rocket Motors,A,Event,"$94.3M Navy SSRM contract for 21-inch second-stage motors",Jan 2026,8,https://news.northropgrumman.com/srm/US-Navy-Selects-Northrop-Grumman-for-Second-Stage-Solid-Rocket-Motor-Program,New Navy SSRM contract expands motor production at Elkton,Propulsion Innovation Center
Venus Aerospace,venusaero.com,"Houston, TX",USA,,Private,,2020,Hypersonics,Propulsion,A,Event,"Lockheed Martin Ventures investment + May 2025 RDRE flight test",Oct 2025,7,https://spacenews.com/lockheed-martin-ventures-invests-in-rocket-propulsion-startup-venus-aerospace/,Lockheed investment validates your rotating detonation engine breakthrough,World-first high-thrust RDRE test
Park Aerospace,parkaerospace.com,"Newton, KS",USA,,Public,PKE,1954,Hypersonics,Materials - Composites,A,Event,"$50M Midwest plant expansion to double capacity - LOCATION TBD",Jan 2026,9,https://seekingalpha.com/news/4538969-park-aerospace-plans-50m-manufacturing-expansion-to-double-capacity-as-demand-surges,Your $50M Midwest expansion - have you selected a site?,TYPE 1 LEAD; RadarWave radome prepreg
Albany Engineered Composites,albint.com,"Rochester, NH",USA,,Public,AIN,1895,Hypersonics,Materials - Composites,A,Event,"Army hypersonic 3D weaving contract + Spirit AeroSystems TPS partnership",2021-2026,8,https://www.spiritaero.com/pages/release/expanding-hypersonic-capabilities/,Your Army hypersonic contract and Spirit partnership position you as TPS leader,3D woven near-net composites
L3Harris,l3harris.com,"Melbourne, FL",USA,,Public,LHX,2019,Hypersonics,Propulsion/Motors,A,Event,"$22M GAMMA-H scramjet + Zeus motor production increase to 60 units",2024-2025,7,https://www.l3harris.com/newsroom/press-release/2025/12/l3harris-receives-letter-intent-kratos-defense-production-large,Scramjet and motor production signals growing demand,Acquired Aerojet Rocketdyne; Camden AR site
Draper Laboratory,draper.com,"Cambridge, MA",USA,,Non-Profit,,1932,Hypersonics,Guidance/Navigation,A,Event,"$308M Navy CPS guidance contract",Mar 2024,7,https://www.draper.com/,Major Navy guidance contract validates hypersonic navigation expertise,MIT spinout; inertial nav
Canopy Aerospace,canopyaerospace.com,"Littleton, CO",USA,,Private,,2021,Hypersonics,Thermal Protection,A,Event,"$2.8M USAF + $850K NASA SBIR for additive TPS",2024,7,https://www.canopyaerospace.com/,Air Force and NASA backing your additive manufactured TPS,NASA Ames tech spinout
