Company,Website,HQ Location,Employee Count,Ownership,Ticker,Founded,Parent Company,NAICS,Segment,Tier,Signal Type,Signal,Signal Date,Score,Source URL,Messaging Hook,Notes
Planet Labs,planet.com,"San Francisco, CA",,Public,PL,,,Planet Labs PBC,Earth Observation Sensing & Geospatial Intelligence,A,Event,"New Berlin satellite manufacturing facility (Sept 2025); doubling Pelican production capacity",2025-09,8,https://www.businesswire.com/news/home/20250925738688/en/Planet-to-Open-New-Satellite-Manufacturing-Facility-in-Berlin,European manufacturing expansion; German government partnership,Building satellites in Germany for first time
ICEYE,iceye.com,"Espoo, Finland",,Private,,,,,Earth Observation Sensing & Geospatial Intelligence,A,Event,"JV with Rheinmetall for SAR manufacturing at Neuss Germany (Q2 2026); Spain manufacturing center; UAE JV",2025-05,8,https://www.janes.com/osint-insights/defence-news/air/rheinmetall-and-iceye-to-establish-joint-sar-satellite-production,European defense manufacturing; multi-country expansion,$158M raised in 2024; manufacturing in Germany/Spain/UAE
Loft Orbital,loftorbital.com,"San Francisco, CA",,Private,,,,,Spacecraft & Satellite Systems,A,Event,"$170M Series C (Jan 2025); Orbitworks JV with 50,000 sq ft facility in Abu Dhabi",2025-01,8,https://spacenews.com/loft-orbital-raises-170-million-to-accelerate-condosat-business/,Middle East manufacturing partnership; UAE expansion,First satellite platform assembled in UAE early 2025
Isar Aerospace,isaraerospace.com,"Munich, Germany",,Private,,,,,Launch & Space Access,A,Event,"€150M convertible bond (June 2025); Munich production expansion; €220M+ Series C with NATO",2025-06,8,https://europeanspaceflight.com/isar-aerospace-raises-e150m-through-convertible-bond-agreement/,European launch manufacturing; Munich facility growth,Building 2nd and 3rd Spectrum rockets; first launch 2025
Firefly Aerospace,fireflyspace.com,"Cedar Park, TX",,Private,,,,,Launch & Space Access,A,Event,"Doubled Briggs TX facility to 207,000 sq ft (Feb 2024); Rocket Ranch expansion",2024-02,8,https://fireflyspace.com/news/firefly-aerospace-doubles-facilities-in-briggs-texas-to-support-medium-launch-vehicle/,Texas manufacturing expansion; central Texas aerospace,MLV medium launch vehicle production
Rocket Lab,rocketlabusa.com,"Long Beach, CA",,Public,RKLB,,,Rocket Lab USA Inc,Launch & Space Access,A,Event,"New Space Structures Complex in Baltimore County MD; expanded semiconductor manufacturing (Aug 2025)",2025-08,8,https://www.businesswire.com/news/home/20250822243590/en/Rocket-Lab-Announces-Expanded-U.S.-Investments-for-National-Security-Programs-and-Semiconductor-Manufacturing,Maryland facility expansion; national security space programs,65 jobs in MD by Dec 2025; Neutron production at MARS
Relativity Space,relativityspace.com,"Long Beach, CA",,Private,,,,,Launch & Space Access,A,Event,"Flight production started; new horizontal integration facility at launch site; SES contract expansion",2025-03,8,https://www.relativityspace.com/press-release/2025/3/7/rycbar123,Launch infrastructure expansion; 3D printed rockets,Terran R in flight production; Stennis testing
Tomorrow.io,tomorrow.io,"Boston, MA",,Private,,,,,Earth Observation Sensing & Geospatial Intelligence,A,Event,"$175M financing (Feb 2026) for DeepSky AI-native weather satellite constellation",2026-02,8,https://www.tomorrow.io/blog/tomorrow-io-announces-175m-financing-to-deploy-deepsky-the-worlds-first-ai-native-weather-satellite-constellation/,Weather satellite constellation expansion; AI infrastructure,First constellation complete; DoD contracts
Starfish Space,starfishspace.com,"Tukwila, WA",,Private,,,,,In-Space Services Logistics & Safety,A,Event,"$29M Series A (Sept 2024); $37.5M STRATFI contract; total funding $63M+",2024-09,8,https://www.starfishspace.com/press-release/starfish-space-secures-29-million-in-new-funding-to-advance-otter-development/,Satellite servicing manufacturing; Otter vehicle development,Successful Otter Pup rendezvous mission 2024
Morpheus Space,morpheus-space.com,"Dresden, Germany",,Private,,,,,Spacecraft Components & Subsystems,A,Event,"$15M strategic investment (Feb 2026); Reloaded Facility expansion in Dresden; targeting 100 units",2026-02,8,https://www.prnewswire.com/news-releases/morpheus-space-secures-a-15-million-strategic-investment-to-accelerate-mass-production-expansion-302678253.html,European propulsion manufacturing; Dresden expansion,GO-2 electric propulsion systems; mass production scale
York Space Systems,yorkspacesystems.com,"Denver, CO",,Private,,,,,Spacecraft & Satellite Systems,A,Event,"4th production facility (Potomac) adding 60,000 sq ft; 1,000+ spacecraft/year capacity",2023-08,7,https://www.prnewswire.com/news-releases/construction-of-york-space-systems-fourth-production-facility-is-complete-doubling-production-capacity-to-meet-growing-commercial-and-government-demand-301895989.html,Denver satellite manufacturing; high-rate production,Denver Tech Center expansion; Space Force contracts
Terran Orbital,terranorbital.com,"Irvine, CA",,Public,LLAP,,,Lockheed Martin,Spacecraft & Satellite Systems,A,Event,"Acquired by Lockheed Martin (Aug 2024); 98,000 sq ft manufacturing facility",2024-08,7,https://news.lockheedmartin.com/2024-08-15-Lockheed-Martin-to-Acquire-Terran-Orbital,Lockheed integration support; advanced satellite manufacturing,Major acquisition provides capital and scale
Astranis,astranis.com,"San Francisco, CA",,Private,,,,,Spacecraft Components & Subsystems,A,Event,"4 MicroGEO satellites launched (Dec 2024); $8M USSF contract; scaling manufacturing capacity",2024-12,7,https://spacenews.com/four-satellite-astranis-launch-signals-shift-toward-scaled-geo-deployments/,GEO satellite manufacturing scale-up; 400+ employees,Multiple satellites on-orbit; in-house manufacturing upgrades
Turion Space,turionspace.com,"Irvine, CA",,Private,,,,,In-Space Services Logistics & Safety,A,Event,"$20M Series A oversubscribed (Dec 2024); plans for 45 satellites annually by 2027",2024-12,7,https://www.veteranventures.us/news1/announcing-a-strategic-investment-in-turion-space-expanding-new-space-tech-portfolio,Satellite manufacturing scale-up; Irvine expansion,DROID.002 launch 2025; debris capture by 2026
Pixxel,pixxel.space,"Bangalore, India",,Private,,,,,Earth Observation Sensing & Geospatial Intelligence,A,Event,"$24M Series B extension (Dec 2024); Fireflies 6-satellite launch early 2025",2024-12,7,https://spaceinsider.tech/2024/12/09/pixxel-secures-24m-in-series-b-extension-to-advance-hyperspectral-satellite-constellation/,Hyperspectral satellite manufacturing; US expansion potential,24-satellite constellation planned
D-Orbit,dorbit.space,"Como, Italy",,Private,,,,,In-Space Services Logistics & Safety,A,Event,"D-Orbit USA joint venture formed (July 2024); $170M total funding; $107M Series C",2024-07,7,https://spacenews.com/d-orbit-forms-u-s-venture-to-pursue-satellite-manufacturing/,US market entry support; satellite bus manufacturing,First US satellite launch target 2025
Orbex,orbex.space,"Forres, Scotland",,Private,,,,,Launch & Space Access,A,Event,"£20M UK government investment (Jan 2025); London base + Scotland HQ expansion",2025-01,7,https://www.scotsman.com/business/all-systems-go-for-ground-breaking-rocket-launch-after-scotlands-orbex-secures-ps20m-boost-4964379,UK launch manufacturing; Scottish aerospace growth,First Prime launch late 2025 from SaxaVord
Benchmark Space Systems,benchmarkspacesystems.com,"Burlington, VT",,Private,,,,,Spacecraft Components & Subsystems,A,Event,"40,000 sq ft facility in Burlington VT; tripled production capacity; UK expansion",2024,7,https://www.benchmarkspacesystems.com/news/post/press-release-benchmark-space-systems-triples-propulsion-system-production-capacity-doubles-personnel-to-meet-thruster-and-in-space-mobility-demand,Vermont propulsion manufacturing; UK Westcott expansion,Halcyon HTP propulsion systems; doubled personnel
Orbit Fab,orbitfab.com,"Lafayette, CO",,Private,,,,,In-Space Services Logistics & Safety,A,Event,"$28.5M Series A; expanding manufacturing; 3 launches for US government 2025; UK £2M investment",2024-07,7,https://www.orbitfab.com/news/uk-refueling-innovation/,Space refueling infrastructure; Colorado manufacturing,Gas Stations in Space; RAFTI interface adoption
Sierra Space,sierraspace.com,"Louisville, CO",,Private,,,,,Spacecraft & Satellite Systems,B,Tailwind,"Dream Chaser production in Louisville factory; 2nd spaceplane Reverence in production",2024,6,https://www.sierraspace.com/press-releases/sierra-space-reinvents-space-transportation-with-dream-chaser/,Dream Chaser production support; Colorado aerospace,First Tenacity launch delayed; strong commercial station pipeline
Axiom Space,axiomspace.com,"Houston, TX",,Private,,,,,Space Stations Habitats & Orbital Platforms,B,Tailwind,"Station modules being built by Thales Alenia Space; Houston integration facility for 2025",2024,6,https://www.axiomspace.com/release/axiom-space-accelerates-axiom-station-assembly,Commercial space station support; Houston operations,5 modules manifested; AxPPTM structure to Houston 2025
Vast,vastspace.com,"Long Beach, CA",,Private,,,,,Space Stations Habitats & Orbital Platforms,B,Tailwind,"Haven-1 module construction in Long Beach; Haven Demo launched 2025",2024,6,https://www.vastspace.com/,Commercial space station manufacturing; Long Beach expansion,First commercial space station company to fly own spacecraft
Voyager Space,voyagerspace.com,"Denver, CO",,Private,,,,,Space Stations Habitats & Orbital Platforms,B,Tailwind,"Starlab commercial space station partnership with Airbus/Mitsubishi/MDA",2024,6,https://www.airbus.com/en/products-services/space/space-exploration/starlab,Commercial station development; Starlab joint venture,US-led international space station collaboration
Astroscale,astroscale.com,"Tokyo, Japan",,Private,,,,,In-Space Services Logistics & Safety,B,Tailwind,"ADRAS-J mission approached debris at 15m (Nov 2024); JAXA Phase II contract (Aug 2024)",2024-11,6,https://en.wikipedia.org/wiki/Astroscale,Debris removal services; Japan partnership,World's first debris approach demonstration
Capella Space,capellaspace.com,"San Francisco, CA",,Private,,,,,Earth Observation Sensing & Geospatial Intelligence,B,Tailwind,"Moved to larger facilities; $15M USAF contract for next-gen SAR (2024); 36-satellite constellation",2024,6,https://en.wikipedia.org/wiki/Capella_Space,SAR satellite manufacturing; defense contracts,15 satellites on-orbit; Acadia next-gen satellites
Slingshot Aerospace,slingshotaerospace.com,"El Segundo, CA",,Private,,,,,Data Software & Space Intelligence,B,Tailwind,"UK expansion (London/Cornwall); Ottawa Canada office (May 2025); 200+ sensors planned",2025-05,6,https://www.satellitetoday.com/people/2025/05/01/slingshot-aerospace-continues-international-expansion-with-canadian-office/,International sensor network expansion; space domain awareness,Global Sensor Network growth; UK/Canada presence
HawkEye 360,he360.com,"Herndon, VA",,Private,,,,,Earth Observation Sensing & Geospatial Intelligence,B,Tailwind,"30 satellites deployed (Aug 2024); 3 new clusters (9 spacecraft) ordered Sept 2025",2025-09,6,https://www.satellitetoday.com/manufacturing/2025/09/10/hawkeye-360-orders-three-new-satellite-clusters-from-sfl-missions/,RF geolocation satellite manufacturing; Virginia expansion,In-house manufacturing at Herndon facility
ThinkOrbital,thinkorbital.com,"Boulder, CO",,Private,,,,,Space Stations Habitats & Orbital Platforms,B,Event,"World's first autonomous in-space welding (May 2024); NASA/ESA collaboration",2024-05,6,https://thinkorbital.com/news/launch-of-first-welding-system/,In-space construction technology; Boulder aerospace,CONTESA system for in-space fabrication; $9.6M seed
SpinLaunch,spinlaunch.com,"Long Beach, CA",,Private,,,,,Launch & Space Access,B,Tailwind,"Spaceport America facility in New Mexico; kinetic launch testing ongoing",2024,5,https://en.wikipedia.org/wiki/SpinLaunch,Novel launch technology; test facility operations,10+ flight tests completed; satellite qualification services
ABL Space Systems,ablspacesystems.com,"El Segundo, CA",,Private,,,,,Launch & Space Access,B,Tailwind,"30,000 sq ft R&D/production facilities; Port of Long Beach spacecraft processing",2022,5,https://labusinessjournal.com/manufacturing/aerospace/abl-space-systems-leases-facility-port-long-beach/,Launch vehicle manufacturing; Southern California aerospace,Rebranded as Long Wall; mobile launch capability
SpaceX,spacex.com,"Hawthorne, CA",,Private,,,,,Launch & Space Access,C,Tailwind,"Dominant launch provider; Starship development; Starlink manufacturing at scale",2024,4,https://en.wikipedia.org/wiki/SpaceX,Generally not seeking EDO assistance,Market leader; not typical EDO target
Northrop Grumman,northropgrumman.com,"Falls Church, VA",,Public,NOC,,,Northrop Grumman Corporation,Spacecraft & Satellite Systems,C,Tailwind,"Major defense prime; space systems division; Cygnus resupply",2024,4,https://en.wikipedia.org/wiki/Northrop_Grumman,Generally not seeking EDO assistance,Large prime contractor; established facilities
Collins Aerospace,collinsaerospace.com,"Charlotte, NC",,Public,RTX,,,RTX Corporation,Spacecraft Components & Subsystems,C,Tailwind,"Major aerospace supplier; space components",2024,4,https://en.wikipedia.org/wiki/Collins_Aerospace,Generally not seeking EDO assistance,Part of RTX; established operations
United Launch Alliance,ulalaunch.com,"Centennial, CO",,Private,,,,Boeing/Lockheed JV,Launch & Space Access,C,Tailwind,"Vulcan launch vehicle; established launch services",2024,4,https://en.wikipedia.org/wiki/United_Launch_Alliance,Generally not seeking EDO assistance,Joint venture of major primes
Viasat,viasat.com,"Carlsbad, CA",,Public,VSAT,,,Viasat Inc,Communications PNT & Connectivity,C,Tailwind,"Large satellite communications provider",2024,4,https://en.wikipedia.org/wiki/Viasat,Generally not seeking EDO assistance,Established operations; public company
Virgin Galactic,virgingalactic.com,"Tustin, CA",,Public,SPCE,,,Virgin Galactic Holdings,Human Spaceflight Exploration & Commercial Space,C,Tailwind,"Space tourism; New Mexico operations",2024,4,https://en.wikipedia.org/wiki/Virgin_Galactic,Generally not seeking EDO assistance,Established facilities; paused commercial flights
Ball Aerospace,ballaerospace.com,"Broomfield, CO",,Public,BALL,,,Ball Corporation,Spacecraft & Satellite Systems,C,Tailwind,"Major satellite manufacturer; defense and civil",2024,4,https://en.wikipedia.org/wiki/Ball_Aerospace,Generally not seeking EDO assistance,Large established prime
Moog Inc,moog.com,"East Aurora, NY",,Public,MOG.A,,,Moog Inc,Spacecraft Components & Subsystems,C,Tailwind,"Space components supplier",2024,4,https://en.wikipedia.org/wiki/Moog_Inc.,Generally not seeking EDO assistance,Established supplier
The Aerospace Corporation,aerospace.org,"El Segundo, CA",,Non-Profit,,,,,Research Workforce & Ecosystem Enablement,C,Tailwind,"FFRDC supporting national security space",2024,3,https://en.wikipedia.org/wiki/The_Aerospace_Corporation,Research partnership opportunities,Non-profit research organization
Spectrolab,spectrolab.com,"Sylmar, CA",,Public,,,,Boeing,Spacecraft Components & Subsystems,C,Tailwind,"World's leading solar cell supplier for space",2024,3,https://www.linkedin.com/company/spectrolab,Boeing subsidiary; established operations,60 years space heritage
EchoStar,echostar.com,"Englewood, CO",,Public,SATS,,,EchoStar Corporation,Communications PNT & Connectivity,B,Tailwind,"Satellite communications; Hughes Network acquisition",2024,5,https://en.wikipedia.org/wiki/EchoStar,Potential manufacturing partnerships,Large GEO satellite operator
Spire Global,spire.com,"Vienna, VA",,Public,SPIR,,,Spire Global Inc,Earth Observation Sensing & Geospatial Intelligence,B,Tailwind,"Weather intelligence constellation; Space as a Service",2025,5,https://en.wikipedia.org/wiki/Spire_Global,Space-as-a-Service manufacturing partnerships,Multiple global office locations
Satellogic,satellogic.com,"Buenos Aires, Argentina",,Public,SATL,,,Satellogic Inc,Earth Observation Sensing & Geospatial Intelligence,B,Tailwind,"Sub-meter resolution Earth observation constellation",2024,5,https://en.wikipedia.org/wiki/Satellogic,US expansion opportunities,Charlotte NC presence for US operations
Kepler Communications,keplercommunications.com,"Toronto, Canada",,Private,,,,,Communications PNT & Connectivity,B,Tailwind,"LEO data relay constellation; 25+ satellites on-orbit",2024,5,https://en.wikipedia.org/wiki/Kepler_Communications,US expansion opportunities,Canadian company with global operations
Fleet Space Technologies,fleetspace.com,"Adelaide, Australia",,Private,,,,,Communications PNT & Connectivity,B,Tailwind,"Satellite-enabled mineral exploration; ExoSphere constellation",2024,5,https://en.wikipedia.org/wiki/Fleet_Space_Technologies,US expansion opportunities,Australian space company; rapid growth
Xona Space Systems,xonaspace.com,"Burlingame, CA",,Private,,,,,Communications PNT & Connectivity,A,Event,"$92M Series B (June 2025); next-era navigational intelligence",2025-06,7,https://www.xonaspace.com/,PNT constellation expansion; California growth,Centimeter-level navigation accuracy
Aerojet Rocketdyne,aerojetrocketdyne.com,"El Segundo, CA",,Public,AJRD,,,L3Harris Technologies,Launch & Space Access,C,Tailwind,"Major rocket propulsion supplier; acquired by L3Harris",2024,4,https://en.wikipedia.org/wiki/Aerojet_Rocketdyne,Major prime; established operations,RS-25 engines for SLS
Beyond Gravity,beyondgravity.com,"Zurich, Switzerland",,Private,,,,OHB Group,Spacecraft Components & Subsystems,B,Tailwind,"Space structures and mechanisms; formerly RUAG Space",2024,5,https://en.wikipedia.org/wiki/Beyond_Gravity,European space supplier; potential US expansion,Major European space components supplier
Blue Canyon Technologies,bluecanyontech.com,"Lafayette, CO",,Private,,,,Raytheon Technologies,Spacecraft & Satellite Systems,B,Tailwind,"Small satellite bus manufacturer; RTX subsidiary",2024,5,https://en.wikipedia.org/wiki/Blue_Canyon_Technologies,Colorado satellite manufacturing,Part of Raytheon; high-rate smallsat production
GomSpace,gomspace.com,"Aalborg, Denmark",,Public,,,,,Spacecraft Components & Subsystems,B,Tailwind,"Nanosatellite solutions; European manufacturer",2024,5,https://en.wikipedia.org/wiki/GomSpace,US expansion opportunities,Danish public company
Accion Systems,accion-systems.com,"Boston, MA",,Private,,,,,Spacecraft Components & Subsystems,B,Tailwind,"Electric propulsion for small satellites; TILE technology",2024,5,https://en.wikipedia.org/wiki/Accion_Systems,Massachusetts propulsion manufacturing,Ion electrospray propulsion technology
Enpulsion,enpulsion.com,"Wiener Neustadt, Austria",,Private,,,,,Spacecraft Components & Subsystems,B,Tailwind,"FEEP electric propulsion systems; European leader",2024,5,https://en.wikipedia.org/wiki/Enpulsion,US expansion opportunities,Austrian propulsion manufacturer
NanoAvionics,nanoavionics.com,"Vilnius, Lithuania",,Private,,,,,Spacecraft & Satellite Systems,B,Tailwind,"Small satellite missions and components; M6P bus",2024,5,https://en.wikipedia.org/wiki/NanoAvionics,US expansion opportunities; satellite manufacturing,Lithuanian company with global operations
Endurosat,endurosat.com,"Sofia, Bulgaria",,Private,,,,,Spacecraft & Satellite Systems,B,Tailwind,"Small satellite manufacturer; shared satellite service",2024,5,https://en.wikipedia.org/wiki/EnduroSat,US expansion opportunities,Bulgarian space company
LeoLabs,leolabs.space,"Menlo Park, CA",,Private,,,,,In-Space Services Logistics & Safety,B,Tailwind,"Space domain awareness; global radar network",2024,5,https://en.wikipedia.org/wiki/LeoLabs,Space surveillance infrastructure,Radar sites globally; California HQ
COMSPOC,comspoc.com,"Chantilly, VA",,Private,,,,,In-Space Services Logistics & Safety,B,Tailwind,"Space domain awareness and safety services",2024,5,https://en.wikipedia.org/wiki/COMSPOC,Virginia space services,Space situational awareness
ExoAnalytic Solutions,exoanalytic.com,"Foothill Ranch, CA",,Private,,,,,In-Space Services Logistics & Safety,B,Tailwind,"Global optical telescope network for space surveillance",2024,5,https://en.wikipedia.org/wiki/ExoAnalytic_Solutions,Space domain awareness growth,Largest commercial optical tracking network
Momentus,momentus.space,"San Jose, CA",,Public,MNTS,,,Momentus Inc,In-Space Services Logistics & Safety,B,Tailwind,"In-space transportation services; Vigoride vehicles",2024,5,https://en.wikipedia.org/wiki/Momentus_(space_company),In-space transportation manufacturing,Public company; water plasma propulsion
Rogue Space Systems,rogue.space,"Laconia, NH",,Private,,,,,In-Space Services Logistics & Safety,B,Tailwind,"Orbital robot servicers; Fred and Orbots",2024,5,https://en.wikipedia.org/wiki/Rogue_Space_Systems,New Hampshire space manufacturing,In-orbit servicing technology
ClearSpace,clearspace.today,"Renens, Switzerland",,Private,,,,,In-Space Services Logistics & Safety,B,Tailwind,"Active debris removal; ESA ClearSpace-1 mission 2026",2024,5,https://en.wikipedia.org/wiki/ClearSpace,Debris removal technology; potential US operations,Swiss company; ESA partnership
Space Forge,spaceforge.com,"Cardiff, Wales",,Private,,,,,In-Space Manufacturing Materials & Zero-Gravity R&D,B,Tailwind,"In-space manufacturing; returnable ForgeStar satellites",2024,5,https://en.wikipedia.org/wiki/Space_Forge,In-space manufacturing technology,UK company; returnable satellites for manufacturing
OroraTech,ororatech.com,"Munich, Germany",,Private,,,,,Earth Observation Sensing & Geospatial Intelligence,B,Tailwind,"Wildfire detection satellites; thermal imaging",2024,5,https://en.wikipedia.org/wiki/OroraTech,US expansion opportunities,German thermal imaging satellites
GHGSat,ghgsat.com,"Montreal, Canada",,Private,,,,,Earth Observation Sensing & Geospatial Intelligence,B,Tailwind,"Greenhouse gas monitoring satellites",2024,5,https://en.wikipedia.org/wiki/GHGSat,Emissions monitoring; US expansion,Canadian company; environmental monitoring
Orbital Sidekick,orbitalsidekick.com,"San Francisco, CA",,Private,,,,,Earth Observation Sensing & Geospatial Intelligence,B,Tailwind,"Hyperspectral monitoring for oil/gas and infrastructure",2024,5,https://en.wikipedia.org/wiki/Orbital_Sidekick,Hyperspectral satellite manufacturing,SF-based; industrial monitoring focus
ispace,ispace-inc.com,"Tokyo, Japan",,Public,ISPCE,,,ispace inc,Space Resources ISRU & Off-World Infrastructure,B,Tailwind,"Lunar exploration and resource utilization",2024,5,https://en.wikipedia.org/wiki/Ispace_(Japanese_company),Lunar technology; US expansion,Japanese lunar company; US subsidiary
Lunar Outpost,lunaroutpost.com,"Golden, CO",,Private,,,,,Space Resources ISRU & Off-World Infrastructure,B,Tailwind,"Lunar rovers and ISRU technology; NASA contracts",2024,5,https://en.wikipedia.org/wiki/Lunar_Outpost_(company),Colorado space manufacturing; lunar tech,MOXIE/MAPP technology; Golden CO operations
TransAstra,transastra.com,"Los Angeles, CA",,Private,,,,,Space Resources ISRU & Off-World Infrastructure,B,Tailwind,"Orbital logistics and space resources; cislunar supply chain",2024,5,https://en.wikipedia.org/wiki/TransAstra,Space resources technology,Asteroid mining technology development
Advanced Space,advancedspace.com,"Westminster, CO",,Private,,,,,Data Software & Space Intelligence,B,Tailwind,"Cislunar navigation; CAPSTONE mission success",2024,5,https://en.wikipedia.org/wiki/Advanced_Space,Colorado space software,CAPSTONE mission provider
Cognitive Space,cognitivespace.com,"Houston, TX",,Private,,,,,Data Software & Space Intelligence,B,Tailwind,"AI-powered satellite operations automation",2024,5,https://www.cognitivespace.com/,Houston space AI,Satellite fleet management AI
Epsilon3,epsilon3.io,"Los Angeles, CA",,Private,,,,,Data Software & Space Intelligence,B,Tailwind,"Spacecraft operations software platform",2024,5,https://www.epsilon3.io/,LA space software,Test and operations management
Kayhan Space,kayhan.space,"Boulder, CO",,Private,,,,,Data Software & Space Intelligence,B,Tailwind,"Space traffic management and collision avoidance",2024,5,https://www.kayhan.space/,Colorado space safety software,Pathfinder software for conjunction assessment
Privateer,privateer.com,"Maui, HI",,Private,,,,,Data Software & Space Intelligence,B,Tailwind,"Space sustainability and debris tracking",2024,5,https://www.privateer.com/,Space sustainability platform,Founded by Steve Wozniak
GMV,gmv.com,"Madrid, Spain",,Private,,,,,Data Software & Space Intelligence,B,Tailwind,"Space systems engineering and software",2024,5,https://en.wikipedia.org/wiki/GMV_(company),European space software; US operations,Spanish multinational; US presence
All.Space,all.space,"Reading, UK",,Private,,,,,Ground Infrastructure & Mission Operations,B,Tailwind,"Multi-beam smart antenna technology",2024,5,https://www.all.space/,Antenna technology; US expansion,UK company; innovative antenna systems
Atlas Space Operations,atlasspace.com,"Traverse City, MI",,Private,,,,,Ground Infrastructure & Mission Operations,B,Tailwind,"Ground station network as a service",2024,5,https://www.atlasspace.com/,Michigan space operations,Ground station services
KSAT,ksat.no,"Tromsø, Norway",,Private,,,,,Ground Infrastructure & Mission Operations,B,Tailwind,"Kongsberg satellite services; global ground network",2024,5,https://en.wikipedia.org/wiki/KSAT,Norwegian space services,World's largest commercial ground station network
RBC Signals,rbcsignals.com,"Seattle, WA",,Private,,,,,Ground Infrastructure & Mission Operations,B,Tailwind,"Global ground station network",2024,5,https://www.rbcsignals.com/,Washington state space operations,Seattle-based ground services
Dawn Aerospace,dawnaerospace.com,"Delft, Netherlands",,Private,,,,,Launch & Space Access,B,Tailwind,"Reusable rocket planes and green propulsion",2024,5,https://en.wikipedia.org/wiki/Dawn_Aerospace,Green propulsion technology,Netherlands and New Zealand operations
