Company,Website,HQ Location,Country,Employee Count,Ownership,Ticker,Founded,Segment,Sub-Segment,Tier,Signal Type,Signal,Signal Date,Score,Source URL,Messaging Hook,Notes
Meyer Burger,meyerburger.com,"Thun, Switzerland / Goodyear AZ",Switzerland,,Public,MBTN.SW,1953,Cells + Modules,Heterojunction,B,Event,"Arizona module plant operational; Colorado cell plant announced Q4 2024 start; 2 GW HJT cell capacity",2024,6,https://www.meyerburger.com/en/newsroom/artikel/meyer-burger-announces-solar-cell-production-facility-in-colorado-usa,Arizona + Colorado US manufacturing,Premium heterojunction technology
Enel 3Sun,3sun.com,"Rome, Italy / Sicily + US TBD",Italy,,Public,ENEL.MI,2011,Cells + Modules,Heterojunction,A,Event,"€560M Sicily 3 GW gigafactory (Europe's largest); US 3 GW plant announced; HJT technology",2024,8,https://www.eib.org/en/press/all/2024-020-europe-s-biggest-solar-gigafactory-3sun-secures-eur560-million-financing-from-eib-and-pool-of-italian-banks-led-by-unicredit-and-backed-by-sace,€560M Sicily gigafactory; US plant coming,Europe's largest solar factory
Suniva,suniva.com,"Norcross, GA",USA,,Private,,2007,Cells,Crystalline Si,A,Event,"Georgia cell factory restarted Nov 2024 (1 GW); scaling to 2.5 GW; first US cell production restart",2024,8,https://www.reuters.com/business/energy/solar-manufacturer-suniva-resumes-production-american-made-cells-2024-11-08/,US cell manufacturing restarted,Milestone in domestic supply chain
Boviet Solar,bovietsolar.com,"Ho Chi Minh City, Vietnam / Greenville NC",Vietnam,,Private,,2016,Cells + Modules,Crystalline Si,A,Event,"3 GW North Carolina module + cell facility expansion Sept 2025; fully integrated US manufacturing",2025,8,https://www.solarpowerworldonline.com/2025/09/boviet-solar-adds-another-gigawatt-of-capacity-at-nc-solar-panel-manufacturing-facility/,3 GW NC integrated cell + module facility,Vietnamese-owned US manufacturing
Convalt Energy,convalt.com,"New York, NY",USA,,Private,,2021,Modules,Heterojunction,B,Event,"1.4 GW NY/Maine module factory Q4 2025; components facility 2025; HJT technology",2025,7,https://convalt.com/Manufacturing,1.4 GW HJT factory coming Q4 2025,US startup; heterojunction focus
Mission Solar,missionsolar.com,"San Antonio, TX",USA,,Private,,2014,Modules,Crystalline Si,B,Tailwind,"Texas module manufacturing; domestic content focus; utility + commercial",2024,5,https://www.greenlancer.com/post/us-manufactured-solar-panels,Texas-based US manufacturer,San Antonio manufacturing
Maxeon Solar,maxeon.com,"Singapore",Singapore,,Public,MAXN,2020,Cells + Modules,IBC/Shingled,B,Event,"Premium IBC technology; US cell manufacturing plans; SunPower spinoff",2024,5,https://www.maxeon.com/,Premium IBC cell technology,SunPower technology spinoff
REC Group,recgroup.com,"Singapore / Reliance",India,,Private,Reliance,1996,Cells + Modules,Heterojunction,B,Tailwind,"Reliance-owned; premium HJT panels; considering US manufacturing",2024,5,https://www.recgroup.com/,Premium HJT technology; Reliance backed,Norwegian heritage; Indian-owned
ES Foundry,esfoundry.com,"Columbia, SC",USA,,Private,,2023,Cells,Crystalline Si,A,Event,"1 GW South Carolina cell factory opened Jan 2025; second US cell manufacturer; domestic content",2025,8,https://solartechonline.com/blog/us-solar-manufacturing-guide/,Second US cell manufacturer; SC factory,Critical domestic cell supply
Enphase Energy,enphase.com,"Fremont, CA",USA,,Public,ENPH,2006,Inverters,Microinverters,A,Event,"US microinverter manufacturing; IQ9 with GaN launching 2025; batteries + EV chargers; domestic content",2025,9,https://www.solarpowerworldonline.com/2024/09/inverter-manufacturers-highlight-higher-domestic-content-at-re-2024/,US microinverter leader; IQ9 GaN launch 2025,#1 residential inverter; US manufacturing
SolarEdge Technologies,solaredge.com,"Herzliya, Israel / Texas + Florida",Israel,,Public,SEDG,2006,Inverters,String Inverters + Optimizers,A,Event,"Texas inverters + Florida optimizers + Utah batteries; 8M optimizers/quarter capacity; domestic content",2025,8,https://investors.solaredge.com/news-releases/news-release-details/solaredge-marks-milestones-us-manufacturing-strategy-achieving,TX + FL + UT US manufacturing; 45X credits,Major utility + commercial inverter player
Nextracker,nextracker.com,"Fremont, CA",USA,,Public,NXT,2013,Trackers,Single-Axis Trackers,A,Event,"28.5 GW shipped 2024; 100 GW cumulative milestone; US manufacturing; 35 GW annual capacity across 6 plants",2024,9,https://www.globenewswire.com/news-release/2025/11/04/3180573/0/en/Solar-Tracker-Market-to-Reach-US-32-43-Billion-by-2033-Astute-Analytica.html,#1 tracker globally; 100 GW shipped,Spun off from Flex; dominant market share
Array Technologies,arraytechinc.com,"Albuquerque, NM",USA,,Public,ARRY,1989,Trackers,Single-Axis Trackers,A,Event,"100% domestic content trackers H1 2025; Albuquerque NM factory construction; #3 global tracker",2025,8,https://www.pv-tech.org/array-on-course-to-deliver-100-domestic-content-pv-tracker-in-h1-2025/,100% US domestic content 2025; NM factory,Oldest US tracker company
GameChange Solar,gamechangesolar.com,"New York, NY",USA,,Private,,2012,Trackers + Racking,Trackers + Fixed-Tilt,A,Event,"13.7 GW shipped 2024; US manufacturing; Genius Tracker; aggressive growth",2024,7,https://www.globenewswire.com/news-release/2025/11/04/3180573/0/en/Solar-Tracker-Market-to-Reach-US-32-43-Billion-by-2033-Astute-Analytica.html,13.7 GW shipped; US tracker leader,Fast-growing tracker company
Unirac,unirac.com,"Albuquerque, NM",USA,,Private,Enstall,2001,Racking,Rooftop Mounting,B,Tailwind,"New Mexico manufacturing; domestic content racking; residential + commercial focus",2024,6,https://unirac.com/,NM-based US racking manufacturer,Part of Enstall group
IronRidge,ironridge.com,"Hayward, CA",USA,,Private,,2001,Racking,Rooftop Mounting,B,Tailwind,"100% US-produced components available; XR rails + BX ballasted systems; domestic content compliant",2024,6,https://www.ironridge.com/made-in-usa-domestic-content-2024-41/,100% domestic content racking available,California-based; residential focused
OMCO Solar,omcoracking.com,"Phoenix, AZ",USA,,Private,,2008,Trackers + Racking,Fixed + Trackers,B,Event,"Arizona manufacturing; Origin tracker system; utility-scale focus",2024,6,https://solarbuildermag.com/news/tracking-trackers-product-upgrades-and-strategic-moves-from-top-u-s-solar-manufacturers/,Arizona US manufacturing; utility focus,Growing tracker player
