Company,Website,HQ Location,Employee Count,Ownership,Ticker,Founded,Parent Company,NAICS,Segment,Tier,Signal Type,Signal,Signal Date,Score,Source URL,Messaging Hook,Notes
Venus Aerospace,https://www.venusaero.com/,Houston TX,,Private,,,2020,,Propulsion,A,Event,Lockheed Martin Ventures investment + May 2025 RDRE flight test,Oct 2025,7,https://spacenews.com/lockheed-martin-ventures-invests-in-rocket-propulsion-startup-venus-aerospace/,"Lockheed investment validates your rotating detonation engine breakthrough",World-first high-thrust RDRE test
Park Aerospace,https://parkaerospace.com/,Newton KS,,Public,PKE,1954,,Materials - Composites/Radomes,A,Event,$50M Midwest plant expansion to double capacity - LOCATION TBD,Jan 2026,9,https://seekingalpha.com/news/4538969-park-aerospace-plans-50m-manufacturing-expansion-to-double-capacity-as-demand-surges,"Your $50M Midwest expansion signals growing defense demand - have you selected a site?",TYPE 1 LEAD; RadarWave radome prepreg
Albany Engineered Composites,https://www.albint.com/,Rochester NH,,Public,AIN,1895,Albany International,Materials - Composites/TPS,A,Event,Army hypersonic 3D weaving contract + Spirit AeroSystems TPS partnership,2021-2026,8,https://www.spiritaero.com/pages/release/expanding-hypersonic-capabilities/,"Your Army hypersonic contract and Spirit partnership position you as TPS leader",3D woven near-net composites
Battelle Memorial Institute,https://www.battelle.org/,Columbus OH,,Non-Profit,,,1929,,Materials - Carbon-Carbon,A,Event,$46.3M AFRL MOC3HA contract for C-C composites manufacturing acceleration,Nov 2020,7,https://www.battelle.org/insights/newsroom/press-releases/battelle-awarded-46.3-million-contract-to-support-manufacturing-of-materials-for-extreme-hypersonic-environments,"Your $46M hypersonic materials contract makes you critical to supply chain",7-year IDIQ; thermal protection materials
L3Harris,https://www.l3harris.com/,Melbourne FL,,Public,LHX,2019,,Propulsion/Motors,A,Event,$22M GAMMA-H scramjet + Zeus motor production increase to 60 units,2024-2025,7,https://www.l3harris.com/newsroom/press-release/2025/12/l3harris-receives-letter-intent-kratos-defense-production-large,"Scramjet and motor production signals growing demand",Acquired Aerojet Rocketdyne; Camden AR site
C-CAT,https://www.c-cat.net/,Fort Worth TX,,Private,,,Unknown,,Thermal Protection - C/C,A,Event,$7.5M DoD supply chain contract for carbon-carbon TPS,Apr 2023,7,https://www.c-cat.net/,"Pentagon chose you to strengthen hypersonic C-C supply chain",Carbon-carbon composites
Draper Laboratory,https://www.draper.com/,Cambridge MA,,Non-Profit,,,1932,,Guidance/Navigation,A,Event,$308M Navy CPS guidance contract,Mar 2024,7,https://www.draper.com/,"Major Navy guidance contract validates hypersonic navigation expertise",MIT spinout; inertial nav
Canopy Aerospace,https://www.canopyaerospace.com/,Littleton CO,,Private,,,2021,,Thermal Protection,A,Event,$2.8M USAF + $850K NASA SBIR for additive TPS,2024,7,https://www.canopyaerospace.com/,"Air Force and NASA backing your additive manufactured TPS",NASA Ames tech spinout
Hypersonix Launch Systems,https://www.hypersonix.com/,Brisbane Australia,,Private,,,2019,,Propulsion - Scramjet,A,Event,$46M Series A + DIU HyCAT contract + Kratos partnership,Oct 2025,6,https://www.hypersonix.com/resources/news/global-defence-investors-for-australian-hypersonic-flight-pioneer,"HyCAT win from 60+ applicants signals US market entry",3D printed SPARTAN scramjet
General Atomics EMS,https://www.ga.com/,San Diego CA,,Private,,,1955,General Atomics,Structures - Glide Body,A,Event,Dynetics subcontract for hypersonic glide body subassemblies,Oct 2019,7,https://www.ga.com/,"Your glide body work positions you for production scale-up",Tupelo + Iuka MS facilities
Firehawk Aerospace,https://firehawkaerospace.com/,Dallas TX,,Private,,,2019,,Solid Rocket Motors,A,Tailwind,Scalable SRM + additive propulsion addressing supply chain gap,Ongoing,6,https://firehawkaerospace.com/,"Your scalable SRM approach addresses critical supply chain gap",Additive propulsion systems
HyperSciences,https://hypersciences.com/,Spokane WA,,Private,,,2014,,Propulsion,A,Event,$1.7M SBIR Phase 2 for hypersonic propulsion,Apr 2025,6,https://hypersciences.com/,"SBIR Phase 2 validates your hypersonic propulsion tech",Hypersonic propulsion/projectile
Boston Materials,https://bostonmaterials.co/,Billerica MA,,Private,,,2016,,Materials,A,Event,Textron Systems partnership for TPS Z-axis Fiber technology,2022,6,https://bostonmaterials.co/,"Z-axis Fiber tech caught Textron attention for TPS applications",30% ILSS improvement
Orbital Composites,https://www.orbitalcomposites.com/,San Jose CA,,Private,,,2016,,Materials - Carbon-Carbon,A,Event,$1.2M USAF SBIR Phase II for 10x faster C-C manufacturing,Sep 2023,6,https://www.orbitalcomposites.com/,"Your USAF contract for 10x faster C-C manufacturing is game-changing",Additive C-C manufacturing
Atomic-6,https://www.atomic-6.com/,Unknown,,Private,,,Unknown,,Radomes,A,Event,AFWERX SBIR Phase II + Hermeus hypersonic radome collaboration,2024,6,https://www.atomic-6.com/,"Your Hermeus radome partnership puts you at hypersonic aircraft forefront",High-temp composite radomes
HAMR Industries,https://www.hamrindustries.com/,Unknown,,Private,,,Unknown,,Radomes/Ceramics,B,Tailwind,Additive manufacturing for ceramic radomes; hypersonic market growth,Ongoing,5,https://www.hamrindustries.com/,"Ceramic AM capability serves growing hypersonic radome demand",3D printed ceramics
Mentis Sciences,https://www.mentissciences.com/,Unknown,,Private,,,Unknown,,Radomes,B,Tailwind,Composite radomes for hypersonics; defense spending +8% YoY,Ongoing,5,https://www.mentissciences.com/,"Composite radome expertise for hypersonic production scale-up",High-temp composite radomes
Polaris Sensor Technologies,https://www.polarissensor.com/,Huntsville AL,,Private,,,2005,,Sensors,B,Tailwind,Aero-Optics Kit for hypersonic seekers; missile defense growth,2025,5,https://www.polarissensor.com/,"Seeker imaging tech serves hypersonic guidance requirements",SWIR/MWIR imaging
II-VI Aerospace & Defense,https://www.coherent.com/,Saxonburg PA,,Public,COHR,1971,Coherent,Windows/Radomes,B,Tailwind,Hypersonic windows and radomes; thermal protection demand,Ongoing,5,https://www.coherent.com/,"High-temp materials position you for hypersonic production growth",Diamond; SiC; radome materials
Axiom Materials,https://axiommaterials.com/,Santa Ana CA,,Private,,,2006,,Materials - CMC,B,Tailwind,Global CMC leader; hypersonic TPS demand accelerating,Ongoing,5,https://axiommaterials.com/,"CMC expertise positions you for hypersonic market growth",Ceramic matrix composites
Spirit AeroSystems,https://www.spiritaero.com/,Wichita KS,,Public,SPR,2005,,Structures/TPS,B,Tailwind,FMI partnership + Albany TPS collaboration,Ongoing,5,https://www.spiritaero.com/,"Aerostructures expertise for hypersonic production scale-up",Boeing acquisition pending
Modus Advanced,https://www.modusadvanced.com/,Livermore CA,,Private,,,Unknown,,Sub-assemblies,B,Tailwind,Hypersonic sub-assembly expertise; precision manufacturing,Ongoing,5,https://www.modusadvanced.com/,"Precision manufacturing for hypersonic programs",TPS manufacturing guidance
Ultramet,https://ultramet.com/,Pacoima CA,,Private,,,1990,,Materials - CMC,B,Tailwind,CMC manufacturer; refractory materials,Ongoing,4,https://ultramet.com/,"Refractory CMC capability for hypersonic thermal protection",Ceramic matrix composites
Hexcel Corporation,https://hexcel.com/,Stamford CT,,Public,HXL,1948,,Materials - Carbon Fiber,B,Tailwind,Leading carbon fiber supplier; aerospace demand strong,Ongoing,4,https://hexcel.com/,"Carbon fiber leadership positions you for hypersonic growth",Aerospace-grade carbon fiber
Toray Composite Materials,https://www.toraycma.com/,Tacoma WA,,Private,,,1985,Toray Industries,Materials - Carbon Fiber,B,Tailwind,Defense carbon fiber supplier; 20+ years experience,Ongoing,4,https://www.toraycma.com/,"Carbon fiber for defense programs including hypersonics",Japanese parent
Haynes International,https://haynesintl.com/,Kokomo IN,,Public,HAYN,1912,,Materials - Superalloys,B,Tailwind,High-temp alloy manufacturer; HASTELLOY,Ongoing,4,https://haynesintl.com/,"HASTELLOY expertise for extreme hypersonic heat applications",Nickel/cobalt superalloys
Special Metals,https://www.specialmetals.com/,Huntington WV,,Private,,,1966,Precision Castparts,Materials - Superalloys,B,Tailwind,High-temp alloy manufacturer; INCONEL,Ongoing,4,https://www.specialmetals.com/,"Alloys for high-pressure high-temp hypersonic environments",Berkshire Hathaway owned
Hera Technologies,https://www.heratechnologies.com/,Unknown,,Private,,,Unknown,,Thermal Protection,B,Tailwind,TPS and composite structures,Ongoing,4,https://www.heratechnologies.com/,"TPS build-to-spec capability for hypersonic programs",Heat resistant parts
Oceaneering,https://www.oceaneering.com/,Houston TX,,Public,OII,1964,,Thermal Protection,B,Tailwind,TPS design and manufacturing; SLS heritage,Ongoing,4,https://www.oceaneering.com/,"40+ years TPS experience including Space Shuttle and SLS",Space Shuttle; SLS
Tex Tech Industries,https://textechindustries.com/,Portland ME,,Private,,,1904,,Thermal Protection,B,Tailwind,TPS materials manufacturer; technical textiles,Ongoing,4,https://textechindustries.com/,"100+ years technical textiles for thermal protection systems",High-temp textile materials
Concept Group LLC,https://conceptgroupllc.com/,Farmington CT,,Private,,,1968,,Thermal Insulation,B,Tailwind,Insulon vacuum insulation; 50+ years aerospace,Ongoing,4,https://conceptgroupllc.com/,"Aerospace thermal insulation solutions for hypersonics",Vacuum insulation technology
Collins Aerospace,https://www.rtx.com/collins-aerospace,Various,,Public,RTX,2018,RTX,Guidance/Navigation,B,Tailwind,INS and guidance systems; weapons targeting,Ongoing,4,https://www.rtx.com/collins-aerospace,"Weapons guidance systems expertise for hypersonic programs",UTC + Rockwell Collins merger
Honeywell Aerospace,https://aerospace.honeywell.com/,Phoenix AZ,,Public,HON,1906,Honeywell,Guidance/Navigation,B,Tailwind,INS manufacturer; major aerospace supplier,Ongoing,4,https://aerospace.honeywell.com/,"Inertial navigation leadership for hypersonic guidance",GPS-denied navigation
Advanced Navigation,https://www.advancednavigation.com/,Sydney Australia,,Private,,,2012,,Guidance/Navigation,B,Tailwind,INS manufacturer; high-precision navigation,Ongoing,4,https://www.advancednavigation.com/,"High-precision navigation systems for hypersonic applications",Australian; GPS-denied nav
GuideNav,https://guidenav.com/,Unknown,,Private,,,Unknown,,Guidance/Navigation,B,Tailwind,MEMS and FOG INS; customizable systems,Ongoing,4,https://guidenav.com/,"MEMS/FOG INS for aerospace/defense applications",Customizable navigation
GE Aerospace,https://www.geaerospace.com/,Evendale OH,,Public,GE,1892,GE,Materials - CMC,B,Tailwind,CMC technology leader; $1B+ invested in CMC,Ongoing,4,https://www.geaerospace.com/,"$1B+ invested in CMC technology for aerospace applications",SiC/SiC composites
ACP Composites,https://acpcomposites.com/,Livermore CA,,Private,,,1993,,Materials - Composites,B,Tailwind,Defense composites manufacturer; 40 years experience,Ongoing,3,https://acpcomposites.com/,"Carbon fiber composite expertise for defense programs",40 years experience
Advanced Composites Inc,https://www.advancedcomposites.com/,Salt Lake City UT,,Private,,,1983,,Materials - Composites,B,Tailwind,Aerospace composites; award-winning structures,Ongoing,3,https://www.advancedcomposites.com/,"Award-winning composite structures for aerospace",Carbon fiber tubing
TE Connectivity,https://www.te.com/,Berwyn PA,,Public,TEL,2007,,Sensors/Connectors,B,Tailwind,Hypersonic sensors; VPX connectors; mil-spec,Ongoing,3,https://www.te.com/,"Sensor tech for hypersonic navigation and control",Tyco Electronics spinoff
Thales,https://www.thalesgroup.com/,Paris France,,Public,HO.PA,2000,,Sensors/Guidance,B,Tailwind,Hypersonic sensors; precision targeting,Ongoing,3,https://www.thalesgroup.com/,"Precision targeting expertise for hypersonic programs",European; Euronext Paris
BAE Systems,https://www.baesystems.com/,Falls Church VA,,Public,BA.L,1999,,Seekers,B,Tailwind,THAAD seeker; 40+ years sensor tech,Ongoing,3,https://www.baesystems.com/,"40+ years sensor tech for hypersonic seeker design",London Stock Exchange
Rocket Lab,https://www.rocketlabusa.com/,Long Beach CA,,Public,RKLB,2006,,Adjacent - Satellites,A,Event,$816M missile tracking satellite contract,2025,4,https://www.rocketlabusa.com/,"Missile defense satellite work supports hypersonic tracking",HBTSS tracking constellation
Lockheed Martin,https://www.lockheedmartin.com/,Bethesda MD,,Public,LMT,1995,,Prime - Weapons,C,Tailwind,Multiple billion-dollar hypersonic contracts,Ongoing,2,https://www.lockheedmartin.com/,"Context only - prime contractor for hypersonic programs",CPS; LRHW; Mako
Raytheon,https://www.rtx.com/,Arlington VA,,Public,RTX,2020,RTX,Prime - Weapons,C,Tailwind,HACM scramjet development,Ongoing,2,https://www.rtx.com/,"Context only - prime contractor for HACM scramjet",HAWC heritage
Boeing,https://www.boeing.com/,Arlington VA,,Public,BA,1916,,Prime - Weapons,C,Tailwind,Various hypersonic programs,Ongoing,2,https://www.boeing.com/,"Context only - prime contractor",Various programs
General Dynamics,https://www.gd.com/,Reston VA,,Public,GD,1952,,Prime - Systems,C,Tailwind,CPS mission systems subcontractor,Ongoing,2,https://www.gd.com/,"Context only - prime contractor",Mission systems
