Company,Website,HQ Location,Country,Employee Count,Ownership,Ticker,Founded,Segment,Sub-Segment,Tier,Signal Type,Signal,Signal Date,Score,Source URL,Messaging Hook,Notes
Tokyo Electron,tel.com,"Tokyo, Japan / Austin, TX",Japan,,Public,8035.T,1963,Equipment (Front-End),Deposition/Etch/Clean,A,Event,"$170M US chip equipment facility 2025; aiming for US production parity with Japan",2025,8,https://asia.nikkei.com/business/tech/semiconductors/tokyo-electron-aims-to-boost-us-manufacturing-to-same-level-as-japan,US manufacturing ramp; Austin HQ,Japan's largest equipment maker
KLA,kla.com,"Milpitas, CA",USA,,Public,KLAC,1975,Equipment (Front-End),Inspection/Metrology,A,Tailwind,"Process control leader; essential for yield management; Ann Arbor R&D",2024-2025,7,https://www.kla.com/,Inspection/metrology leader,Defect detection monopoly
Axcelis Technologies,axcelis.com,"Beverly, MA",USA,,Public,ACLS,1995,Equipment (Front-End),Ion Implantation,A,Event,"Purion Power Series+ launched Sept 2025 for SiC; $6B market opportunity by 2030; 4 SEC filings re: expansion",2025-09,7,https://investor.axcelis.com/news-releases/news-release-details/axcelis-announces-launch-companys-new-purion-power-series-ion,SiC ion implant leader; new platform,Power semiconductor focus; CIK 1113232
Onto Innovation,ontoinnovation.com,"Wilmington, MA",USA,,Public,ONTO,2019,Equipment (Front-End),Metrology/Inspection,B,Tailwind,"Advanced packaging metrology; 3D inspection",2024,5,https://www.ontoinnovation.com/,Advanced packaging metrology,Formed from Nanometrics + Rudolph
Entegris,entegris.com,"Billerica, MA",USA,,Public,ENTG,1966,Materials,Filtration/Chemicals/FOUPs,A,Event,"$1.4B total US investment; $700M R&D; $600M Colorado Springs manufacturing; Aurora IL tech center",2025,8,https://evertiq.com/news/2025-08-22-entegris-announces-700-million-investment-in-us,Colorado + Illinois expansion; $1.4B US commitment,Critical materials and contamination control
Shin-Etsu Chemical,shinetsu.com,"Tokyo, Japan",Japan,,Public,4063.T,1926,Materials,Silicon Wafers/Photoresists,B,Tailwind,"World's largest silicon wafer supplier; photoresist leader",2024,5,https://www.shinetsu.co.jp/en/,Global wafer leader,300mm wafer dominant
Air Products,airproducts.com,"Allentown, PA",USA,,Public,APD,1940,Materials,Specialty Gases,B,Tailwind,"Electronic specialty gases for fabs; US-based",2024,5,https://www.airproducts.com/,US specialty gas supplier,Serves all major fabs
Linde,linde.com,"Dublin, Ireland / Danbury, CT",USA,,Public,LIN,1879,Materials,Specialty Gases,B,Tailwind,"Electronic gases and on-site supply; major fab supplier",2024,5,https://www.linde.com/,Electronic gases leader,Global presence
CMC Materials (Entegris),cmcmaterials.com,"Aurora, IL",USA,,Private,,,1999,Entegris,Materials,CMP Slurries/Pads,B,Tailwind,"CMP consumables leader; acquired by Entegris",2024,4,https://www.cmcmaterials.com/,CMP materials leader,Now part of Entegris
Amkor Technology,amkor.com,"Tempe, AZ",USA,,Public,AMKR,1968,OSAT,Advanced Packaging,A,Event,"Arizona facility expansion; advanced packaging for AI/HPC",2024-2025,7,https://www.amkor.com/,US advanced packaging leader,Serves Apple AMD Qualcomm
ASE Technology,aseglobal.com,"Kaohsiung, Taiwan",Taiwan,,Public,ASX,1984,OSAT,Assembly/Test/Packaging,B,Tailwind,"World's largest OSAT; considering US expansion",2024,5,https://www.aseglobal.com/,Global OSAT leader,Packaging for most chipmakers
Kulicke & Soffa,kns.com,"Fort Washington, PA",USA,,Public,KLIC,1951,Equipment (Back-End),Wire Bonding/Die Attach,B,Tailwind,"Advanced packaging equipment; ball bonding leader",2024,5,https://www.kns.com/,Packaging equipment leader,Wire bonding dominant
SkyWater Technology,skywatertechnology.com,"Bloomington, MN",USA,,Public,SKYT,2017,Fabs,Specialty/Foundational,A,Event,"$16M CHIPS funding Dec 2024; acquiring Infineon Austin fab Feb 2025 for 65-130nm capacity; US-only trusted foundry for defense/aerospace",2025-02,8,https://www.skywatertechnology.com/skywater-to-acquire-infineons-austin-fab-and-establish-strategic-partnership-to-expand-u-s-foundry-capacity-for-foundational-chips/,Austin acquisition; defense foundry,Only pure-play US foundry
Polar Semiconductor,polarsemi.com,"Bloomington, MN",USA,,Private,,N/A,1999,Fabs,Specialty/Analog,A,Event,"$525M expansion; $123M CHIPS award; doubles capacity; sensor and power chip leader; 160+ new jobs",2024-05,8,https://www.nist.gov/chips/polar-semiconductor-minnesota-bloomington,$525M Minnesota expansion; first MN CHIPS recipient,US-owned sensor/power chip maker
X-FAB,xfab.com,"Lubbock, TX / Erfurt, Germany",Germany,,Public,XFAB,1992,Fabs,Specialty/SiC Foundry,A,Event,"$50M CHIPS funding Dec 2024; only high-volume SiC foundry in USA; Lubbock TX expansion",2024-12,7,https://www.nist.gov/chips/x-fab-texas-lubbock,Only US SiC foundry; Lubbock expansion,Analog and SiC foundry
Coherent (II-VI),coherent.com,"Saxonburg, PA",USA,,Public,COHR,1971,Substrates,SiC/GaN Substrates,A,Event,"$1B investment from Denso/Mitsubishi; PA factory to 1M 150mm SiC equivalents by 2027; $33M CHIPS funding Dec 2024",2024,8,https://www.coherent.com/news/press-releases/ii-vi-incorporated-accelerates-investment-in-silicon-carbide-substrate-and-epitaxial-wafer-manufacturing-with-large-scale-factory-expansions-in-pennsylvania-and-sweden,PA SiC expansion; $1B strategic investment,Leading SiC substrate supplier
Infineon Technologies,infineon.com,"Munich, Germany / Austin, TX",Germany,,Public,IFNNY,1999,Fabs,Specialty/Power,B,Event,"Selling Austin fab to SkyWater; 200mm SiC rollout 2025; Dresden 300mm Smart Power Fab 2026; 30% global SiC share target by 2030",2025,6,https://www.infineon.com/press-release/2025/infxx202502-066,Dresden expansion; SiC leader,European power semiconductor giant
STMicroelectronics,st.com,"Geneva, Switzerland",Switzerland,,Public,STM,1987,Fabs,Specialty/SiC,B,Event,"Catania Italy SiC campus with 200mm fab; EUR730M investment; reshaping EU manufacturing footprint",2024-2025,6,https://www.yolegroup.com/player-interviews/sic-is-in-a-race-to-meet-growing-demand-for-new-technologies-an-interview-with-stmicroelectronics/,Catania SiC campus; Italy investment,European IDM with SiC focus
ESMC (TSMC/Bosch/Infineon/NXP),esmc.eu,"Dresden, Germany",Germany,,JV,,2023,Fabs,Mature Nodes,B,Event,"Dresden fab joint venture; TSMC-operated; production expected 2027; €10B investment",2027,6,https://pr.tsmc.com/english/news/3049,Dresden JV; European production,TSMC's first European fab
SCREEN Semiconductor Solutions,screen.co.jp,"Kyoto, Japan",Japan,,Public,7735.T,1943,Equipment (Front-End),Wet Clean/Lithography Track,B,Tailwind,"Lithography track systems; wet cleaning equipment; key TSMC supplier",2024,5,https://www.screen.co.jp/eng/semiconductor,Cleaning/track systems leader,Essential for fab operations
Teradyne,teradyne.com,"North Reading, MA",USA,,Public,TER,1960,Equipment (Back-End),Test Systems,B,Tailwind,"Semiconductor test equipment leader; robotics division",2024,5,https://www.teradyne.com/,Test equipment leader,Also owns Universal Robots
Advantest,advantest.com,"Tokyo, Japan",Japan,,Public,6857.T,1954,Equipment (Back-End),Test Systems,B,Tailwind,"Memory and SoC test equipment; HBM testing",2024,5,https://www.advantest.com/,Test equipment leader,Strong in HBM testing
SUMCO,sumco.com,"Tokyo, Japan",Japan,,Public,3436.T,1999,Materials,Silicon Wafers,B,Tailwind,"#2 silicon wafer supplier globally; 300mm capacity",2024,5,https://www.sumco.com/,Major wafer supplier,Key supplier to foundries
SK Siltron,sksiltron.com,"Gumi, South Korea",Korea,,Private,SK Group,2017,Substrates,SiC Substrates,B,Tailwind,"SK-owned SiC substrate maker; Michigan SiC CSS facility",2024,5,https://www.sksiltron.com/,Korean SiC substrate player,Part of SK Group
Brooks Automation,brooks.com,"Chelmsford, MA",USA,,Public,BRKS,1978,Equipment (Front-End),Automation/Contamination Control,B,Tailwind,"Wafer handling automation; vacuum systems; cryopumps",2024,5,https://www.brooks.com/,Fab automation leader,Clean room equipment
Veeco Instruments,veeco.com,"Plainview, NY",USA,,Public,VECO,1945,Equipment (Front-End),Deposition/Ion Beam,B,Tailwind,"MBE and MOCVD systems; ion beam equipment",2024,5,https://www.veeco.com/,Compound semi equipment,GaN/SiC deposition
FormFactor,formfactor.com,"Livermore, CA",USA,,Public,FORM,1993,Equipment (Back-End),Probe Cards,B,Tailwind,"Advanced probe card leader; test & measurement",2024,5,https://www.formfactor.com/,Probe card leader,Critical for chip testing
Cohu,cohu.com,"Poway, CA",USA,,Public,COHU,1947,Equipment (Back-End),Test Handlers,B,Tailwind,"Semiconductor test handlers; thermal systems",2024,5,https://www.cohu.com/,Test handler leader,Automotive focus
Powertech Technology (PTI),pti.com.tw,"Taoyuan, Taiwan",Taiwan,,Public,6239.TW,1997,OSAT,Advanced Packaging,A,Event,"$1B FOPLP expansion by 2026; 6000-7000 WPM capacity; panel-level packaging leader; full bookings",2025-10,8,https://www.digitimes.com/news/a20251029PD215/pti-foplp-packaging-expansion-testing.html,$1B panel-level packaging expansion,FOPLP technology leader
King Yuan Electronics (KYEC),kyec.com.tw,"Hsinchu, Taiwan",Taiwan,,Public,2449.TW,1987,Testing,IC Testing Services,A,Event,"Singapore expansion accelerating; triple AI chip testing contracts; capex increased to NT$12.3B",2025,8,https://www.digitimes.com/news/a20251222PD210/expansion-king-yuan-testing-kyec-ai-chip.html,Singapore expansion; AI chip testing surge,World's largest testing house
Besi (BE Semiconductor),besi.com,"Duiven, Netherlands",Netherlands,,Public,BESI,1995,Equipment (Back-End),Die Bonding/Hybrid Bonding,A,Event,"Hybrid bonding leader; 100nm alignment systems; 26-system order May 2024; Applied Materials partnership",2025,8,https://www.besi.com/investor-relations/press-releases/details/be-semiconductor-industries-nv-increases-financial-targets-at-2025-investor-day/,Hybrid bonding leader; 2.5D/3D packaging,Critical for chiplet assembly
ASMPT,asmpt.com,"Hong Kong",Hong Kong,,Public,0522.HK,1989,Equipment (Back-End),Assembly/Packaging Equipment,A,Event,"JOINT3 consortium Sept 2025; next-gen packaging R&D; AP market growing to $4B by 2029",2025-09,7,https://www.asmpt.com/en/investor-relations/news-events/asmpt-joins-joint3-consortium-to-develop-next-generation-semiconductor-packaging/,JOINT3 consortium; advanced packaging,ASM International is largest shareholder
DISCO Corporation,disco.co.jp,"Tokyo, Japan",Japan,,Public,6146.T,1937,Equipment (Back-End),Dicing/Grinding,A,Tailwind,"Global dicing saw leader; grinders; laser saws; new DFD6080 for 400mm packages",2025,7,https://www.disco.co.jp/,Dicing and grinding monopoly,Essential for wafer singulation
Ibiden,ibiden.co.jp,"Ogaki, Japan",Japan,,Public,4062.T,1912,Substrates,IC Package Substrates,A,Event,"$3.3B investment over 3 years from FY2026; new Gifu factory late 2025; 40% AI server output boost",2025,9,https://www.digitimes.com/news/a20260204PD227/ibiden-expansion-capacity-production-plant.html,Gifu factory; $3.3B expansion,#1 AI server substrate supplier
Ajinomoto,ajinomoto.com,"Tokyo, Japan",Japan,,Public,2802.T,1909,Materials,ABF Substrates/Film,A,Event,"JPY 25B ($166M) investment by 2030; 50% ABF capacity expansion; CEO is ABF inventor",2025,7,https://www.trendforce.com/news/2025/04/01/news-japanese-firm-ajinomoto-to-invest-jpy-25-billion-by-2030-to-expand-abf-production-for-advanced-packaging/,ABF film 50% expansion,Monopoly on ABF substrate material
Shinko Electric Industries,shinko.co.jp,"Nagano, Japan",Japan,,Public,6967.T,1946,Substrates,IC Package Substrates,B,Event,"BGA substrate expansion; AI server revenue 3x FY2023; Fujitsu subsidiary",2024-2025,6,https://www.digitimes.com/news/a20241105PD208/demand-ibiden-ic-substrate-shinko-electric-2024.html,AI server substrate growth,Fujitsu Group company
Nordson Electronics,nordson.com,"Westlake, OH",USA,,Public,NDSN,1954,Equipment (Back-End),Dispensing/Underfill,B,Event,"Panel-level packaging solutions; 99%+ yields for PTI; new Europe facility 2025",2025,6,https://www.nordson.com/en/about-us/newsroom/electronics-solutions-news/nordson-electronics-solutions-develops-panel-level-packaging-solution-for-powertech-technology-inc,Panel-level packaging equipment,Underfill and dispensing leader
UTAC,utacgroup.com,"Singapore",Singapore,,Private,TIH/Wise Road,1997,OSAT,Assembly/Test,B,Event,"Acquired Singapore wafer bumping assets; global OSAT with SE Asia footprint",2024,5,https://utacgroup.com/,Singapore OSAT leader,Strategic SE Asia location
Ardentec,ardentec.com,"Hsinchu, Taiwan",Taiwan,,Public,3030.TW,1999,Testing,Wafer Probing,B,Event,"New Longtan plant Q2 2025; wafer probing specialist",2025,6,https://www.digitimes.com/news/a20250304PD238/ardentec-testing-plant-tsmc-packaging.html,New Taiwan testing plant,Wafer probing focus
Unimicron,unimicron.com,"Taoyuan, Taiwan",Taiwan,,Public,3037.TW,1990,Substrates,IC Package Substrates,A,Event,"UMC-backed expansion; aims to surpass Japanese by 2025; double-digit revenue growth 2024; high-end substrate focus",2025,7,https://www.digitimes.com/news/a20251217PD240/umc-unimicron-ic-substrate-demand-investment.html,High-end substrate market leader push,Key ABF substrate supplier
Kinsus Interconnect,kinsus.com.tw,"Taoyuan, Taiwan",Taiwan,,Public,3189.TW,2000,Substrates,BGA Substrates,B,Event,"Considering Malaysia facility; double-digit revenue growth 2024; ASE group company",2024-2025,6,https://taiwannews.com.tw/news/5080173,Malaysia expansion considered,BGA substrate specialist
SPTS Technologies (KLA),spts.com,"Newport, Wales",UK,,Public,KLA,1984,Equipment (Front-End),Etch/Deposition/PVD,B,Tailwind,"KLA subsidiary; advanced packaging etch; MEMS; compound semi",2024,5,https://www.spts.com/,KLA packaging equipment subsidiary,Acquired by KLA 2019
Hanmi Semiconductor,hanmisemi.com,"Gyeonggi-do, South Korea",Korea,,Public,042700.KQ,1980,Equipment (Back-End),Sawing/Trim/Form,B,Tailwind,"Semiconductor sawing and trim/form equipment",2024,5,https://www.hanmisemi.com/,Korean packaging equipment maker,Backend equipment
Plasma-Therm,plasmatherm.com,"St. Petersburg, FL",USA,,Private,,1974,Equipment (Back-End),Plasma Dicing,B,Event,"Singulator plasma dicing systems; repeat UTAC orders 2024",2024,5,https://www.plasmatherm.com/repeat-order-with-utac/,Plasma dicing leader,Alternative to mechanical dicing
Analog Devices,analog.com,"Wilmington, MA",USA,,Public,ADI,1965,Fabs,Specialty/Analog,A,Event,"$80M CHIPS funding OR/WA; 70% more output at PNW facilities; $1B Limerick Ireland; double output by end 2025",2025,8,https://www.nist.gov/chips/analog-devices-inc-massachusetts-chelmsford,OR + WA + MA expansion; CHIPS funding,Major analog/mixed-signal IDM
Renesas Electronics,renesas.com,"Tokyo, Japan",Japan,,Public,6723.T,2010,Fabs,Specialty/Power/MCU,A,Event,"Kofu fab reopened for power semis 2024; SiC production end 2024; acquired Transphorm GaN",2024-2025,7,https://www.datacenterdynamics.com/en/news/renesas-reopens-previously-shuttered-japanese-chip-fab/,Kofu fab reopened; SiC + GaN expansion,#1 automotive MCU supplier
UMC,umc.com,"Hsinchu, Taiwan",Taiwan,,Public,2303.TW,1980,Fabs,Mature Nodes,A,Event,"New Singapore fab Phase 3 opening Apr 2025; 22nm production 2026; 700 new jobs; Intel 12nm collaboration",2025-04,8,https://www.umc.com/en/News/press_release/Content/corporate/20250401,Singapore fab expansion; Intel partnership,#3 pure-play foundry
Tower Semiconductor,towersemi.com,"Migdal HaEmek, Israel",Israel,,Public,TSEM,1993,Fabs,Specialty Foundry,A,Event,"Intel New Mexico partnership; ST Italy joint facility qualified Q4 2024; $300M investment in Intel fab tools",2024,7,https://newsroom.intel.com/intel-foundry/sept-2023-manufacturing-news,Intel partnership; specialty foundry expansion,RF-SOI and analog specialist
Microchip Technology,microchip.com,"Chandler, AZ",USA,,Public,MCHP,1989,Fabs,Specialty/MCU,B,Event,"$162M CHIPS for Oregon + Colorado expansion; closing Tempe AZ Sept 2025; consolidating",2024-2025,6,https://www.oregonlive.com/silicon-forest/2024/12/microchip-will-close-arizona-factory-while-it-pursues-federal-subsidies-to-expand-in-oregon-colorado.html,Oregon + Colorado CHIPS expansion,MCU and analog leader
Vishay Intertechnology,vishay.com,"Malvern, PA",USA,,Public,VSH,1962,Fabs,Discrete/Passives,A,Event,"Acquired Newport Wafer Fab UK $177M Mar 2024; £51M UK investment Nov 2024; accelerates SiC plans",2024,7,https://ir.vishay.com/news-releases/news-release-details/vishay-intertechnology-acquires-nexperias-newport-wafer-fab-177,UK Newport Fab acquisition + investment,Discrete semiconductors leader
Rohm Semiconductor,rohm.com,"Kyoto, Japan",Japan,,Public,6963.T,1958,Fabs,Specialty/SiC,B,Event,"Largest facility to start end 2024; SiC production expansion; acquired Solar Frontier fab",2024-2025,6,https://www.eenewseurope.com/en/rohm-buys-japanese-fab-for-sic-boost/,New SiC fab Japan,Major SiC player
Nanya Technology,nanya.com,"New Taipei, Taiwan",Taiwan,,Public,2408.TW,1995,Fabs,Memory/DRAM,B,Tailwind,"$10B new fab investment; 4th largest DRAM brand globally",2024,5,https://www.datacenterdynamics.com/en/news/dram-company-nanya-technology-plans-10bn-chip-fab-in-new-taipei-taiwan/,Taiwan DRAM expansion,Formosa Plastics Group
Photronics,photronics.com,"Brookfield, CT",USA,,Public,PLAB,1969,Materials,Photomasks,A,Tailwind,"Leading photomask supplier; $849M revenue 2025; IC and FPD masks; US-based strategic asset",2025,7,https://photronicsinc.gcs-web.com/,US photomask leader,Only major US photomask company
Toppan / Tekscend Photomask,holdings.toppan.com,"Tokyo, Japan",Japan,,Public,7911.T,1900,Materials,Photomasks,A,Event,"$2B IPO for Tekscend spinoff 2025; IBM EUV R&D partnership 5-year; FC-BGA substrate expansion",2025,7,https://www.reuters.com/technology/tekscend-photomask-targets-2-billion-valuation-japan-ipo-sources-say-2025-08-26/,Tekscend IPO; IBM partnership,Major Japanese photomask supplier
Hoya,hoya.com,"Tokyo, Japan",Japan,,Public,7741.T,1941,Materials,Photomask Blanks/EUV,A,Event,"34% EUV mask blanks market; mid-2025 EUV advancements; critical to leading-edge",2025,7,https://semiconductorinsight.com/blog/hoya-expands-euv-photomask-blank-capabilities-strengthening-global-semiconductor-supply-chain/,EUV mask blanks leader,Duopoly with AGC
Siltronic,siltronic.com,"Munich, Germany",Germany,,Public,WAF.DE,1968,Materials,Silicon Wafers,A,Event,"EUR 136M Germany expansion; Burghausen + Freiberg; 225 new jobs; new 300mm Freiberg plant",2024-2025,7,https://www.siltronic.com/en/press/press-releases/siltronic-expands-300-mm-production-in-germany.html,Germany 300mm expansion,#4 global wafer supplier
ASM International,asm.com,"Almere, Netherlands",Netherlands,,Public,ASM.AS,1968,Equipment (Front-End),ALD/CVD/Epitaxy,A,Tailwind,"ALD market leader; $4.2-5B market by 2027; GAAFET enabler; ASMPT largest shareholder",2024-2025,7,https://www.asm.com/,ALD technology leader,Critical for GAA transistors
Lasertec,lasertec.co.jp,"Yokohama, Japan",Japan,,Public,6920.T,1960,Equipment (Front-End),EUV Mask Inspection,A,Event,"EUV mask inspection monopoly; Innovation Park R&D hub; ¥400-500B sales target by 2030",2024-2025,8,https://www.lasertec.co.jp/en/ir/individuals/,EUV mask inspection monopoly,Only EUV mask blank inspector
Hitachi High-Tech,hitachi-hightech.com,"Tokyo, Japan",Japan,,Public,Hitachi,1947,Equipment (Front-End),Etch/Metrology/SEM,A,Event,"New Kasado production facility completed 2025; etching systems expansion",2025,7,https://www.hitachi.com/New/cnews/month/2023/04/230418a.html,New Japan production facility,Part of Hitachi Group
Soitec,soitec.com,"Bernin, France",France,,Public,SOI.PA,1992,Substrates,SOI Wafers,B,Tailwind,"SOI wafer leader; 5M to 12M wafer TAM by 2030; RF-SOI for 5G; FD-SOI",2024-2025,6,https://www.soitec.com/,SOI wafer technology leader,Critical for RF and FD-SOI
Camtek,camtek.com,"Migdal HaEmek, Israel",Israel,,Public,CAMT,1987,Equipment (Front-End),Inspection/Metrology,A,Event,"$500M+ revenue 2025; Eagle G5 system launched; 4x growth in 5 years; advanced packaging focus",2025,8,https://techtime.news/2025/08/05/camtek-6/,4x revenue growth; Eagle G5 launch,Israeli inspection leader
Nova Ltd,novami.com,"Rehovot, Israel",Israel,,Public,NVMI,1993,Equipment (Front-End),Metrology,A,Event,"Acquired Sentronics Q1 2025; dimensional + materials + chemical metrology",2025,7,https://www.prnewswire.com/il/news-releases/nova-acquires-sentronics-metrology-to-expand-its-dimensional-metrology-portfolio-302317470.html,Sentronics acquisition; expanding portfolio,Metrology innovation leader
ChipMOS,chipmos.com,"Hsinchu, Taiwan",Taiwan,,Public,IMOS,1997,OSAT,Memory Testing,B,Tailwind,"Memory and LCD driver OSAT; bumping and MEMS services",2024,5,https://www.chipmos.com/,Memory testing specialist,Strong in memory OSAT
Heraeus Electronics,heraeus-electronics.com,"Hanau, Germany",Germany,,Private,Family,1660,Materials,Bonding Wire/Die Attach,B,Tailwind,"Semiconductor packaging materials; bonding wire; die attach; global family-owned",2024,5,https://www.heraeus-electronics.com/,Packaging materials leader,German family-owned since 1660
Aixtron,aixtron.com,"Herzogenrath, Germany",Germany,,Public,AIXA.DE,1983,Equipment (Front-End),MOCVD/CVD,A,Event,"New 1000m2 cleanroom 2025; G10-SiC/GaN systems for Nexperia; Nokia G10-AsP order",2025,7,https://www.semiconductor-today.com/news_items/2025/apr/aixtron-020425.shtml,SiC/GaN MOCVD leader,Compound semi deposition leader
Kokusai Electric,kokusai-electric.com,"Tokyo, Japan",Japan,,Public,6525.T,1949,Equipment (Front-End),Batch ALD/CVD,B,Event,"New US demo center; Toyama manufacturing expansion",2024-2025,6,https://www.kokusai-electric.com/en/news/document,Batch processing equipment,Spun off from Hitachi
PDF Solutions,pdf.com,"Santa Clara, CA",USA,,Public,PDFS,1991,Equipment (Front-End),Yield Software/eProbe,A,Event,"Multi-year eProbe contract Sept 2025; 21-23% revenue growth guidance; 3D structure testing",2025,7,https://www.quiverquant.com/news/PDF+Solutions+Signs+Landmark+Multi-Year+Agreement+to+Expand+eProbe+Technology+Deployment+in+Semiconductor+Manufacturing,eProbe 3D testing contract; yield software,Yield improvement specialist
Shinkawa (Yamaha),yamaha-robotics.com/shinkawa,"Tokyo, Japan",Japan,,Public,Yamaha,1959,Equipment (Back-End),Wire Bonding/Die Bonding,A,Event,"UTC-RZ1 high-speed wire bonder 2025; Samsung 2.5D bonding equipment orders",2025,7,https://www.yamaha-robotics.com/en/news/new-releases_2412-0,Samsung orders; new UTC-RZ1,Part of Yamaha Group
Toray Engineering,toray-eng.com,"Tokyo, Japan",Japan,,Public,3402.T,1926,Equipment (Back-End),Panel-Level Packaging,A,Event,"UC5000 glass panel equipment Mar 2025; TRENG-PLP Coater; ¥10B target by 2030",2025,7,https://www.toray-eng.com/news/2024/20241204.html,Glass panel packaging equipment,Part of Toray Group
