name,slug,website,hq_city,hq_state,country,employee_count,founded_year,ownership,ticker,segment_slug,sub_segment,tier,composite_score,messaging_hook,notes,linkedin_url,naics_code
Analog Devices,analog-devices,analog.com,Wilmington,MA,USA,,1965,Public,ADI,fabs,Specialty/Analog,A,8,OR + WA + MA expansion; CHIPS funding,Major analog/mixed-signal IDM,,
Renesas Electronics,renesas-electronics,renesas.com,Tokyo,,Japan,,2010,Public,6723.T,fabs,Specialty/Power/MCU,A,7,Kofu fab reopened; SiC + GaN expansion,#1 automotive MCU supplier,,
UMC,umc,umc.com,Hsinchu,,Taiwan,,1980,Public,2303.TW,fabs,Mature Nodes,A,8,Singapore fab expansion; Intel partnership,#3 pure-play foundry,,
Tower Semiconductor,tower-semiconductor,towersemi.com,Migdal HaEmek,,Israel,,1993,Public,TSEM,fabs,Specialty Foundry,A,7,Intel partnership; specialty foundry expansion,RF-SOI and analog specialist,,
Microchip Technology,microchip-technology,microchip.com,Chandler,AZ,USA,,1989,Public,MCHP,fabs,Specialty/MCU,B,6,Oregon + Colorado CHIPS expansion,MCU and analog leader,,
Vishay Intertechnology,vishay-intertechnology,vishay.com,Malvern,PA,USA,,1962,Public,VSH,fabs,Discrete/Passives,A,7,UK Newport Fab acquisition + investment,Discrete semiconductors leader,,
Rohm Semiconductor,rohm-semiconductor,rohm.com,Kyoto,,Japan,,1958,Public,6963.T,fabs,Specialty/SiC,B,6,New SiC fab Japan,Major SiC player,,
Nanya Technology,nanya-technology,nanya.com,New Taipei,,Taiwan,,1995,Public,2408.TW,fabs,Memory/DRAM,B,5,Taiwan DRAM expansion,Formosa Plastics Group,,
Photronics,photronics,photronics.com,Brookfield,CT,USA,,1969,Public,PLAB,materials,Photomasks,A,7,US photomask leader,Only major US photomask company,,
Toppan / Tekscend Photomask,toppan-tekscend-photomask,holdings.toppan.com,Tokyo,,Japan,,1900,Public,7911.T,materials,Photomasks,A,7,Tekscend IPO; IBM partnership,Major Japanese photomask supplier,,
Hoya,hoya,hoya.com,Tokyo,,Japan,,1941,Public,7741.T,materials,Photomask Blanks/EUV,A,7,EUV mask blanks leader,Duopoly with AGC,,
Siltronic,siltronic,siltronic.com,Munich,,Germany,,1968,Public,WAF.DE,materials,Silicon Wafers,A,7,Germany 300mm expansion,#4 global wafer supplier,,
ASM International,asm-international,asm.com,Almere,,Netherlands,,1968,Public,ASM.AS,equipment-front-end,ALD/CVD/Epitaxy,A,7,ALD technology leader,Critical for GAA transistors,,
Lasertec,lasertec,lasertec.co.jp,Yokohama,,Japan,,1960,Public,6920.T,equipment-front-end,EUV Mask Inspection,A,8,EUV mask inspection monopoly,Only EUV mask blank inspector,,
Hitachi High-Tech,hitachi-high-tech,hitachi-hightech.com,Tokyo,,Japan,,1947,Public,Hitachi,equipment-front-end,Etch/Metrology/SEM,A,7,New Japan production facility,Part of Hitachi Group,,
Soitec,soitec,soitec.com,Bernin,,France,,1992,Public,SOI.PA,substrates,SOI Wafers,B,6,SOI wafer technology leader,Critical for RF and FD-SOI,,
Camtek,camtek,camtek.com,Migdal HaEmek,,Israel,,1987,Public,CAMT,equipment-front-end,Inspection/Metrology,A,8,4x revenue growth; Eagle G5 launch,Israeli inspection leader,,
Nova Ltd,nova-ltd,novami.com,Rehovot,,Israel,,1993,Public,NVMI,equipment-front-end,Metrology,A,7,Sentronics acquisition; expanding portfolio,Metrology innovation leader,,
ChipMOS,chipmos,chipmos.com,Hsinchu,,Taiwan,,1997,Public,IMOS,osat,Memory Testing,B,5,Memory testing specialist,Strong in memory OSAT,,
Heraeus Electronics,heraeus-electronics,heraeus-electronics.com,Hanau,,Germany,,1660,Private,Family,materials,Bonding Wire/Die Attach,B,5,Packaging materials leader,German family-owned since 1660,,
Aixtron,aixtron,aixtron.com,Herzogenrath,,Germany,,1983,Public,AIXA.DE,equipment-front-end,MOCVD/CVD,A,7,SiC/GaN MOCVD leader,Compound semi deposition leader,,
Kokusai Electric,kokusai-electric,kokusai-electric.com,Tokyo,,Japan,,1949,Public,6525.T,equipment-front-end,Batch ALD/CVD,B,6,Batch processing equipment,Spun off from Hitachi,,
PDF Solutions,pdf-solutions,pdf.com,Santa Clara,CA,USA,,1991,Public,PDFS,equipment-front-end,Yield Software/eProbe,A,7,eProbe 3D testing contract; yield software,Yield improvement specialist,,
Shinkawa (Yamaha),shinkawa-yamaha,yamaha-robotics.com/shinkawa,Tokyo,,Japan,,1959,Public,Yamaha,equipment-back-end,Wire Bonding/Die Bonding,A,7,Samsung orders; new UTC-RZ1,Part of Yamaha Group,,
Toray Engineering,toray-engineering,toray-eng.com,Tokyo,,Japan,,1926,Public,3402.T,equipment-back-end,Panel-Level Packaging,A,7,Glass panel packaging equipment,Part of Toray Group,,
DNP (Dai Nippon Printing),dnp-dai-nippon-printing,global.dnp,Tokyo,,Japan,,1876,Public,7912.T,materials,Photomasks,A,7,2nm EUV photomask development,Rapidus supplier,,
Diodes Incorporated,diodes-incorporated,diodes.com,Plano,TX,USA,,1959,Public,DIOD,fabs,Discrete/Analog,B,5,Discrete and analog IDM,Global fab network,,
Rapidus,rapidus,rapidus.inc,Tokyo,,Japan,,2022,Private,JV,fabs,Leading-Edge Logic,A,9,Japan 2nm fab; first chips 2025,Japan's national champion,,
AGC Inc,agc-inc,agc.com,Tokyo,,Japan,,1907,Public,5201.T,materials,EUV Mask Blanks/Glass,A,8,EUV mask blanks leader,Duopoly with Hoya,,
JSR Corporation,jsr-corporation,jsr.co.jp,Tokyo,,Japan,,1957,Private,JIC,materials,Photoresists,A,7,Photoresist market leader,JIC national consolidation,,
Tokyo Ohka Kogyo (TOK),tokyo-ohka-kogyo-tok,tok.co.jp,Kawasaki,,Japan,,1940,Public,4186.T,materials,Photoresists,A,7,Korea plant expansion; EUV photoresist,#2 photoresist globally,,
NVIDIA,nvidia,nvidia.com,Santa Clara,CA,USA,,1993,Public,NVDA,fabless,AI/GPU Design,B,6,Santa Clara HQ expansion,World's most valuable company,,
AMD,amd,amd.com,Santa Clara,CA,USA,,1969,Public,AMD,fabless,CPU/GPU Design,B,6,NY + Orlando design centers,CPU/GPU leader; acquired Xilinx,,
Broadcom,broadcom,broadcom.com,Palo Alto,CA,USA,,1961,Public,AVGO,fabless,Networking/Custom Silicon,B,5,$11B R&D; custom AI chips,#2 fabless by market cap,,
Qualcomm,qualcomm,qualcomm.com,San Diego,CA,USA,,1985,Public,QCOM,fabless,Mobile/5G/Automotive,B,5,Wireless technology leader,5G/mobile dominant,,
Marvell Technology,marvell-technology,marvell.com,Wilmington,DE,USA,,1995,Public,MRVL,fabless,Data Center/Networking,B,6,Vietnam + India R&D expansion,Data center semiconductor leader,,
MediaTek,mediatek,mediatek.com,Hsinchu,,Taiwan,,1997,Public,2454.TW,fabless,Mobile/IoT/AI,B,5,India design center growth,#4 fabless globally,,
ARM Holdings,arm-holdings,arm.com,Cambridge,,UK,,1990,Public,ARM,fabless,IP/Architecture Licensing,B,5,CPU architecture monopoly,Powers 99% of smartphones,,
Lattice Semiconductor,lattice-semiconductor,latticesemi.com,Hillsboro,OR,USA,,1983,Public,LSCC,fabless,FPGA/Low Power,B,5,Low-power FPGA leader,Edge AI specialist,,
Cirrus Logic,cirrus-logic,cirrus.com,Austin,TX,USA,,1984,Public,CRUS,fabless,Audio/Mixed-Signal,B,5,Audio IC leader,Major Apple supplier,,
Monolithic Power Systems,monolithic-power-systems,monolithicpower.com,Kirkland,WA,USA,,1997,Public,MPWR,fabless,Power Management,B,5,Power management leader,AI data center focus,,
DB HiTek,db-hitek,dbhitek.com,Bucheon,,Korea,,2000,Public,000990.KS,fabs,Specialty Foundry,B,5,Korea specialty foundry,Image sensor focus,,
Wonik IPS,wonik-ips,ips.co.kr,Pyeongtaek,,Korea,,1999,Public,240810.KQ,equipment-front-end,CVD/ALD/Etch,B,5,Korean equipment leader,Domestic Korean market,,
Soulbrain,soulbrain,soulbrain.co.kr,Seongnam,,Korea,,1986,Public,357780.KQ,materials,Electronic Chemicals,A,7,Taylor TX plant for Samsung,Korean chemicals leader,,
LEENO Industrial,leeno-industrial,leeno.com,Busan,,Korea,,1978,Public,058470.KQ,equipment-back-end,Test Sockets/Probes,B,5,Test socket specialist,Growing with HBM demand,,
Eugene Technology,eugene-technology,eugenetech.co.kr,Yongin,,Korea,,1999,Public,084370.KQ,equipment-front-end,ALD/CVD/Epitaxy,B,6,Samsung ALD supplier,Korean ALD specialist,,
ams-OSRAM,ams-osram,ams-osram.com,Premstätten,,Austria,,1981,Public,AMS.SW,fabs,Sensors/Optoelectronics,A,7,Austria fab expansion; EU Chips Act,Sensors and optoelectronics leader,,
SUSS MicroTec,suss-microtec,suss.com,Garching,,Germany,,1949,Public,SMHN.DE,equipment-front-end,Lithography/Bonding,A,7,AI packaging equipment growth,German lithography equipment,,
VAT Group,vat-group,vatgroup.com,Haag,,Switzerland,,1965,Public,VACN.SW,equipment-front-end,Vacuum Valves,A,7,New R&D center; European production,Global vacuum valve leader,,
IQE,iqe,iqep.com,Cardiff,,UK,,1988,Public,IQE.L,substrates,Compound Semiconductor Wafers,B,5,Compound semi wafer leader,Strategic review underway,,
Melexis,melexis,melexis.com,Tessenderlo,,Belgium,,1988,Public,MELE.BR,fabless,Automotive Sensors,B,5,Automotive sensor specialist,Belgian fabless leader,,
