company_name,company_slug,website,current_signal_code,signal_date,signal_text,source_url,valid_signal_code,action
"Andelyn Biosciences",andelyn-biosciences,https://andelynbio.com,serial_expander,2024-01-01,"Gene therapy CDMO spinout from Nationwide Children's; multiple facility locations",https://www.andelynbio.com/,,
"Anduril Industries",anduril-industries,https://anduril.com,contract_award,2024-12-01,"Anduril Wins $1B+ Counter-UAS Contract",https://anduril.com/newsroom,,
"Anduril Industries",anduril-industries,https://anduril.com,funding_round,2024-08-22,"Anduril Raises $1.5B at $8B+ Valuation",https://techcrunch.com,,
Ansaldo Energia,ansaldo-energia,ansaldoenergia.com,,,,,,NO_SIGNAL
"Apertura Gene Therapy",apertura-gene-therapy,https://aperturagtx.com,expansion_announcement,2026-02-14,"Signal detected",https://aperturagtx.com/,,
"Apex Space",apex-space,https://apexspace.com,new_facility,2025-01-01,"$200M Series C (April 2025); Factory One scaling to 100,000 sq ft; 200+ buses/year capacity",https://www.prnewswire.com/news-releases/apex-raises-200-million-in-series-c-funding-to-increase-productized-satellite-bus-manufacturing-302440649.html,,
Apollo Fusion (Astra),apollo-fusion-astra,https://apollo-fusion.com,,,,,,NO_SIGNAL
Applied Ion Systems,applied-ion-systems,https://appliedionsystems.com,,,,,,NO_SIGNAL
"Applied Materials",applied-materials,appliedmaterials.com,new_facility,2025-01-01,"$200M Arizona investment; $400M+ US expansion; Apple partnership; 6th consecutive growth year FY2025",https://www.trendforce.com/news/2025/09/02/news-applied-materials-reportedly-sees-limited-u-s-incentive-effect-offers-nuanced-view-on-china/,,
"Applied Materials",applied-materials,appliedmaterials.com,new_facility,2025-01-01,"$200M Arizona investment; $400M+ US expansion; Apple partnership; 6th consecutive growth year FY2025",https://www.trendforce.com/news/2025/09/02/news-applied-materials-reportedly-sees-limited-u-s-incentive-effect-offers-nuanced-view-on-china/,,
"Apptronik",apptronik,https://apptronik.com,new_facility,2025-01-01,"$350M Series A (Google-backed) + $5B valuation + leasing new space to ramp Apollo production",https://www.reuters.com/technology/apptronik-raises-350-million-scale-production-humanoid-robots-2025-02-13/,,
Aptos Orbital,aptos-orbital,https://aptosorbital.com,,,,,,NO_SIGNAL
"Arcellx",arcellx,https://arcellx.com,oem_partner,2024-01-01,"Anito-cel in Phase 3 (iMMagine-3) with Kite/Gilead for multiple myeloma; D-Domain binder technology",https://www.gilead.com/news/news-details/2024/kite-and-arcellx-continue-momentum-with-advances-in-anito-cel-multiple-myeloma-program,,
Arcosa,arcosa,arcosa.com,,,,,,NO_SIGNAL
Ardentec,ardentec,ardentec.com,,,,,,NO_SIGNAL
ARM Holdings,arm-holdings,arm.com,,,,,,NO_SIGNAL
Array Labs,array-labs,arraylabs.com,,,,,,NO_SIGNAL
"Array Technologies",array-technologies,arraytechinc.com,new_facility,2025-01-01,"100% domestic content trackers H1 2025; Albuquerque NM factory construction; #3 global tracker",https://www.pv-tech.org/array-on-course-to-deliver-100-domestic-content-pv-tracker-in-h1-2025/,,
"Array Technologies",array-technologies,arraytechinc.com,new_facility,2025-01-01,"100% domestic content trackers H1 2025; Albuquerque NM factory construction; #3 global tracker",https://www.pv-tech.org/array-on-course-to-deliver-100-domestic-content-pv-tracker-in-h1-2025/,,
Arteche,arteche,arteche.com,,,,,,NO_SIGNAL
ASE Technology,ase-technology,aseglobal.com,,,,,,NO_SIGNAL
"AskBio (Bayer)",askbio-bayer,https://askbio.com,expansion_announcement,2026-02-14,"Signal detected",https://www.askbio.com/bayer-acquires-askbio-to-broaden-innovation-base-in-cell-and-gene-therapy/,,
ASM International,asm-international,asm.com,,,,,,NO_SIGNAL
"ASML",asml,asml.com,new_facility,2025-01-01,"ASML Connecticut $200M Expansion",https://www.advancect.org/news-and-media/p/item/43734/asml-investing-200-million-in-connecticut-facility-adding-1000-jobs,,
"ASML",asml,asml.com,new_facility,2025-01-01,"$200M Connecticut expansion; 1000 new jobs; EUV monopoly; critical to all leading-edge fabs",https://www.advancect.org/news-and-media/p/item/43734/asml-investing-200-million-in-connecticut-facility-adding-1000-jobs,,
"ASML",asml,asml.com,new_facility,2025-01-01,"$200M Connecticut expansion; 1000 new jobs; EUV monopoly; critical to all leading-edge fabs",https://www.advancect.org/news-and-media/p/item/43734/asml-investing-200-million-in-connecticut-facility-adding-1000-jobs,,
ASMPT,asmpt,asmpt.com,,,,,,NO_SIGNAL
"Astranis",astranis,https://astranis.com,new_facility,2025-01-01,"4 MicroGEO satellites launched (Dec 2024); $8M USSF contract; scaling manufacturing capacity",https://spacenews.com/four-satellite-astranis-launch-signals-shift-toward-scaled-geo-deployments/,,
Astrogate Labs,astrogate-labs,https://astrogatelabs.com,,,,,,NO_SIGNAL
Astronics Corporation,astronics-corporation,https://astronics.com,,,,,,NO_SIGNAL
Astroscale,astroscale,https://astroscale.com,,,,,,NO_SIGNAL
"Atara Biotherapeutics",atara-biotherapeutics,https://atarabio.com,investment_plan_announced,2021-01-01,"Building $55M 90K sq ft CAR-T manufacturing facility in Thousand Oaks; allogeneic EBV-specific T cel",https://bioinformant.com/car-t-companies-the-meteoric-rise-of-cellular-immunotherapies/,,
Atlant 3D,atlant-3d,atlant3d.com,,,,,,NO_SIGNAL
Atlas Space Operations,atlas-space-operations,https://atlasspace.com,,,,,,NO_SIGNAL
Atomic-6,atomic-6,https://www.atomic-6.com/,,,,,,NO_SIGNAL
"Autolus Therapeutics",autolus-therapeutics,https://autolus.com,expansion_announcement,2026-02-14,"Signal detected",https://autolus.gcs-web.com/news-releases/news-release-details/autolus-therapeutics-announces-updated-manufacturing-facility,,
"Axcelis Technologies",axcelis-technologies,axcelis.com,new_facility,2025-01-01,"Purion Power Series+ launched Sept 2025 for SiC; $6B market opportunity by 2030; 4 SEC filings re: e",https://investor.axcelis.com/news-releases/news-release-details/axcelis-announces-launch-companys-new-purion-power-series-ion,,
Axiom Materials,axiom-materials,https://axiommaterials.com/,,,,,,NO_SIGNAL
Axiom Space,axiom-space,https://axiomspace.com,,,,,,NO_SIGNAL
BAE Systems,bae-systems,https://www.baesystems.com/,,,,,,NO_SIGNAL
Baker Hughes Turbines,baker-hughes-turbines,bakerhughes.com,,,,,,NO_SIGNAL
Ball Aerospace,ball-aerospace,https://ballaerospace.com,,,,,,NO_SIGNAL
"Ballard Power",ballard-power,ballard.com,new_facility,2025-01-01,"Heavy-duty mobility fuel cells; transit bus + truck focus; European + China expansion",https://www.ballard.com/,,
Battelle Memorial Institute,battelle-memorial-institute,https://www.battelle.org/,,,,,,NO_SIGNAL
"Benchmark Space Systems",benchmark-space-systems,https://benchmarkspacesystems.com,new_facility,2025-01-01,"40,000 sq ft facility in Burlington VT; tripled production capacity; UK expansion",https://www.benchmarkspacesystems.com/news/post/press-release-benchmark-space-systems-triples-propulsion-system-production-capacity-doubles-personnel-to-meet-thruster-and-in-space-mobility-demand,,
"Benchmark Space Systems",benchmark-space-systems,https://benchmarkspacesystems.com,new_facility,2025-01-01,"40,000 sq ft facility in Burlington VT; tripled production capacity; UK expansion",https://www.benchmarkspacesystems.com/news/post/press-release-benchmark-space-systems-triples-propulsion-system-production-capacity-doubles-personnel-to-meet-thruster-and-in-space-mobility-demand,,
Berkshire Grey,berkshire-grey,https://www.berkshiregrey.com/,,,,,,NO_SIGNAL
Besi (BE Semiconductor),besi-be-semiconductor,besi.com,,,,,,NO_SIGNAL
"Beta Technologies",beta-technologies,beta.team,new_facility,2025-01-01,"Charging network buildout; UPS partnership; Vermont manufacturing facility expansion",https://beta.team/news/,,
"Beta Technologies",beta-technologies,beta.team,new_facility,2025-01-01,"Charging network buildout; UPS partnership; Vermont manufacturing facility expansion",https://beta.team/news/,,
Beyond Gravity,beyond-gravity,https://beyondgravity.com,,,,,,NO_SIGNAL
Bloom Energy,bloom-energy,bloomenergy.com,,,,,,NO_SIGNAL
Blue Canyon Technologies,blue-canyon-technologies,https://bluecanyontech.com,,,,,,NO_SIGNAL
"Blue Origin",blue-origin,https://blueorigin.com,new_facility,2025-01-01,"New Titusville FL manufacturing facility (100 jobs); Central Texas ~$1B expansion planned",https://www.floridatoday.com/story/tech/science/space/2025/09/26/blue-origin-future-titusville-manufacturing-facility-to-employ-100-workers-in-brevard-county-florida/86350571007/,,
"Blue Origin",blue-origin,https://blueorigin.com,new_facility,2025-01-01,"New Titusville FL manufacturing facility (100 jobs); Central Texas ~$1B expansion planned",https://www.floridatoday.com/story/tech/science/space/2025/09/26/blue-origin-future-titusville-manufacturing-facility-to-employ-100-workers-in-brevard-county-florida/86350571007/,,
Blue Star Power Systems,blue-star-power-systems,bluestarps.com,,,,,,NO_SIGNAL
"bluebird bio",bluebird-bio,https://bluebirdbio.com,expansion_announcement,2026-02-14,"Signal detected",https://www.fiercepharma.com/pharma/bluebird-taps-lonza-boost-manufacturing-capacity-its-gene-therapies-zynteglo-and-skysona,,
"Boeing",boeing,https://www.boeing.com/,expansion_announcement,2026-02-03,"$7M composite manufacturing expansion in Wichita KS",https://www.bizjournals.com/wichita/news/2026/02/03/boeing-expansion-investment-manufacturing-spirit.html,,
"Boeing",boeing,https://www.boeing.com/,expansion_announcement,2026-02-03,"$7M composite manufacturing expansion in Wichita KS",https://www.bizjournals.com/wichita/news/2026/02/03/boeing-expansion-investment-manufacturing-spirit.html,,
Boston Dynamics,boston-dynamics,https://bostondynamics.com/,,,,,,NO_SIGNAL
Boston Materials,boston-materials,https://bostonmaterials.co/,,,,,,NO_SIGNAL
"Boviet Solar",boviet-solar,bovietsolar.com,new_facility,2025-01-01,"3 GW North Carolina module + cell facility expansion Sept 2025; fully integrated US manufacturing",https://www.solarpowerworldonline.com/2025/09/boviet-solar-adds-another-gigawatt-of-capacity-at-nc-solar-panel-manufacturing-facility/,,
"Boviet Solar",boviet-solar,bovietsolar.com,new_facility,2025-01-01,"3 GW North Carolina module + cell facility expansion Sept 2025; fully integrated US manufacturing",https://www.solarpowerworldonline.com/2025/09/boviet-solar-adds-another-gigawatt-of-capacity-at-nc-solar-panel-manufacturing-facility/,,
Bradford Space,bradford-space,https://bradford-space.com,,,,,,NO_SIGNAL
Briggs & Stratton,briggs-stratton,briggsandstratton.com,,,,,,NO_SIGNAL
Broadcom,broadcom,broadcom.com,,,,,,NO_SIGNAL
Brooks Automation,brooks-automation,brooks.com,,,,,,NO_SIGNAL
BWX Technologies,bwx-technologies,bwxt.com,,,,,,NO_SIGNAL
BYD Energy Storage,byd-energy-storage,https://www.byd.com/,,,,,,NO_SIGNAL
C-CAT,c-cat,https://www.c-cat.net/,,,,,,NO_SIGNAL
Cambium,cambium,https://cambium-usa.com/,,,,,,NO_SIGNAL
Camtek,camtek,camtek.com,,,,,,NO_SIGNAL
"Canadian Solar",canadian-solar,canadiansolar.com,new_facility,2025-01-01,"3 US facilities: modules + cells + e-STORAGE; $3.2B backlog; 81 GWh storage pipeline; Texas expansio",https://investors.canadiansolar.com/news-releases/news-release-details/canadian-solar-reports-fourth-quarter-and-full-year-2024-results,,
"Canadian Solar",canadian-solar,canadiansolar.com,new_facility,2025-01-01,"3 US facilities: modules + cells + e-STORAGE; $3.2B backlog; 81 GWh storage pipeline; Texas expansio",https://investors.canadiansolar.com/news-releases/news-release-details/canadian-solar-reports-fourth-quarter-and-full-year-2024-results,,
Canopy Aerospace,canopy-aerospace,https://www.canopyaerospace.com/,,,,,,NO_SIGNAL
Capella Space,capella-space,https://capellaspace.com,,,,,,NO_SIGNAL
"Capricor Therapeutics",capricor-therapeutics,https://capricor.com,regulatory_milestone,2025-09-01,"Deramiocel for DMD cardiomyopathy; received CRL but addressing; small in-house San Diego facility",https://www.capricor.com/investors/news-events/press-releases/detail/329/capricor-therapeutics-reports-third-quarter-2025-financial,,
"Capsida Biotherapeutics",capsida-biotherapeutics,https://capsida.com,oem_partner,2023-05-01,"Fully integrated end-to-end including GMP manufacturing; partnered with CRISPR Therapeutics and AbbV",https://capsida.com/science-innovation/,,
"Caribou Biosciences",caribou-biosciences,https://cariboubio.com,expansion_announcement,2026-02-14,"Signal detected",https://www.cariboubio.com/,,
"Castelion",castelion,https://www.castelion.com/,new_facility,2025-01-01,"$350M Series B + Project Ranger 1000-acre NM manufacturing campus",https://www.castelion.com/news/series-b/,,
"Castelion",castelion,https://www.castelion.com/,new_facility,2025-01-01,"$350M Series B + Project Ranger 1000-acre NM manufacturing campus",https://www.castelion.com/news/series-b/,,
Caterpillar Electric Power,caterpillar-electric-power,cat.com,,,,,,NO_SIGNAL
CATL,catl,https://www.catl.com/,,,,,,NO_SIGNAL
"Cellectis",cellectis,https://cellectis.com,us_entity_formation,2020-06-01,"French company; in-house GMP facilities in both Paris and Raleigh NC; UCART allogeneic platform",https://www.cellectis.com/en/press/cellectis-enters-lease-agreement-to-build-manufacturing-facility-advancing-towards-commercialization-of-its-ucart-portfolio,,
"Centrus Energy",centrus-energy,centrusenergy.com,new_facility,2025-01-01,"First US HALEU production Oct 2023; DOE contract expansion; critical for advanced reactors",https://www.centrusenergy.com/,,
"CesiumAstro",cesiumastro,https://cesiumastro.com,new_facility,2025-01-01,"$470M Series C; building 270,000 sq ft HQ/manufacturing facility; 500+ jobs planned",https://spacenews.com/cesiumastro-to-scale-operations-with-450-million-in-equity-and-debt-financing/,,
ChipMOS,chipmos,chipmos.com,,,,,,NO_SIGNAL
Cirrus Logic,cirrus-logic,cirrus.com,,,,,,NO_SIGNAL
"Clas-SiC Wafer Fab",clas-sic-wafer-fab,clas-sic.com,new_facility,2025-01-01,"£12M investment; 150mm SiC wafer foundry; prototyping and low-volume production",https://clas-sic.com/,,
ClearSpace,clearspace,https://clearspace.today,,,,,,NO_SIGNAL
Cognitive Space,cognitive-space,https://cognitivespace.com,,,,,,NO_SIGNAL
"Coherent (II-VI)",coherent-ii-vi,https://coherent.com,new_facility,2025-01-01,"$1B investment from Denso/Mitsubishi; PA factory to 1M 150mm SiC equivalents by 2027; $33M CHIPS fun",https://www.coherent.com/news/press-releases/ii-vi-incorporated-accelerates-investment-in-silicon-carbide-substrate-and-epitaxial-wafer-manufacturing-with-large-scale-factory-expansions-in-pennsylvania-and-sweden,,
"Coherent (II-VI)",coherent-ii-vi,https://coherent.com,new_facility,2025-01-01,"$1B investment from Denso/Mitsubishi; PA factory to 1M 150mm SiC equivalents by 2027; $33M CHIPS fun",https://www.coherent.com/news/press-releases/ii-vi-incorporated-accelerates-investment-in-silicon-carbide-substrate-and-epitaxial-wafer-manufacturing-with-large-scale-factory-expansions-in-pennsylvania-and-sweden,,
"Coherent Corp",coherent-corp,https://coherent.com,earnings_signal,2026-02-09,"SEC 8-K filed - SiC substrates expansion",https://www.sec.gov/cgi-bin/browse-edgar?CIK=820318,,
"Coherent Corp",coherent-corp,https://coherent.com,earnings_signal,2026-02-04,"8-K filed Feb 4 - SiC substrate expansion continues",https://www.sec.gov/cgi-bin/browse-edgar?CIK=820318,,
Cohu,cohu,cohu.com,,,,,,NO_SIGNAL
Collins Aerospace,collins-aerospace,https://collinsaerospace.com,,,,,,NO_SIGNAL
"Commonwealth Fusion Systems",commonwealth-fusion,https://cfs.energy,product_launch,2024-06-18,"Commonwealth Fusion Achieves SPARC Magnet Milestone",https://cfs.energy/news,,
COMSPOC,comspoc,https://comspoc.com,,,,,,NO_SIGNAL
Concept Group LLC,concept-group-llc,https://conceptgroupllc.com/,,,,,,NO_SIGNAL
Convalt Energy,convalt-energy,convalt.com,,,,,,NO_SIGNAL
Corintis,corintis,corintis.com,,,,,,NO_SIGNAL
Cummins Accelera,cummins-accelera,accelerazero.com,,,,,,NO_SIGNAL
Cummins Power Generation,cummins-power-generation,cummins.com,,,,,,NO_SIGNAL
"Cyclic Materials",cyclic-materials,https://cyclicmaterials.earth/,new_facility,2025-01-01,"$82M investment in new rare earth recycling campus in McBee SC + existing US commercial facility",https://www.businesswire.com/news/home/20260129743973/en/Cyclic-Materials-to-Expand-U.S.-Rare-Earth-Recycling-Footprint-with-New-South-Carolina-Campus,,
"Cyclic Materials",cyclic-materials,https://cyclicmaterials.earth/,new_facility,2025-01-01,"$82M investment in new rare earth recycling campus in McBee SC + existing US commercial facility",https://www.businesswire.com/news/home/20260129743973/en/Cyclic-Materials-to-Expand-U.S.-Rare-Earth-Recycling-Footprint-with-New-South-Carolina-Campus,,
"d-Matrix",d-matrix,d-matrix.ai,new_facility,2025-01-01,"$275M Series C Dec 2025; digital in-memory compute; $450M total raised; global expansion",https://www.d-matrix.ai/announcements/d-matrix-raises-275-million-to-power-the-age-of-ai-inference/,,
D-Orbit,d-orbit,https://dorbit.space,,,,,,NO_SIGNAL
Dawn Aerospace,dawn-aerospace,https://dawnaerospace.com,,,,,,NO_SIGNAL
"DB HiTek",db-hitek,dbhitek.com,new_facility,2025-01-01,"Image sensor expansion; machine vision/autonomous vehicles; high value-added focus",https://dbhitek.com/en/index,,
Delta Star,delta-star,deltastar.com,,,,,,NO_SIGNAL
Diodes Incorporated,diodes-incorporated,diodes.com,,,,,,NO_SIGNAL
DISCO Corporation,disco-corporation,disco.co.jp,,,,,,NO_SIGNAL
DNP (Dai Nippon Printing),dnp-dai-nippon-printing,global.dnp,,,,,,NO_SIGNAL
Draper Laboratory,draper-laboratory,https://www.draper.com/,,,,,,NO_SIGNAL
Dynetics,dynetics,https://www.leidos.com/,,,,,,NO_SIGNAL
"Eaton",eaton,eaton.com,new_facility,2025-01-01,"$340M Jonesville SC 3rd transformer facility Feb 2025; $1B+ NA investment since 2023; production 202",https://www.eaton.com/us/en-us/company/news-insights/news-releases/2025/eaton-invests-in-new-south-carolina-transformer-manufacturing.html,,
"Eaton",eaton,eaton.com,new_facility,2025-01-01,"$340M Jonesville SC 3rd transformer facility Feb 2025; $1B+ NA investment since 2023; production 202",https://www.eaton.com/us/en-us/company/news-insights/news-releases/2025/eaton-invests-in-new-south-carolina-transformer-manufacturing.html,,
EchoStar,echostar,https://echostar.com,,,,,,NO_SIGNAL
"Electric Hydrogen",electric-hydrogen,eh2.com,new_facility,2025-01-01,"$220M+ raised; 1 GW/year stack production target; HIF Texas e-Fuels project supplier",https://eh2.com/,,
"Electric Hydrogen",electric-hydrogen,eh2.com,new_facility,2025-01-01,"$220M+ raised; 1 GW/year stack production target; HIF Texas e-Fuels project supplier",https://eh2.com/,,
"Eli Lilly",eli-lilly,https://lilly.com,expansion_announcement,2026-01-30,"$3.5B Pennsylvania plant - 4th new US facility in 12 months",https://www.reuters.com/business/healthcare-pharmaceuticals/eli-lilly-build-35-billion-pennsylvania-plant-us-manufacturing-push-2026-01-30/,,
"Eli Lilly",eli-lilly,https://lilly.com,expansion_announcement,2026-01-30,"$3.5B Pennsylvania plant - 4th new US facility in 12 months",https://www.reuters.com/business/healthcare-pharmaceuticals/eli-lilly-build-35-billion-pennsylvania-plant-us-manufacturing-push-2026-01-30/,,
EnCharge AI,encharge-ai,enchargeai.com,,,,,,NO_SIGNAL
"Encoded Therapeutics",encoded-therapeutics,https://encoded.com,regulatory_milestone,2024-01-01,"GMP manufacturing facility in RTP NC; ETX101 for Dravet syndrome has RMAT designation",https://encoded.com/in-the-code/right-sized-in-rtp-building-out-encodeds-manufacturing-ecosystem/,,
Encore Wire,encore-wire,encorewire.com,,,,,,NO_SIGNAL
Endurosat,endurosat,https://endurosat.com,,,,,,NO_SIGNAL
"Enel 3Sun",enel-3sun,3sun.com,new_facility,2025-01-01,"€560M Sicily 3 GW gigafactory (Europe's largest); US 3 GW plant announced; HJT technology",https://www.eib.org/en/press/all/2024-020-europe-s-biggest-solar-gigafactory-3sun-secures-eur560-million-financing-from-eib-and-pool-of-italian-banks-led-by-unicredit-and-backed-by-sace,,
"Enel North America",enel-north-america,enelnorthamerica.com,new_facility,2025-01-01,"10+ GW US capacity; 1.3 GW Texas BESS; 520 MW/780 MWh operational storage; tripled TX capacity 2023",https://www.enelnorthamerica.com/about-us/newsroom/search-press/press/2024/03/enel-10gw,,
"Enel North America",enel-north-america,enelnorthamerica.com,new_facility,2025-01-01,"10+ GW US capacity; 1.3 GW Texas BESS; 520 MW/780 MWh operational storage; tripled TX capacity 2023",https://www.enelnorthamerica.com/about-us/newsroom/search-press/press/2024/03/enel-10gw,,
Energy Fuels,energy-fuels,https://www.energyfuels.com/,,,,,,NO_SIGNAL
EnerVenue,enervenue,https://enervenue.com/,,,,,,NO_SIGNAL
"Enphase Energy",enphase-energy,https://enphase.com/,new_facility,2025-01-01,"US microinverter manufacturing; IQ9 with GaN launching 2025; batteries + EV chargers; domestic conte",https://www.solarpowerworldonline.com/2024/09/inverter-manufacturers-highlight-higher-domestic-content-at-re-2024/,,
"Enphase Energy",enphase-energy,https://enphase.com/,new_facility,2025-01-01,"SC + WI + third US site; IQ Battery 5P",https://enphase.com/,,
"Enphase Energy",enphase-energy,https://enphase.com/,new_facility,2025-01-01,"SC + WI + third US site; IQ Battery 5P",https://enphase.com/,,
Enpulsion,enpulsion,https://enpulsion.com,,,,,,NO_SIGNAL
"Entegris",entegris,entegris.com,new_facility,2025-01-01,"$1.4B total US investment; $700M R&D; $600M Colorado Springs manufacturing; Aurora IL tech center",https://evertiq.com/news/2025-08-22-entegris-announces-700-million-investment-in-us,,
"Entegris",entegris,entegris.com,new_facility,2025-01-01,"$1.4B total US investment; $700M R&D; $600M Colorado Springs manufacturing; Aurora IL tech center",https://evertiq.com/news/2025-08-22-entegris-announces-700-million-investment-in-us,,
"Eos Energy",eos-energy,https://www.eose.com/,new_facility,2025-01-01,"$353M DOE loan; Turtle Creek automation expansion; HQ move to Pittsburgh; 735 jobs",https://dced.pa.gov/newsroom/governor-shapiro-secures-nearly-353-million-investment-from-eos-energy/,,
Epsilon3,epsilon3,https://epsilon3.io,,,,,,NO_SIGNAL
ERMCO,ermco,ermco-eci.com,,,,,,NO_SIGNAL
"ESMC (TSMC/Bosch/Infineon/NXP)",esmc-tsmcboschinfineonnxp,esmc.eu,new_facility,2025-01-01,"Dresden fab joint venture; TSMC-operated; production expected 2027; €10B investment",https://pr.tsmc.com/english/news/3049,,
