company_name,website,industry,segment,sub_segment,signal_code,signal_score,signal_date,signal_text,source_url,messaging_hook
ASE Technology,aseglobal.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,5,2024,World's largest OSAT; considering US expansion,https://www.aseglobal.com/,Global OSAT leader
Kulicke & Soffa,kns.com,Semiconductors,Semiconductors,Fabs & Foundries,,5,2024,Advanced packaging equipment; ball bonding leader,https://www.kns.com/,Packaging equipment leader
SkyWater Technology,skywatertechnology.com,Semiconductors,Semiconductors,Fabs & Foundries,FUNDING_LADDER,8,2025-02,$16M CHIPS funding Dec 2024; acquiring Infineon Austin fab Feb 2025 for 65-130nm capacity; US-only trusted foundry for defense/aerospace,https://www.skywatertechnology.com/skywater-to-acquire-infineons-austin-fab-and-establish-strategic-partnership-to-expand-u-s-foundry-capacity-for-foundational-chips/,Austin acquisition; defense foundry
Polar Semiconductor,polarsemi.com,Semiconductors,Semiconductors,Fabs & Foundries,,2024-05,$525M expansion; $123M CHIPS award; doubles capacity; sensor and power chip leader; 160+ new jobs,Event,8,https://www.nist.gov/chips/polar-semiconductor-minnesota-bloomington
X-FAB,xfab.com,Semiconductors,Semiconductors,Fabs & Foundries,FUNDING_LADDER,7,2024-12,$50M CHIPS funding Dec 2024; only high-volume SiC foundry in USA; Lubbock TX expansion,https://www.nist.gov/chips/x-fab-texas-lubbock,Only US SiC foundry; Lubbock expansion
Coherent (II-VI),coherent.com,Semiconductors,Semiconductors,Fabs & Foundries,FUNDING_LADDER,8,2024,$1B investment from Denso/Mitsubishi; PA factory to 1M 150mm SiC equivalents by 2027; $33M CHIPS funding Dec 2024,https://www.coherent.com/news/press-releases/ii-vi-incorporated-accelerates-investment-in-silicon-carbide-substrate-and-epitaxial-wafer-manufacturing-with-large-scale-factory-expansions-in-pennsylvania-and-sweden,PA SiC expansion; $1B strategic investment
Infineon Technologies,infineon.com,Semiconductors,Semiconductors,Fabs & Foundries,,6,2025,Selling Austin fab to SkyWater; 200mm SiC rollout 2025; Dresden 300mm Smart Power Fab 2026; 30% global SiC share target by 2030,https://www.infineon.com/press-release/2025/infxx202502-066,Dresden expansion; SiC leader
STMicroelectronics,st.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,6,2024-2025,Catania Italy SiC campus with 200mm fab; EUR730M investment; reshaping EU manufacturing footprint,https://www.yolegroup.com/player-interviews/sic-is-in-a-race-to-meet-growing-demand-for-new-technologies-an-interview-with-stmicroelectronics/,Catania SiC campus; Italy investment
ESMC (TSMC/Bosch/Infineon/NXP),esmc.eu,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,6,2027,Dresden fab joint venture; TSMC-operated; production expected 2027; €10B investment,https://pr.tsmc.com/english/news/3049,Dresden JV; European production
SCREEN Semiconductor Solutions,screen.co.jp,Semiconductors,Semiconductors,Fabs & Foundries,,5,2024,Lithography track systems; wet cleaning equipment; key TSMC supplier,https://www.screen.co.jp/eng/semiconductor,Cleaning/track systems leader
Teradyne,teradyne.com,Semiconductors,Semiconductors,Fabs & Foundries,,5,2024,Semiconductor test equipment leader; robotics division,https://www.teradyne.com/,Test equipment leader
Advantest,advantest.com,Semiconductors,Semiconductors,Fabs & Foundries,,5,2024,Memory and SoC test equipment; HBM testing,https://www.advantest.com/,Test equipment leader
SUMCO,sumco.com,Semiconductors,Semiconductors,Fabs & Foundries,,5,2024,#2 silicon wafer supplier globally; 300mm capacity,https://www.sumco.com/,Major wafer supplier
SK Siltron,sksiltron.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,5,2024,SK-owned SiC substrate maker; Michigan SiC CSS facility,https://www.sksiltron.com/,Korean SiC substrate player
Brooks Automation,brooks.com,Semiconductors,Semiconductors,Fabs & Foundries,,5,2024,Wafer handling automation; vacuum systems; cryopumps,https://www.brooks.com/,Fab automation leader
Veeco Instruments,veeco.com,Semiconductors,Semiconductors,Fabs & Foundries,,5,2024,MBE and MOCVD systems; ion beam equipment,https://www.veeco.com/,Compound semi equipment
FormFactor,formfactor.com,Semiconductors,Semiconductors,Fabs & Foundries,,5,2024,Advanced probe card leader; test & measurement,https://www.formfactor.com/,Probe card leader
Cohu,cohu.com,Semiconductors,Semiconductors,Fabs & Foundries,,5,2024,Semiconductor test handlers; thermal systems,https://www.cohu.com/,Test handler leader
Powertech Technology (PTI),pti.com.tw,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,8,2025-10,$1B FOPLP expansion by 2026; 6000-7000 WPM capacity; panel-level packaging leader; full bookings,https://www.digitimes.com/news/a20251029PD215/pti-foplp-packaging-expansion-testing.html,$1B panel-level packaging expansion
King Yuan Electronics (KYEC),kyec.com.tw,Semiconductors,Semiconductors,Fabs & Foundries,CONTRACT_WIN,8,2025,Singapore expansion accelerating; triple AI chip testing contracts; capex increased to NT$12.3B,https://www.digitimes.com/news/a20251222PD210/expansion-king-yuan-testing-kyec-ai-chip.html,Singapore expansion; AI chip testing surge
Besi (BE Semiconductor),besi.com,Semiconductors,Semiconductors,Fabs & Foundries,OEM_PARTNER,8,2025,Hybrid bonding leader; 100nm alignment systems; 26-system order May 2024; Applied Materials partnership,https://www.besi.com/investor-relations/press-releases/details/be-semiconductor-industries-nv-increases-financial-targets-at-2025-investor-day/,Hybrid bonding leader; 2.5D/3D packaging
ASMPT,asmpt.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,7,2025-09,JOINT3 consortium Sept 2025; next-gen packaging R&D; AP market growing to $4B by 2029,https://www.asmpt.com/en/investor-relations/news-events/asmpt-joins-joint3-consortium-to-develop-next-generation-semiconductor-packaging/,JOINT3 consortium; advanced packaging
DISCO Corporation,disco.co.jp,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,7,2025,Global dicing saw leader; grinders; laser saws; new DFD6080 for 400mm packages,https://www.disco.co.jp/,Dicing and grinding monopoly
Ibiden,ibiden.co.jp,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,9,2025,$3.3B investment over 3 years from FY2026; new Gifu factory late 2025; 40% AI server output boost,https://www.digitimes.com/news/a20260204PD227/ibiden-expansion-capacity-production-plant.html,Gifu factory; $3.3B expansion
Ajinomoto,ajinomoto.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,7,2025,JPY 25B ($166M) investment by 2030; 50% ABF capacity expansion; CEO is ABF inventor,https://www.trendforce.com/news/2025/04/01/news-japanese-firm-ajinomoto-to-invest-jpy-25-billion-by-2030-to-expand-abf-production-for-advanced-packaging/,ABF film 50% expansion
Shinko Electric Industries,shinko.co.jp,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,6,2024-2025,BGA substrate expansion; AI server revenue 3x FY2023; Fujitsu subsidiary,https://www.digitimes.com/news/a20241105PD208/demand-ibiden-ic-substrate-shinko-electric-2024.html,AI server substrate growth
Nordson Electronics,nordson.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,6,2025,Panel-level packaging solutions; 99%+ yields for PTI; new Europe facility 2025,https://www.nordson.com/en/about-us/newsroom/electronics-solutions-news/nordson-electronics-solutions-develops-panel-level-packaging-solution-for-powertech-technology-inc,Panel-level packaging equipment
UTAC,utacgroup.com,Semiconductors,Semiconductors,Fabs & Foundries,M&A,5,2024,Acquired Singapore wafer bumping assets; global OSAT with SE Asia footprint,https://utacgroup.com/,Singapore OSAT leader
Ardentec,ardentec.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,6,2025,New Longtan plant Q2 2025; wafer probing specialist,https://www.digitimes.com/news/a20250304PD238/ardentec-testing-plant-tsmc-packaging.html,New Taiwan testing plant
Unimicron,unimicron.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,7,2025,UMC-backed expansion; aims to surpass Japanese by 2025; double-digit revenue growth 2024; high-end substrate focus,https://www.digitimes.com/news/a20251217PD240/umc-unimicron-ic-substrate-demand-investment.html,High-end substrate market leader push
Kinsus Interconnect,kinsus.com.tw,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,6,2024-2025,Considering Malaysia facility; double-digit revenue growth 2024; ASE group company,https://taiwannews.com.tw/news/5080173,Malaysia expansion considered
SPTS Technologies (KLA),spts.com,Semiconductors,Semiconductors,Fabs & Foundries,,5,2024,KLA subsidiary; advanced packaging etch; MEMS; compound semi,https://www.spts.com/,KLA packaging equipment subsidiary
Hanmi Semiconductor,hanmisemi.com,Semiconductors,Semiconductors,Fabs & Foundries,,5,2024,Semiconductor sawing and trim/form equipment,https://www.hanmisemi.com/,Korean packaging equipment maker
Plasma-Therm,plasmatherm.com,Semiconductors,Semiconductors,Fabs & Foundries,,5,2024,Singulator plasma dicing systems; repeat UTAC orders 2024,https://www.plasmatherm.com/repeat-order-with-utac/,Plasma dicing leader
Analog Devices,analog.com,Semiconductors,Semiconductors,Fabs & Foundries,FUNDING_LADDER,8,2025,$80M CHIPS funding OR/WA; 70% more output at PNW facilities; $1B Limerick Ireland; double output by end 2025,https://www.nist.gov/chips/analog-devices-inc-massachusetts-chelmsford,OR + WA + MA expansion; CHIPS funding
Renesas Electronics,renesas.com,Semiconductors,Semiconductors,Fabs & Foundries,M&A,7,2024-2025,Kofu fab reopened for power semis 2024; SiC production end 2024; acquired Transphorm GaN,https://www.datacenterdynamics.com/en/news/renesas-reopens-previously-shuttered-japanese-chip-fab/,Kofu fab reopened; SiC + GaN expansion
UMC,umc.com,Semiconductors,Semiconductors,Fabs & Foundries,OEM_PARTNER,8,2025-04,New Singapore fab Phase 3 opening Apr 2025; 22nm production 2026; 700 new jobs; Intel 12nm collaboration,https://www.umc.com/en/News/press_release/Content/corporate/20250401,Singapore fab expansion; Intel partnership
Tower Semiconductor,towersemi.com,Semiconductors,Semiconductors,Fabs & Foundries,OEM_PARTNER,7,2024,Intel New Mexico partnership; ST Italy joint facility qualified Q4 2024; $300M investment in Intel fab tools,https://newsroom.intel.com/intel-foundry/sept-2023-manufacturing-news,Intel partnership; specialty foundry expansion
Microchip Technology,microchip.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,6,2024-2025,$162M CHIPS for Oregon + Colorado expansion; closing Tempe AZ Sept 2025; consolidating,https://www.oregonlive.com/silicon-forest/2024/12/microchip-will-close-arizona-factory-while-it-pursues-federal-subsidies-to-expand-in-oregon-colorado.html,Oregon + Colorado CHIPS expansion
Vishay Intertechnology,vishay.com,Semiconductors,Semiconductors,Fabs & Foundries,M&A,7,2024,Acquired Newport Wafer Fab UK $177M Mar 2024; £51M UK investment Nov 2024; accelerates SiC plans,https://ir.vishay.com/news-releases/news-release-details/vishay-intertechnology-acquires-nexperias-newport-wafer-fab-177,UK Newport Fab acquisition + investment
Rohm Semiconductor,rohm.com,Semiconductors,Semiconductors,Fabs & Foundries,M&A,6,2024-2025,Largest facility to start end 2024; SiC production expansion; acquired Solar Frontier fab,https://www.eenewseurope.com/en/rohm-buys-japanese-fab-for-sic-boost/,New SiC fab Japan
Nanya Technology,nanya.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,5,2024,$10B new fab investment; 4th largest DRAM brand globally,https://www.datacenterdynamics.com/en/news/dram-company-nanya-technology-plans-10bn-chip-fab-in-new-taipei-taiwan/,Taiwan DRAM expansion
Photronics,photronics.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,7,2025,Leading photomask supplier; $849M revenue 2025; IC and FPD masks; US-based strategic asset,https://photronicsinc.gcs-web.com/,US photomask leader
Toppan / Tekscend Photomask,holdings.toppan.com,Semiconductors,Semiconductors,Fabs & Foundries,OEM_PARTNER,7,2025,$2B IPO for Tekscend spinoff 2025; IBM EUV R&D partnership 5-year; FC-BGA substrate expansion,https://www.reuters.com/technology/tekscend-photomask-targets-2-billion-valuation-japan-ipo-sources-say-2025-08-26/,Tekscend IPO; IBM partnership
Hoya,hoya.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,7,2025,34% EUV mask blanks market; mid-2025 EUV advancements; critical to leading-edge,https://semiconductorinsight.com/blog/hoya-expands-euv-photomask-blank-capabilities-strengthening-global-semiconductor-supply-chain/,EUV mask blanks leader
Siltronic,siltronic.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,7,2024-2025,EUR 136M Germany expansion; Burghausen + Freiberg; 225 new jobs; new 300mm Freiberg plant,https://www.siltronic.com/en/press/press-releases/siltronic-expands-300-mm-production-in-germany.html,Germany 300mm expansion
ASM International,asm.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,7,2024-2025,ALD market leader; $4.2-5B market by 2027; GAAFET enabler; ASMPT largest shareholder,https://www.asm.com/,ALD technology leader
Lasertec,lasertec.co.jp,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,8,2024-2025,EUV mask inspection monopoly; Innovation Park R&D hub; ¥400-500B sales target by 2030,https://www.lasertec.co.jp/en/ir/individuals/,EUV mask inspection monopoly
Hitachi High-Tech,hitachi-hightech.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,7,2025,New Kasado production facility completed 2025; etching systems expansion,https://www.hitachi.com/New/cnews/month/2023/04/230418a.html,New Japan production facility
Soitec,soitec.com,Semiconductors,Semiconductors,Fabs & Foundries,,6,2024-2025,SOI wafer leader; 5M to 12M wafer TAM by 2030; RF-SOI for 5G; FD-SOI,https://www.soitec.com/,SOI wafer technology leader
Camtek,camtek.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,8,2025,$500M+ revenue 2025; Eagle G5 system launched; 4x growth in 5 years; advanced packaging focus,https://techtime.news/2025/08/05/camtek-6/,4x revenue growth; Eagle G5 launch
Nova Ltd,novami.com,Semiconductors,Semiconductors,Fabs & Foundries,M&A,7,2025,Acquired Sentronics Q1 2025; dimensional + materials + chemical metrology,https://www.prnewswire.com/il/news-releases/nova-acquires-sentronics-metrology-to-expand-its-dimensional-metrology-portfolio-302317470.html,Sentronics acquisition; expanding portfolio
ChipMOS,chipmos.com,Semiconductors,Semiconductors,Fabs & Foundries,,5,2024,Memory and LCD driver OSAT; bumping and MEMS services,https://www.chipmos.com/,Memory testing specialist
Heraeus Electronics,heraeus-electronics.com,Semiconductors,Semiconductors,Fabs & Foundries,,5,2024,Semiconductor packaging materials; bonding wire; die attach; global family-owned,https://www.heraeus-electronics.com/,Packaging materials leader
Aixtron,aixtron.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,7,2025,New 1000m2 cleanroom 2025; G10-SiC/GaN systems for Nexperia; Nokia G10-AsP order,https://www.semiconductor-today.com/news_items/2025/apr/aixtron-020425.shtml,SiC/GaN MOCVD leader
Kokusai Electric,kokusai-electric.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,6,2024-2025,New US demo center; Toyama manufacturing expansion,https://www.kokusai-electric.com/en/news/document,Batch processing equipment
PDF Solutions,pdf.com,Semiconductors,Semiconductors,Fabs & Foundries,CONTRACT_WIN,7,2025,Multi-year eProbe contract Sept 2025; 21-23% revenue growth guidance; 3D structure testing,https://www.quiverquant.com/news/PDF+Solutions+Signs+Landmark+Multi-Year+Agreement+to+Expand+eProbe+Technology+Deployment+in+Semiconductor+Manufacturing,eProbe 3D testing contract; yield software
Shinkawa (Yamaha),yamaha-robotics.com/shinkawa,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,7,2025,UTC-RZ1 high-speed wire bonder 2025; Samsung 2.5D bonding equipment orders,https://www.yamaha-robotics.com/en/news/new-releases_2412-0,Samsung orders; new UTC-RZ1
Toray Engineering,toray-eng.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,7,2025,UC5000 glass panel equipment Mar 2025; TRENG-PLP Coater; ¥10B target by 2030,https://www.toray-eng.com/news/2024/20241204.html,Glass panel packaging equipment
DNP (Dai Nippon Printing),global.dnp,Semiconductors,Semiconductors,Fabs & Foundries,OEM_PARTNER,7,2025,2nm EUV photomask process by FY2025; Rapidus supplier; imec partnership,https://www.global.dnp/news/detail/20173706_4126.html,2nm EUV photomask development
Diodes Incorporated,diodes.com,Semiconductors,Semiconductors,Fabs & Foundries,M&A,5,2024,Multiple fabs globally; discrete semiconductors; acquired BCD Semi,https://www.diodes.com/,Discrete and analog IDM
Rapidus,rapidus.inc,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,9,2025,$5.4B subsidies FY2025; first 2nm GAA transistors Jul 2025; mass production 2027 target,https://en.wikipedia.org/wiki/Rapidus,Japan 2nm fab; first chips 2025
AGC Inc,agc.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,8,2025,59% EUV mask blank market share; 30% capacity expansion by 2025; ¥40B sales target,https://www.agc.com/en/news/detail/1203819_2814.html,EUV mask blanks leader
JSR Corporation,jsr.co.jp,Semiconductors,Semiconductors,Fabs & Foundries,M&A,7,2024,JIC 100% acquisition Mar 2024; ~90% global photoresist market with TOK; national champion,https://www.trade.gov/country-commercial-guides/japan-semiconductors,Photoresist market leader
Tokyo Ohka Kogyo (TOK),tok.co.jp,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,7,2025,¥20B Korea photoresist plant; Samsung/SK hynix supplier; 91% global market with JSR,https://www.trendforce.com/news/2025/11/06/news-japan-ramps-up-photoresist-investment-for-2nm-chips-tokyo-ohka-kogyo-jsr-lead-the-charge/,Korea plant expansion; EUV photoresist
NVIDIA,nvidia.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,6,2025,$374M Santa Clara campus purchase 2024; 324K sqft new facility May 2025; $4.5T market cap,https://www.credaily.com/briefs/nvidia-expansion-drives-silicon-valley-office-growth-amid-ai-boom/,Santa Clara HQ expansion
AMD,amd.com,Semiconductors,Semiconductors,Fabs & Foundries,,6,2025,New York design centers (Monroe + Fishkill); 165 new jobs; Orlando R&D center Sept 2025,https://www.governor.ny.gov/news/governor-hochul-announces-establishment-world-class-amd-design-centers-new-york-state,NY + Orlando design centers
Broadcom,broadcom.com,Semiconductors,Semiconductors,Fabs & Foundries,M&A,5,2025,$11B R&D spend 2025 (+18% YoY); custom AI accelerators for Google/Meta/ByteDance; VMware acquisition,https://www.macrotrends.net/stocks/charts/AVGO/broadcom/research-development-expenses,$11B R&D; custom AI chips
Qualcomm,qualcomm.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,5,2024,San Diego HQ; Snapdragon AI; automotive ADAS expansion,https://www.qualcomm.com/,Wireless technology leader
Marvell Technology,marvell.com,Semiconductors,Semiconductors,Fabs & Foundries,M&A,6,2025,Vietnam expansion (HCM + Da Nang) Sept 2025; India R&D expansion; $5.5B Celestial AI acquisition Dec 2025,https://www.marvell.com/company/newsroom/marvell-accelerates-expansion-in-vietnam.html,Vietnam + India R&D expansion
MediaTek,mediatek.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,5,2024-2025,Taiwan-based; India design expansion; ARM PC chip development,https://topics.amcham.com.tw/2024/09/mediatek-steps-up-diversification-efforts/,India design center growth
ARM Holdings,arm.com,Semiconductors,Semiconductors,Fabs & Foundries,,5,2024,CPU architecture monopoly; AI acceleration push; IPO 2023,https://www.arm.com/,CPU architecture monopoly
Lattice Semiconductor,latticesemi.com,Semiconductors,Semiconductors,Fabs & Foundries,,5,2024,Low-power FPGA leader; edge AI focus; Oregon HQ,https://www.latticesemi.com/,Low-power FPGA leader
Cirrus Logic,cirrus.com,Semiconductors,Semiconductors,Fabs & Foundries,,5,2024,Austin HQ; audio IC leader; Apple supplier,https://www.cirrus.com/,Audio IC leader
Monolithic Power Systems,monolithicpower.com,Semiconductors,Semiconductors,Fabs & Foundries,,5,2024,High-performance power ICs; AI server power; data center growth,https://www.monolithicpower.com/,Power management leader
DB HiTek,dbhitek.com,Semiconductors,Semiconductors,Fabs & Foundries,INVESTMENT_PLAN_ANNOUNCED,5,2024,Image sensor expansion; machine vision/autonomous vehicles; high value-added focus,https://dbhitek.com/en/index,Korea specialty foundry
