company_name,website,industry,segment,sub_segment,signal_code,signal_score,signal_date,signal_text,source_url,messaging_hook
Joby Aviation,jobyaviation.com,Aerospace,eVTOL,Air Taxi,INVESTMENT_PLAN_ANNOUNCED,8,2025-12-17,"Doubling US manufacturing capacity; 4 aircraft/month by 2027; acquiring 2nd Ohio facility.",https://www.bloomberg.com/news/articles/2025-12-17/joby-aims-to-double-planned-air-taxi-output-by-2027,"Doubling US capacity; acquiring 2nd Ohio facility; 4 aircraft/month target."
Wolfspeed,wolfspeed.com,Semiconductors,Materials,Silicon Carbide,SERIAL_EXPANDER,8,2025-02-05,"$5B Siler City fab nearing completion with room for 2M+ additional sq ft; Mohawk Valley operational; Germany fab planned.",https://www.axios.com/local/raleigh/2025/02/05/wolfspeed-nears-completion-of-siler-city-factory-north-carolina,"$5B Siler City fab with room for 2M+ sq ft expansion; multi-site SiC pattern."
Hyundai Mobis,mobis.com,Automotive,Tier 1,EV Components,SERIAL_EXPANDER,7,2024-09-30,"$52M Montgomery AL expansion (460K sq ft); 30K-unit robot factory planned for North America.",https://www.blackbeltnewsnetwork.com/news/hyundai-mobis-in-montgomery-to-break-ground-on-new-facility/article_b4c950ec-7f56-11ef-9ac0-e35cdf2465ba.html,"Montgomery expansion + robot factory planned; expanding electrification hubs."
Sila Nanotechnologies,silanano.com,Battery,Materials,Anodes,INVESTMENT_PLAN_ANNOUNCED,8,2025-09-23,"Moses Lake WA facility operational; planning expansion to 250 GWh within 5 years - largest anode facility in world.",https://techcrunch.com/2025/09/23/sila-opens-u-s-factory-to-make-silicon-anodes-for-energy-dense-ev-batteries/,"Moses Lake operational; planning 250 GWh expansion = world's largest anode facility."
QuantumScape,quantumscape.com,Battery,Cells,Solid State,OEM_PARTNER,7,2025-12-09,"Expanded PowerCo/VW agreement; Eagle Line inaugurated for pilot production; key equipment installed.",https://www.quantumscape.com/quantumscape-announces-completion-of-key-annual-goal-and-inauguration-event-for-eagle-line/,"Eagle Line inaugurated; expanded VW partnership; scaling solid-state production."
Amprius Technologies,amprius.com,Battery,Cells,Silicon Anode,SERIAL_EXPANDER,7,2025-11-20,"Korea Battery Alliance formed; 2+ GWh global contract manufacturing network across US and South Korea.",https://www.unmannedsystemstechnology.com/2025/11/amprius-forms-korea-battery-alliance-to-expand-global-silicon-anode-manufacturing/,"Korea Battery Alliance; 2+ GWh global contract manufacturing network."
Boom Supersonic,boomsupersonic.com,Aerospace,Aircraft,Supersonic,FUNDING_LADDER,7,2025-12-09,"$300M new funding; CEO eyes expansion at PTI; Superfactory completed; diversifying into AI data center turbines.",https://boomsupersonic.com/press-release/boom-supersonic-to-power-ai-data-centers-with-superpower-natural-gas-turbines-adds-300-million-in-new-funding,"$300M new funding; CEO eyes PTI expansion; Superfactory operational."
Ascend Elements,ascendelements.com,Battery,Recycling,Materials,SERIAL_EXPANDER,7,2025-09-24,"60% expansion of US lithium carbonate capacity at Covington GA; new recovery line operational 2025.",https://battery-tech.net/company/ascend-elements/,"60% lithium carbonate capacity expansion at Covington GA."
Siemens Energy,siemens-energy.com,Grid,Equipment,Transformers,INVESTMENT_PLAN_ANNOUNCED,8,2025-07-17,"$1B US manufacturing expansion; new Charlotte NC factory for transformers and gas turbines; brownfield expansions.",https://www.siemens-energy.com/global/en/home/press-releases/siemens-energy-is-investing--1-billion-and-creating-highly-skill.html,"$1B US manufacturing expansion; new Charlotte NC factory; transformer production increase."
Boston Dynamics,bostondynamics.com,Robotics,Humanoid,Industrial,CAPTIVE_DEMAND,8,2025-04-03,"Hyundai expanding collaboration; plans to integrate Atlas across global network; 30K-unit robot factory by 2028.",https://bostondynamics.com/news/boston-dynamics-hyundai-motor-group-expand-collaboration-drive-mobility-manufacturing-innovation/,"Hyundai expanding collaboration; 30K-unit robot factory planned; Atlas integration across global network."
Redwood Materials,redwoodmaterials.com,Battery,Recycling,Materials,SERIAL_EXPANDER,7,2025-11-06,"South Carolina plant opened (Nov 2025); SF R&D center opened (April 2025); multi-site expansion pattern.",https://www.bloomberg.com/news/articles/2025-11-06/redwood-materials-opens-new-south-carolina-plant-to-recycle-batteries,"South Carolina plant + SF R&D center; expanding multi-site footprint."
Texas Instruments,ti.com,Semiconductors,Fabs,Analog,INVESTMENT_PLAN_ANNOUNCED,8,2025-06-18,"$60B total investment announced; 2 new fabs at Sherman TX megasite; SM1 production started Dec 2025.",https://www.ti.com/about-ti/newsroom/news-releases/2025/texas-instruments-plans-to-invest-more-than--60-billion-to-manufacture-billions-of-foundational-semiconductors-in-the-us.html,"$60B investment commitment; Sherman TX megasite expanding; 2 new fabs announced."
