Company,Jobs,Capex_M,Location,County,State,Sector,Date,URL,Notes
HL Mando America Corporation Opelika,15,5.2,,,Alabama,Automotive - Supplier,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
AGS America Inc. Opelika,70,3.6,,,Alabama,Motor Vehicle Parts Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Korea Fuel Tech America Inc.,17,4.0,,,Alabama,Plastic Fuel Tanks,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
SEUNGWON USA Inc. Opelika,20,32.5,,,Alabama,Specialized Packaging Solutions,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Toyota Tsusho,,163.3,,,Alabama,Solar Power Generation,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Titomic USA Inc.,60,30.0,,,Alabama,Titanium Additive Coatings,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Exalta (formally Intech/Turner Medical) Athens,39,0.9,,,Alabama,Medical Devices,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Daikyo Nishikawa USA Inc.,53,18.0,,,Alabama,Automotive Parts Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
TSA LLC Tuskegee,30,3.0,,,Alabama,Specialty Automotive Fabricator,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
CPT America LLC Tuskegee,187,163.4,,,Alabama,Steel-Stamping Automotive Parts Manufact,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Plasma Processes,10,6.9,,,Alabama,Advanced Materials and Metal Coatings,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
L3Harris Technologies,40,20.0,,,Alabama,Rocket Engine Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
SEA Wire & Cable Madison,57,4.8,,,Alabama,Wire and Cable Distributor,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
SES Inc.,,17.0,,,Alabama,Aircraft Integration,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Hybird Space Systems,20,0.7,,,Alabama,Rocket Engine Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
Cargill Guntersville,,40.0,,,Alabama,Soybean Processing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
PrismFlex Guntersville,25,2.2,,,Alabama,Industrial Printing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Ace Aeronautics LLC Guntersville,189,4.2,,,Alabama,MRO Rotorcraft,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
A&G Holdings LLC Arab,12,1.2,,,Alabama,Warehouse/Distribution,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Evonik Theodore,,77.5,,,Alabama,Methyl Mercaptan Production,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Primo,12,5.8,,,Alabama,Plastic Extrusion,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
ArcelorMittal Calvert,205,1163.9,,,Alabama,Non-Grain Oriented Steel,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
SSAB Axis,12,75.0,,,Alabama,Steel Manufacturer,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Master Boat Builders Inc. Coden,85,7.8,,,Alabama,Boat Manufacturers,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Gulf Distributing,,11.5,,,Alabama,Beverage Distribution,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Derichebourg,10,0.2,,,Alabama,Aerospace Staffing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
APM Terminals,8,58.6,,,Alabama,Container Terminal,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Prism Systems,52,6.4,,,Alabama,Software Engineering Firm,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
AAA USA,100,1.4,,,Alabama,Corporate HQ/Insurance Companies,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Alabama River Cellulose (Georgia Pacific) Monroeville,,800.0,,,Alabama,Paper Product Manufacturing - Pulp Mill,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion
Bad Boy Mowers Monroeville,57,10.5,,,Alabama,Mowers and Tractors,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New
